Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
D'alessandro  30 arg   C 12  3  3  3 42 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Otuarstemn  30 bul   C  9  2  2  2 23 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Mascherano  30 arg   C  3 10  9  5 33 21 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Tivru       30 ita   R  2  3 12  4 37 43 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Cirs        30 ger  LC  2  4 10  4 54 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Melkor        30 arg   C  2  5 10  9 67 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Eru           30 arg RLC  2  5  9  5 53 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Romero      30 arg   C  2  5  9  5 67 24 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Francescoli 30 arg   R  3  5  9  9 71 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Bombur        30 arg   L  2  5  5 10 72 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
