Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
JP_Carrizo    18 arg   R 20  3  3  3 46 30 991 300 300 300  19  52   0   0   0   0   0   0   0   0 100
Sepp_Maier    25 ger   R 16  3  3  3 68 33 300 300 300 300   1   0   0   0   0   0   0   0   0   0 100
Julio_Cesar   18 arg   L 17  3  3  3 74 29 852 300 300 300   3   8   0   0   0   0   0   0   0   0 100
T_Svenssen    20 nor   C  3 20  6  6 39 31 300 340 773 928   7   0   8   7   6   1   0   2   0   0  92
Wailord       20 arg  RC  3 20  7  7 46 25 300 322 875 320  20   0  21  14  10   2   1   4   0   0  96
Venasaur      27 arg   R  2 18  4  4 60 21 300 344 564 423  17   0  20   5   4   0   0   3   0   0 100
Playboy       16 arg   R  3 15  6  6 70 25 300 620 300 315   1   0   1   0   1   0   0   0   0   0 100
Golem         29 arg   R  2 15  5  5 43 24 300 361 525 781   2   0   0   0   1   0   0   0   0   0 100
Steelix       25 arg  LC  2 18  7  6 55 39 300 320 513 434  19   0  24   9   9   0   2   4   0   1 100
Ditto         19 arg   R  3 14  6  8 35 30 300 380 360 300   0   0   0   0   0   0   0   0   0   0 100
Tauros        20 arg   C  2 13  4  5 59 24 300 652 493 524   2   0   1   1   0   0   0   0   0   0 100
T_Hirano      22 jap   C  3 14 12  4 41 34 300 310 928 495   6   0   6   4   3   0   0   2   0   0 100
Aaron_Lennon  25 eng   R  3 12 12  8 42 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Niembro     19 arg   C  3 10 11  4 44 30 300 572 976 365   6   0   3   7   1   0   1   0   0   0 100
Alakazam      19 arg   L  2  9 12  5 41 39 300 813 733 525   4   0   0   1   1   0   0   0   0   0 100
L_Matthaus    26 ger   C  3  4 27  5 54 36 300 615 742 675   9   0   3  39   3   0   8   1   0   0  98
John_A_Riise  27 nor   R  3  6 22  8 39 29 300 582 413 657   8   0   0  19   3   0   1   1   2   0 100
Dario_Šimic   21 cro   C  3  6 23  6 44 25 300 723 507 813  20   0   3  36  10   0   3   5   0   0  95
Hitmonlee     27 arg  LC  2  6 22  4 71 28 300 778 543 625  19   0   4  60   2   0   3   2   0   0 100
Scizor        25 arg   L  2  6 17  5 36 21 300 801 334 690   8   0   2  13   2   0   2   0   0   0 100
Hitmonchan    19 arg   R  3  6 18  6 74 33 300 385 484 633  13   0   0  38   5   0   3   2   0   0 100
Z_Oto         17 cro   L  2  4 14  3 40 34 300 449 807 416   4   0   1   3   1   0   0   0   0   0 100
S_Staunton    21 ire  LC  3  6 18 18 51 38 300 327 537 643   8   0   1  16  34   5   2   2   0   0  98
J_Morales     29 arg   R  2  6  9 11 50 28 300 395 755 675   9   0   0   8   6   1   0   3   0   0 100
Charizard     25 arg   C  2  6  6 23 70 28 300 423 757 437  20   0   2   5  66  13   1   7   0   0 100
Zapdos        23 arg   L  2  5  5 25 73 36 300 876 647 536  21   0   1   3  69  11   0   2   0   0 100
Tinto         17 arg   C  3  5  7 16 39 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Rocko         20 arg   R  3  6  6 18 43 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Articuno      22 arg   L  2  5  5 17 39 23 300 413 557 978   5   0   0   1   8   2   0   0   0   0 100
K_Tyaz        24 ire   R  2  3  4 14 28 44 300 393 469 899   0   0   0   0   0   0   0   0   0   0 100

