Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
A_Carrizo     20 arg  RC 19  3  3  3 46 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Romero      23 arg   L 18  3  3  3 49 28 485 300 300 300  17  50   0   0   0   0   0   0   0   0 100
P_Ryoemnoije  16 arg  RL 17  3  3  3 28 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Banega      21 arg   L 14  3  3  3 30 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D'alessandro  29 arg   C 12  3  3  3 45 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Pateatraseros 20 arg RLC  3 18  5  5 71 23 300 522 788 776  16   0  16   5   6   0   1   1   0   0 100
K_Elotya      20 arg  RC  3 18  6  7 40 24 300 460 300 300   1   0   2   0   0   0   0   0   0   0  94
jm            20 arg   R  3 16  6  7 58 31 300 677 660 438  12   0   8   6   5   0   0   1   0   0 100
Clemente      19 arg   L  3 16  4  5 52 31 300 482 718 415  16   0  14   7   1   0   0   2   0   0  99
A_Garce       18 arg   R  3 14  6  6 64 37 300 718 663 403  15   0  10   6   5   0   0   7   0   0 100
M_Caire       27 arg  RC  3 12  6  6 52 37 300 452 300 300   3   0   1   0   0   0   0   0   0   0 100
G_Milito      19 arg   L  3 12  6  6 61 33 300 528 300 300   2   0   3   0   0   0   0   0   0   0 100
J_M_Martinez  19 arg   C  3 11  5  6 41 26 300 560 366 300   5   0   1   1   0   0   0   0   0   0 100
D_Forlan      18 arg RLC  3 11  4  4 73 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Rodríguez   23 arg  LC  3 11  4  4 44 23 300 380 560 315   2   0   1   4   1   0   0   0   0   0 100
J_Mascherano  29 arg   C  3 10  9  5 36 21 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Cambiasso   18 arg   C  3  9  9  7 26 27 300 625 603 419  11   0   2   1   0   0   0   1   0   0 100
E_Lavezzi     24 arg  RC  3  5 16  6 39 38 300 355 924 453  13   0   0  12   3   0   2   0   0   0 100
M_Rodriguez   18 arg   R  3  5 16  6 57 36 300 390 815 390   4   0   0   5   0   0   1   2   0   0  99
A_Pato        24 arg   C  3  4 14  6 61 32 300 348 755 295  11   0   1  18   1   0   2   0   0   0 100
Kaka          21 arg   R  3  6 14  6 45 21 300 398 374 315   7   0   2  20   1   0   1   3   0   0 100
A_Di_Maria    20 arg   L  3  5 11  5 42 34 300 430 716 620   5   0   0   2   2   1   0   0   0   0 100
L_Messi       18 arg   L  3  8 12  6 46 37 300 772 590 300  15   0   5  12   0   0   1   0   0   0  95
J_Pastore     18 arg   C  3  7 10  6 48 38 300 300 378 300   1   0   0   0   0   0   0   0   0   0 100
C_Tevez       27 arg  RC  3  5  9 11 64 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Ronaldo     22 arg   R  3  6  8  8 72 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Il_F_Marelli  19 arg   R  3  7  8 18 51 30 300 290 783 692  12   0   0   5  30   5   0   1   0   0  98
S_Kun_Aguero  20 arg   L  3  6  9 17 72 34 300 631 846 657  17   0   2  12  43   4   0   3   0   0 100
G_O_Batistuta 24 arg   R  3  7  7 15 74 37 300 436 509 318   6   0   2   3   4   1   0   1   0   0 100
D_Milito      25 arg   L  3  6  6 11 39 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100

