Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
G_Burgos      18 arg   C 15  3  3  3 68 23 901 300 300 300   4   6   0   0   0   0   0   0   0   0 100
Tentacruel    20 arg  RC 14  3  3  3 36 24 991 300 300 300   3   3   0   0   0   0   0   0   0   0 100
G_Lux         24 arg  LC 13  3  3  3 58 23 448 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Khazad_dûm    19 arg   C 12  2  2  2 29 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Gandalf       20 arg   R 12  2  2  2 69 24 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Jose_Dirceu   26 bra   R  3 15  5  7 46 26 300 300 300 300   1   0   0   0   0   0   0   0   0   0 100
Thorin        20 arg   R  2 14  5  5 46 26 300 736 280 299   3   0   5   0   1   0   0   2   0   0 100
Bofur         20 arg   L  2 14  5  5 33 35 300 707 706 387   5   0   5   4   0   0   0   1   0   0 100
N_Trepe       19 arg   L  2 13  6  5 64 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Smaug         24 arg RLC  2 14  4  6 51 38 300 996 406 340   6   0   5   1   1   0   0   1   0   0 100
Gollum        18 arg   R  2 11  5  5 39 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Nori          27 arg  RL  2 11  5  5 70 39 300 492 378 330   1   0   0   0   0   0   0   0   0   0 100
Kíli          23 arg   R  2 13  9  6 63 25 300 384 560 312   6   0   7   3   2   0   0   0   0   0 100
Bilbo_Bolsón  20 arg  RL  2 10  5  5 40 22 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Duracell      19 arg   R  2 10 11  4 50 26 300 916 532 280   4   0   0   2   0   0   0   2   0   0 100
Beorn         23 arg   L  2  4 15  4 53 29 300 390 639 270   7   0   1   9   0   0   0   0   0   0 100
Gran_Trasgo   26 arg   L  2  5 13  6 36 39 300 422 827 362   4   0   1   5   0   0   0   1   0   0 100
El_Caldo      19 arg RLC  2  4 13  5 24 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Ozow        24 bul   C  2  4 13  4 32 43 300 300 697 300   5   0   0   4   0   0   0   0   0   0 100
U_Uclu        21 arg   C  2  4 14  4 54 34 300 518 861 652  13   0   1  22   5   1   3   3   0   0 100
Thranduil     26 arg   R  2  5 12  5 62 28 300 300 804 240   3   0   1   2   0   0   0   3   0   0 100
Elrond        19 arg   C  2  6 11  5 66 22 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Tom_Bombadil  24 arg   C  2  5 11  6 46 22 300 300 300 300   1   0   0   0   0   0   0   0   0   0 100
Tulkas        28 arg RLC  2  5  6 14 38 30 300 401 641 859   7   0   1   5  14   2   0   1   0   0 100
Legolas       28 arg   R  2  5  5 15 57 28 300 421 577 809   6   0   0   0  14   2   0   2   0   0 100
B_Schelotto   21 arg   R  3  6  8 14 65 30 300 338 356 672   8   0   2   3   9   1   0   0   0   0 100
Peregrin_Tuk  19 arg  RC  2  5  4 14 48 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Aragon        26 arg   R  2  5  4 11 69 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100

