Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
E_Ishtunyar   23 arg   C 11  2  2  2 40 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Asha        29 bra   C 11  2  2  2 30 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Jikoi       23 cam   C 11  2  2  2 28 41 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
V_Ikseshtook  24 spa   C 11  2  2  2 50 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Kibsedn     18 arg   L 11  2  2  2 53 40 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
X_Ayuaks      25 aus  RC 10  2  2  2 35 52 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Eyisy       26 eng   R  2 13  4  3 53 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Grodsoosk   28 bra   L  2 12  5  3 50 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Ablu        26 bra   L  2 11  4  4 26 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
B_Naep        29 hol   L  2 11  3  5 33 44 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Ivrit       17 den   C  2 11  4  3 55 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
X_Habs        26 fra  LC  2 11  3  5 49 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Oksu        28 jap   L  2 10  5  5 34 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Irsteske    22 spa   C  2  8  7  4 40 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Aproisyom   19 den   C  2  7  6  3 24 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Duagrara    24 bul   R  2  6  7  5 37 47 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Unity       19 arg   C  2  6  8  5 25 48 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Cishte      27 usa   C  2  4 12  5 22 51 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_Adnoa       29 fra   R  2  4 11  4 45 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Avre        20 ita RLC  2  4 11  4 47 49 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Abtubt      24 bul  LC  2  3 11  4 31 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Ryibsackae  21 fra  RL  2  4 11  4 41 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Ohib        19 arg   C  2  4 11  3 28 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Udnow       24 nig   R  2  5 10  5 33 41 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Prosta      24 saf   C  2  4 10  5 34 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
X_Chodsi      27 ire   C  2  3 10  4 54 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Jeposhae    17 nig RLC  2  5 10  5 24 45 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Nury        22 cam  RC  2  4  8  8 51 40 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
X_Steh        20 usa   C  2  4  7  7 28 44 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
V_Ufevr       23 ita   C  2  5  7  6 52 41 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Doogra      23 den RLC  2  5  6  6 40 48 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Clupr       21 bul   R  2  4  3 12 54 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Urtayu      27 spa   C  2  4  4 11 49 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Arstimniks  22 ger  RC  2  5  5 11 34 42 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Jhaevr      21 saf   L  2  3  3 11 44 45 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Okroac      25 fra  LC  2  4  5 11 41 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Astavrez    18 aus   C  2  3  4 10 40 43 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Umnubri     29 cro   L  2  4  4 10 54 42 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Ibluvr      26 den   C  2  4  3  9 28 40 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
