Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
D_Vega        19 arg   L 15  3  3  3 53 36 782 300 300 300   6   8   0   0   0   0   0   0   0   0 100
B_Buticce     24 arg   L 13  2  2  2 51 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Mendez      27 arg   C  2 15  4  5 37 36 300 700 472 280   6   0   5   4   0   0   0   0   2   0 100
J_Botinelli   20 arg   R  3 15  8  8 62 30 300 756 540 355   6   0   4   5   1   0   0   0   0   0 100
Ivan_Cordoba  24 arg RLC  2 14  5  5 73 29 300 845 611 621   6   0   6   1   2   1   0   1   0   0 100
Gonzalo_Bazan 19 arg  RL  2 14  6  4 45 31 300 736 522 280   6   0   4   3   0   0   0   2   0   0 100
G_Rodriguez   23 arg   R  2 13  4  5 56 32 300 480 300 300   1   0   3   0   0   0   0   0   0   0 100
Sapo_Villar   24 arg   R  2 12  5  4 53 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Albretch    24 arg   C  2 12  5  5 45 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Aldo_paredes  24 arg   L  2 12  5  5 30 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Jacobo_Urso   23 arg   C  2 10 10  5 72 29 300 410 735 290   6   0   2   5   0   0   0   1   0   0 100
P_Zabaleta    25 arg   C  2  5 13  5 37 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Faeck       17 isr   R  2  4 14  4 30 40 300 348 932 382  12   0   1  19   3   0   0   3   0   0 100
F_Galetto     18 arg   L  2  4 13  5 60 37 300 300 886 300   6   0   0   5   0   0   1   0   0   0 100
Ruben_Insua   18 arg   L  2  4 11  5 55 32 300 260 404 297   6   0   0   3   1   0   0   0   0   0 100
Toscano_Rendo 23 arg   R  2  4 10  5 52 29 300 300 348 300   1   0   0   1   0   0   0   0   0   0 100
B_Rivero      27 arg  RL  2  5 10  4 71 21 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Pipo_Gorosito 22 arg   C  2  4 10 11 61 22 300 300 983 355   6   0   0   9   4   0   1   0   0   0 100
W_Montillo    22 arg   C  2  5 10  9 45 33 300 495 687 495   6   0   0   4   0   0   0   0   0   0 100
J_Sanfilippo  24 arg   R  2  5  6 15 47 22 300 362 410 874   6   0   0   1  13   1   0   5   0   1 100
Lobo_Fischer  24 arg   L  2  5  5 15 57 39 300 390 318 530   6   0   2   1   8   1   0   1   0   0 100
Gringo_Scotta 24 arg   R  2  6  5 12 53 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Gonzalez    17 arg  LC  2  5  5 12 32 25 300 377 474 457   5   0   0   1   3   0   0   0   0   0 100

