Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
C_Orcellet    21 arg   R 22  3  3  3 34 29 960 300 300 300  14  44   0   0   0   0   0   0   0   0 100
J_Burrai      18 arg   C 19  3  3  3 30 31 377 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Limia       18 arg   C 17  3  3  3 41 30 493 300 300 300   1   1   0   0   0   0   0   0   0   0 100
J_Gandolfi    20 arg RLC  3 21  4  5 69 32 300 983 965 531  14   0  18   3   8   0   1   4   0   1 100
M_Brau        20 arg  RC  3 21  5  5 64 21 300 332 933 932  14   0  20   6   6   0   0   0   0   0 100
A_Matellan    18 arg   C  2 18  7  5 75 35 300 967 564 597  13   0  10   8   1   0   0   0   0   0 100
L_Lopez       25 arg   C  2 18  7  7 60 38 300 488 529 926  12   0  13   7   5   0   0   1   0   0 100
Adriano_C     19 arg   L  3 16  6  7 76 25 300 970 525 340   3   0   5   3   2   0   1   1   0   0 100
C_Trombetta   21 arg   R  3 16  6  4 30 25 300 665 686 625   2   0   2   1   0   0   0   0   0   0 100
Hugo_Nervo    24 arg   R  2 15  6  6 27 38 300 533 411 365   1   0   0   0   0   0   0   0   0   0 100
Damian_Perez  18 arg   C  2 14  6  5 67 21 300 896 400 640   0   0   0   0   0   0   0   1   0   0 100
E_Yostik      18 hol   L  2 13  5  3 57 28 300 639 803 405   0   0   0   0   0   0   0   4   0   0 100
Espinoza      17 arg   C  3 11 11  6 32 25 300 404 544 260   3   0   0   4   0   0   0   2   0   0 100
Diego_Torres  19 arg  RL  3  6 21  6 60 32 300 260 551 501  12   0   0  38   3   1   2   1   0   0 100
J_Yacuzzi     20 arg RLC  2  5 21  4 55 23 300 732 433 438  14   0   1  45   0   0   1   0   0   0 100
G_Esmerado    18 arg   C  3  7 18  9 66 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Javi_Morales  18 arg   C  3  7 19  7 53 32 300 540 519 423   9   0   2  27   5   0   3   0   0   0 100
Diego_Villar  24 arg   C  2  6 19  4 71 27 300 351 305 590  14   0   1  40   4   0   0   2   0   0 100
C_Mosca       20 arg   L  3  6 15  7 46 30 300 992 868 625   3   0   0   3   0   0   0   0   0   0 100
S_Rayomnda    24 arg   C  2  6 14  6 28 26 300 871 662 938   1   0   0   0   0   0   0   0   0   0 100
J_Cardozo     20 arg   C  3  7 13 13 66 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Silva       20 arg   C  3  8 11 13 46 33 300 319 544 572   2   0   1   1   6   0   0   0   0   0 100
Franco_Jara   30 arg   R  2  7  6 19 65 25 300 563 791 620  11   0   2   1  32   3   0   1   0   0 100
G_B_Leschuk   20 arg   C  3  5  8 19 40 39 300 300 390 810   7   0   0   2  40   3   0   0   0   0 100
E_Zelaya      17 arg   C  3  8  7 18 30 25 300 480 330 650   8   0   2   2  28   4   0   0   0   0  99
S_Gonzalez    20 arg   R  3  4  7 16 72 30 300 365 657 878   4   0   0   0   5   0   0   0   0   0 100
I_Evrahoaj    25 cam   C  2  5  4 16 57 30 300 502 528 987   5   0   0   0   6   1   0   0   0   0 100
L_Leguizamon  24 arg   C  2  5  6 14 33 30 300 485 843 903   0   0   0   0   0   0   0   0   0   0 100

