Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
A_Gabbarini   20 arg RLC 26  3  3  3 54 22 565 300 300 300  14  57   0   0   0   0   0   0   0   0 100
H_Navarro     22 arg   C 17  3  3  3 61 39 314 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Oscar_Ustari  20 arg RLC 14  3  3  3 45 30 384 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Assman      27 arg   C 12  3  3  3 66 21 322 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Schmeichel  22 den   C  3 23  8  8 44 23 300 591 349 737  10   0  12   3   3   0   0   2   0   0  69
I_Velez       22 arg   R  3 23  7  4 60 29 300 536 794 679  12   0  15   6   1   0   0   1   0   0  83
L_Carrio      17 arg   L  3 22  6  4 61 30 300 910 912 538  13   0  20   1   1   0   0   0   0   0  88
M_Laspada     20 arg  RC  3 18  9  7 37 36 300 520 374 913   9   0   4   5   4   0   0   2   0   0 100
F_Ikube       18 arg   C  4 16 10  9 31 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Vallés      17 arg  LC  3 15 14 12 73 26 300 620 390 490   2   0   1   1   1   0   0   0   0   0  95
Ever_Ludueña  30 arg   R  3 13  6  5 64 31 300 676 390 330   1   0   0   0   0   0   0   0   0   0 100
J_Velazquez   23 arg   L  3 13  7  5 63 37 300 945 603 842   2   0   1   0   0   0   0   0   0   0 100
L_Galeano     23 arg RLC  3 14  8  7 55 30 300 557 919 619   5   0   6   5   0   0   0   6   0   0 100
M_Velazquez   26 arg   C  3 13  7  6 29 23 300 351 742 500   3   0   1   1   1   0   0   0   0   0 100
C_Matheu      23 arg   R  3 12  8  5 58 27 300 451 582 425   2   0   2   1   0   0   0   0   0   0 100
F_Monserrat   17 arg   R  3 12 15  7 70 33 300 300 435 300   1   0   0   3   0   0   0   0   0   0 100
M_Ferreyra    17 arg   L  3 13 13  9 67 22 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Fazio       18 arg   R  3 12 10  6 40 28 300 828 404 360   0   0   0   0   0   0   0   0   0   0 100
A_Argacha     26 arg   R  3 10 10  6 43 30 300 624 630 365   0   0   0   0   0   0   0   0   0   0 100
H_Fredes      18 arg RLC  3  6 26  4 76 38 300 415 393 775  11   0   3  40   2   0   1   4   0   0 100
P_Rodriguez   23 arg   R  3  9 24  9 56 35 300 381 621 642  13   0   0  31   2   0   0   1   0   0  81
C_Pellerano   25 arg   C  3 10 21  7 59 26 300 689 861 876  10   0   1  18   4   0   0   6   0   0  82
Kun_Aguero    16 arg RLC  4  8 20  9 80 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Bochini     22 arg   L  3  6 19  5 42 35 300 711 507 414   4   0   1   5   0   0   0   1   0   0  94
P_Vidal       16 arg   L  4 10 16  6 48 26 300 540 660 325   3   0   1   6   0   0   0   0   0   0  74
O_Ferreyra    26 arg  RL  3  6 14  6 53 31 300 505 776 480   3   0   1   5   1   0   0   1   0   0 100
M_Defederico  23 arg   R  3  8 13  6 34 25 300 521 930 843   2   0   0   1   0   0   0   0   0   0 100
D_Bertoni     20 arg   R  3  9 12  6 45 22 300 300 442 322   0   0   0   0   0   0   0   0   0   0 100
Dickson_Etuhu 21 nig  RC  3  6 14 15 68 35 300 725 629 872   3   0   0   3   8   0   0   1   0   0 100
Nico_Martinez 21 arg RLC  2  4  7 23 62 24 300 843 619 870  13   0   0   2  36   3   0   2   0   0  81
D_Montenegro  20 arg  RL  3  5  5 21 39 35 300 702 295 404  11   0   0   2  17   0   0   7   0   0  67
R_Saa         17 arg   R  3  4  5 17 37 29 300 722 591 970   3   0   0   1   6   0   0   0   0   0 100
Marco_Perez   23 arg   R  3  6  5 16 40 34 300 560 880 561   3   0   0   2  10   0   0   2   0   0 100
F_Parra       26 arg   L  3  6  7 17 31 34 300 837 572 354   4   0   0   1   3   0   0   4   0   0 100
Gino_Clara    28 arg   C  3  8  8 16 72 32 300 652 372 568   1   0   1   1   5   0   0   1   0   0 100
L_Nuñez       28 arg  RC  3  8  4 14 36 36 300 300 352 430   0   0   0   0   0   0   0   0   0   0 100
