Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
S_Guzman      23 arg   L 15  2  2  2 41 26 488 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Cambiasso   21 arg   R 12  2  2  2 50 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Gutierrez   23 arg   L 10  2  2  2 31 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Gerez       28 arg  LC  2 13  4  5 57 27 300 705 305 285   0   0   0   0   0   0   0   0   0   0 100
E_Faccioli    22 arg   L  2 12  5  5 27 30 300 400 280 280   0   0   0   0   0   0   0   0   0   0  93
F_Manccinelli 26 arg   R  2 12  5  5 42 24 300 480 300 307   0   0   0   0   0   0   0   0   0   0  93
Villavicencio 23 arg   L  2 11  6  4 55 23 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Vilchez     22 arg   R  2 11  4  4 74 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Vizcarrondo 29 arg   C  2 10  6  6 37 26 300 595 315 295   0   0   0   0   0   0   0   0   0   0  95
R_Riggio      29 arg   R  2 10  9  5 72 23 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Martinez    23 arg  LC  2  9 11  4 46 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Ricci       22 arg   R  2  5 15  4 62 38 300 300 400 300   0   0   0   0   0   0   0   0   0   0 100
P_Mannara     25 arg   C  2  5 14  6 27 30 300 300 320 300   0   0   0   0   0   0   0   0   0   0  90
D_Vega        23 arg   C  2  6 12  5 69 30 300 360 320 300   0   0   0   0   0   0   0   0   0   0 100
Z_Sisko       20 arg   L  2  5 12  4 42 36 300 295 315 310   0   0   0   0   0   0   0   0   0   0  95
M_Rolle       23 arg  RL  2  5 11 10 66 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Hanuch      20 arg   R  2  5  9  5 42 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Mas         29 arg   C  2  6  9  4 52 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Ramirez     21 arg   L  2  4  9  5 30 24 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Donovan     25 usa  RL  3  4 12 14 47 36 300 420 840 420   2   0   0   6   0   0   1   1   0   0 100
D_Galvan      18 arg   R  2  5  7 11 68 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Moltres       26 arg   C  2  6  7 18 48 22 300 759 434 644   3   0   1   1  11   0   0   0   0   0  99
A_Barijho     22 arg   C  2  6  5 16 36 32 300 639 760 872   0   0   0   0   0   0   0   0   0   0  90
A_Delorte     26 arg   C  2  4  6 15 26 28 300 300 300 307   0   0   0   0   0   0   0   0   0   0 100
L_Gonzales    26 arg   C  2  5  6 13 57 30 300 360 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Estevez     26 arg RLC  2  4  5 12 50 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Castillo    23 arg  RL  2  6  5 10 43 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100

