Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
Iker_Casillas 20 arg  RC 25  3  3  3 48 26 663 300 300 300   9  27   0   0   0   0   0   0   0   0 100
S_Saja        26 arg   C 15  2  2  2 55 32 640 300 300 300   1   1   0   0   0   0   0   0   0   0 100
G_Campagnuolo 23 arg  RC 12  2  2  2 58 30 495 300 300 300   1   0   0   0   0   0   0   0   0   0 100
Jose_Ramirez  26 arg   L  9  2  2  2 54 24 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_Ameli       29 arg   R  2 22  5  5 60 29 300 662 786 540   8   0  10   2   3   0   0   7   0   0  96
F_Coloccini   23 arg   R  2 22  5  6 61 30 300 858 961 609  10   0  14   5   0   0   0   1   0   0  94
D_Manusovich  25 arg  LC  2 18  5  6 41 28 300 667 939 551  10   0   9   3   3   1   0   3   0   0  90
Oscar_Ruggeri 20 arg   R  2 17  8  5 48 34 300 827 828 328  10   0  16   4   1   0   0   3   0   0  94
F_A_Batista   20 arg  RL  2 11  5  6 31 30 300 420 300 319   4   0   4   0   1   0   0   0   0   0 100
R_Oveja_Telch 24 arg   R  2 10  5  4 32 35 300 368 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Michelini   23 arg  LC  2  9  5  5 56 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Rivarola    21 arg  LC  2  9  9  4 52 29 300 804 698 365   0   0   0   0   0   0   0   0   0   0 100
L_Pusineri    23 arg   L  2  6 21  6 58 30 300 444 628 541  10   0   1  12   2   0   1   1   0   0  96
L_Rodriguez   27 arg  LC  2  5 13  5 38 33 300 300 345 300   0   0   0   0   0   0   0   0   0   0  95
Mario_Santana 24 arg   R  2  6 13  5 27 34 300 484 319 250   9   0   1  13   0   0   1   3   0   0  90
RC_Montserrat 30 arg   L  2  4 12  4 26 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Bambino_Veira 19 arg   C  2  5 10  4 44 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Paulo_Silas   19 arg   R  2  4 10  9 53 34 300 524 415 583   1   0   0   1   0   0   0   0   0   0 100
L_Romagnoli   22 arg   L  2  4  9  6 29 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Carlos_Netto  20 arg  LC  2  6 14 12 52 21 300 584 897 460  10   0   5  10   5   1   0   1   1   0 100
N_Ortigoza    20 arg   C  3  6 15 12 57 33 300 467 320 831  10   0   2  13   6   0   1   0   0   0  99
Berni_Romeo   30 arg   C  2  4  5 17 58 30 300 763 687 612   9   0   2   1  13   1   0   1   0   0  96
Guille_Franco 24 arg   R  2  5  5 14 36 34 300 687 391 628   9   0   1   0   4   0   0   2   0   0  90
C_D_Biaggio   19 arg   C  2  4  4 11 34 21 300 385 510 991   5   0   0   2   5   1   0   4   0   0 100
Raul_Estevez  21 arg   C  2  5  5  9 40 25 300 300 300 300   1   0   0   0   0   0   0   0   0   0 100

