Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
Oliver_Kahn   23 ger   R 23  3  3  3 42 39 872 300 300 300  14  44   0   0   0   0   0   0   0   0 100
G_Sessa       30 arg   R 17  3  3  3 60 31 616 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Otamendi    21 arg   R  3 22  8  9 71 34 300 719 364 508  12   0  13   4   8   0   0   5   0   0 100
M_Uglessich   16 arg   C  3 21  5  7 64 23 300 578 617 596  10   0  12   7   3   0   0   1   0   0 100
E_Berizzo     19 arg   C  3 21  7  6 48 33 300 457 707 760   9   0  11   0   0   0   0   2   0   0 100
C_Ansaldi     19 arg  RL  3 19  9  8 38 35 300 682 393 442  10   0   9   9   9   1   2   2   0   0 100
M_Torsiglieri 21 arg  RL  3 17 10  7 71 39 300 858 373 872   6   0   3   6   2   0   1   1   0   0 100
G_Vilariño    18 arg   C  3 16  8  8 29 33 300 824 508 453   2   0   1   0   0   0   0   0   0   0 100
M_Pellegrino  18 arg  RC  3 14  5  7 37 31 300 665 535 786   0   0   0   0   0   0   0   1   0   0 100
F_Tobio       21 arg  RC  3 13 15  6 77 27 300 776 771 633  10   0   1  11   5   0   1   2   0   0 100
M_Moralez     24 arg  LC  3  7 29  8 70 26 300 862 785 504  14   0   1  50   6   0   5   1   0   0 100
A_Fernandez   21 arg RLC  3  7 26  9 67 24 300 575 437 631   8   0   0  22   8   1   4   3   0   0 100
R_Alvarez     19 arg RLC  3  6 21  6 41 23 300 474 701 691   6   0   0   8   2   0   0   4   0   0 100
Burruchaga    20 arg   R  5 12 18 10 61 33 300 540 795 330   3   0   2  11   2   0   0   0   0   0 100
Enzito_C      18 arg   L  5 12 18  6 55 25 300 360 380 345   1   0   0   0   2   0   0   0   0   0 100
Jota_Eme      19 arg   C  4  9 18 10 45 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Bassedas    28 arg   C  3  5 17  6 44 36 300 400 581 874   7   0   0  12   6   1   0   0   0   0 100
M_Bravo       17 arg   L  3  5 15  5 34 31 300 337 437 429  10   0   0  17   5   0   1   2   0   0 100
L_Castroman   27 arg  RC  3  4 17 16 58 30 300 975 612 457  12   0   2  15  26   1   0   0   0   0 100
Sergio_Sena   21 arg   R  3  6 14 11 65 36 300 485 395 635   1   0   0   2   1   0   0   1   0   0 100
M_Zarate      23 arg   L  3  7 11 26 66 36 300 543 318 683  12   0   5  13  39  10   0   6   0   0 100
R_Gareca      20 arg  RC  5 11 11 18 73 35 300 400 325 450   3   0   1   1   8   0   0   0   0   0 100
Flordelmundo  18 arg   R  3 11 14 15 76 30 300 300 480 314   0   0   0   0   0   0   0   0   0   0 100
A_Ortega      23 arg   L  3  6  9 17 57 22 300 703 427 651   1   0   0   0   2   0   0   1   0   0 100
G_Tidrokra    19 bul   R  2  4  3 16 38 44 300 338 487 722   7   0   0   1  20   2   0   0   0   0 100

