Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
H_Castellano  23 arg   L 29  2  2  2 48 32 602 300 300 300  14  91   0   0   0   0   0   0   0   0 100
N_Friedlander 19 arg   C 17  3  3  3 80 35 967 300 300 300   2   1   0   0   0   0   0   0   0   0 100
Lucas_Ischuk  21 arg   C 17  5  4  4 69 25 300 420 300 325   0   0   0   0   0   0   0   0   0   0 100
JP_Sorin      22 arg   C  3 27  8  6 53 25 300 398 361 974  14   0  23   7   1   0   1   3   0   0  83
C_L_Diaz      22 arg  RC  2 25  7  7 64 35 300 799 766 636  14   0  15   5   6   0   0   2   0   0  86
C_Alvarez     21 arg   R  4 22 11  7 39 25 300 435 607 284  11   0  14   5   1   0   0   2   0   0  79
Satanas_Paez  25 arg   L  2 20  4  5 44 33 300 326 935 560  10   0  14   2   2   0   0   2   0   0  78
C_Casteglione 19 arg   C  5 19 10 12 55 38 300 485 683 376   4   0   3   6   5   0   0   1   0   0 100
V_Cuesta      17 arg   C  4 17  9  9 72 24 300 270 420 297   2   0   0   2   1   0   0   1   0   0 100
O_Espinola    18 arg   L  4 16  6 11 68 21 300 280 310 302   2   0   0   1   2   0   0   0   0   0 100
G_Rivarola    17 arg   L  3 14 14 11 51 27 300 901 691 611   1   0   0   0   0   0   0   0   0   0 100
M_Almada      30 arg   R  2  6 28  5 60 21 300 524 804 699  14   0   5  44   4   0   5   2   0   0  85
R_Monserrat   25 arg   C  2  6 25  4 45 30 300 723 460 722  11   0   1  31   2   0   0   4   0   0  80
Oliver_Atom   19 arg   C  3  4 23  6 50 38 300 743 588 556  12   0   1  22   5   0   2   5   0   1  77
S_Escudero    23 arg RLC  2  6 22  6 51 27 300 456 626 393   9   0   1  21   1   0   2   0   0   0  82
C_Llama       21 arg   L  4  9 20 10 67 22 300 666 692 689   5   0   1  10   0   0   0   1   0   0 100
Tom_Misaki    21 arg   R  5 11 20 12 67 37 300 455 799 771   0   0   0   0   0   0   0   0   0   0 100
JJ_Serrizuela 25 arg  LC  2  8 19  5 31 27 300 344 894 846   1   0   0   2   0   0   0   0   0   0 100
C_Gomez       21 arg   C  4  9 17  9 68 32 300 410 895 364   0   0   0   0   0   0   0   0   0   0 100
A_Gonzalez    20 arg   R  3  9 17  8 64 26 300 714 802 504   0   0   0   0   0   0   0   0   0   0 100
David_Beckham 22 eng  RC  2  1 20 16 47 10 300 280 340 291   2   0   0   2   1   0   0   0   0   0 100
Goku          21 arg   C  3  6 15 13 32 39 300 907 514 453   0   0   0   0   0   0   0   0   0   0 100
C_Fabbiani    20 arg  LC  2  6  5 31 79 27 300 873 303 447  14   0   0   3  70  11   0   0   0   0  95
M_Regueiro    22 arg  LC  3  6  8 23 65 39 300 970 535 305  13   0   1   3  40   2   0   2   0   0  86
Steve_Hyuga   17 arg   C  3  6  5 21 46 36 300 348 559 513   1   0   0   0   2   0   0   3   0   0 100
F_Palopoli    18 arg   R  3  6  7 20 80 32 300 270 560 630   5   0   0   0  10   0   0   1   0   0 100

