Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
C_Kletnicki   28 arg   R 20  2  2  2 49 37 323 300 300 300  15  48   0   0   0   0   0   0   0   0 100
Fede_Buffa    20 arg  LC 14  2  2  2 57 39 772 300 300 300   2   1   0   0   0   0   0   0   0   0 100
M_Martinez    22 arg   C  2 18  4  5 57 30 300 442 950 675  14   0   9   4   4   0   0   4   0   0  67
M_Caceres     27 arg RLC  2 17  5  4 62 29 300 883 766 341  15   0  18   3   2   0   0   4   0   0  84
W_Gund        29 arg   C  2 16  4  4 46 36 300 825 261 240   9   0   8   1   0   0   0   0   0   0  54
El_Topo       20 arg RLC  2 15  5  5 27 40 300 530 332 290   7   0   4   2   0   0   0   1   0   0  20
Q_Uka         27 jap   R  2 15  4  4 47 30 300 771 491 302   5   0   6   3   1   0   0   3   0   0 100
R_Udnend      26 cro   C  2 15  3  4 47 45 300 721 519 323   7   0   6   2   0   0   0   0   0   0 100
Nacho_Decarli 20 arg   R  3 14  7  5 33 33 300 519 367 288   4   0   3   4   3   0   0   4   0   0 100
M_Cahais      24 arg   L  2 13  4  4 32 30 300 949 683 436   4   0   4   3   1   0   1   0   0   0 100
Javier_Lux    25 arg RLC  2 15 16  7 38 63 300 550 418 250   7   0   5   8   0   0   0   3   0   0  67
D_De_Rossi    26 ita RLC  3 12 15  7 66 30 300 442 966 300  14   0  10  25   3   0   2   3   0   0  69
Tropius       22 arg   R  3 11 14  9 59 38 300 885 691 705   4   0   1  17   1   0   0   0   0   0 100
P_Toranzo     25 arg  RC  2  5 16  4 49 34 300 579 647 346   7   0   1  17   0   0   2   2   0   0 100
I_Lity        27 arg   R  2  5 16  4 28 38 300 300 405 313   1   0   0   5   1   0   0   0   0   0 100
L_Donati      20 arg   R  3  6 16  5 44 32 300 390 501 277  10   0   2  11   1   0   0   1   0   0  47
Origüela      23 arg   R  2  4 14  3 30 35 300 255 956 255   4   0   0   7   0   0   1   1   0   0 100
P_Onhurt      26 bra   L  2  3 14  4 24 34 300 408 462 323   7   0   1   4   2   0   0   0   0   0  87
Z_Jaebr       19 arg RLC  2  5 10 11 34 21 300 715 548 344   2   0   0   3   0   0   0   0   0   0  73
V_Píriz_Alves 32 arg   C  2  2  4 22 50 54 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Santi_Anselmo 17 arg   R  3  7  4 17 42 30 300 358 414 715  13   0   0   2  23   6   0   0   0   0  48
Tomi_Rollan   23 arg   C  2  4  3 16 22 29 300 360 300 333   7   0   1   0   3   0   0   0   0   0  43
Rubén_Ferrer  26 arg RLC  1  1 10 15 80 70 300 215 558 634  12   0   0  12  16   2   0   6   0   1 100
Gaona_Lugo    17 arg   R  3  6  8 15 31 26 300 270 467 448  10   0   0   3   7   0   0   1   0   0  85
Sergio_Araujo 18 arg   L  2  5  4 15 42 22 300 759 447 547  13   0   2   0   8   2   0   1   0   0 100
A_Otroory     19 bra RLC  2  3  4 14 62 34 300 370 534 919   7   0   0   4  23   3   0   0   0   0 100

