Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
Kasey_Keller  28 usa   L 20  3  3  3 34 29 863 300 300 300  16  45   0   0   0   0   0   0   0   0 100
Jorge_Broun   27 arg  RL 14  2  2  2 32 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Ronald_Raldes 31 bol   C  2 20  1  6 46 63 300 813 358 435   7   0   7   0   3   1   0   1   0   0  69
E_Andewjh     25 ger   R  2 20  6  4 58 43 300 824 451 849  13   0  16   6   3   0   0   3   0   0  81
Tauros        22 arg   C  2 17  4  5 65 24 300 885 822 725  13   0  16   5   5   0   0   2   0   0 100
J_Sanguinetti 20 arg RLC  3 17  5  9 64 37 300 971 489 506  11   0  13   2   6   1   1   1   0   0  69
Golem         31 arg   R  2 16  5  5 39 24 300 899 650 847   4   0   0   1   2   0   0   2   0   0 100
N_Valentini   25 arg   C  2 16  5  5 58 23 300 312 344 285   7   0   9   3   2   0   0   0   0   0 100
M_Bustamante  22 arg  LC  2 15  4  4 64 21 300 400 696 455   2   0   3   2   0   0   0   1   0   0 100
R_Delgado     24 arg   R  2 14  5  4 39 36 300 368 368 381   1   0   0   0   1   0   0   0   0   0 100
Matias_Lequi  18 arg   R  2 14  4  4 56 25 300 752 425 394   2   0   2   1   0   0   0   0   0   0  81
J_P_Francia   26 arg   C  5 14 17 10 32 53 300 350 598 353   8   0   1  13   1   1   1   1   0   0  40
Ariel_Zapata  26 arg   C  1 16 17  9 45 67 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Dudek       18 arg   L  4 12 15 10 62 21 300 974 315 557  14   0   8  19  19   0   3   2   0   0  81
Aaron_Lennon  27 eng   R  3 12 13  8 42 38 300 768 973 483  12   0   2  16   7   0   3   0   0   0  88
G_Karagounis  21 gre  RC  2  1 20 14 53 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Ocampos     17 arg   L  3  7 20  7 47 39 300 560 772 448   7   0   2  21   8   1   0   2   0   0  66
Ricardo_Gomez 21 arg   L  2  6 16  5 44 30 300 372 311 365   9   0   1  23   4   0   2   0   0   0 100
Sidd          20 arg   R  2  6 14  4 44 33 300 250 810 298   5   0   0   8   2   0   1   1   0   0 100
Alakazam      21 arg   L  2 10 13  5 47 39 300 530 618 510   1   0   0   0   0   0   0   3   0   0 100
F_Vismara     21 arg   C  2  5 13  4 42 24 300 358 778 383   8   0   0  16   3   0   0   1   0   0 100
Paulo_Rink    25 ger RLC  3  6 17 14 68 35 300 280 668 316   6   0   0  16  13   1   1   0   0   0  89
Gio_Moreno    25 arg   R  2  5 11 11 57 28 300 419 880 307   8   0   2  16   5   0   1   4   0   0 100
M_Galvaliz    24 arg   L  2  6 10 10 59 21 300 290 302 378   2   0   0   0   2   0   0   1   0   0 100
P_Becker      26 arg   C  2  5  7  9 59 21 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Nicolay     32 arg RLC  5  4 13 19 33 73 300 406 525 536   6   0   0   4   8   1   1   3   0   1  70
S_Biglieri    25 arg   C  2  6  4 15 32 35 300 446 523 664  11   0   0   3  38   7   0   0   0   0  29
R_Salinas     29 arg   L  2  5  6 12 35 32 300 360 300 300   3   0   1   0   0   0   0   0   0   0 100
L_Monje       27 arg   L  2  5  5 12 42 32 300 522 462 853   5   0   2   3  20   3   0   0   0   0 100

