Home                           Away
----                           ----

Quilmes                        Gimnasia y Esgrima de La Plata

GK  D_Vega                     GK  O_Ibsi                    
DFC D_Macaluso                 DFC Juan_Forlin               
DFC Milton_Casco               DFC J_C_Blengio               
DFC Ivan_Cordoba               DFC O_Barsottini              
DFC G_Rodriguez                DFC Lucas_Licht               
MFC C_Gomez                    MFC M_Ballack                 
MFC I_Lity                     MFC L_Sapetti                 
MFC R_Faeck                    MFC Choy_Gonzalez             
MFC W_Jhokusht                 MFC Nico_Cabrera              
FWC M_Alustiza                 FWC E_Terzaghi                
FWC D_Akerman                  FWC G_Higuain                 

4-4-2 Normal                   4-4-2 Normal                   


*************  COMIENZA EL PARTIDO  *****************
Min.  1 :(qui) Ivan_Cordoba con un pase de tiralíneas para M_Alustiza
          ...  O_Barsottini llega como un tren y corta el ataque lanzándose al suelo
Min.  2 :(qui) W_Jhokusht dispara en carrera!
          ...  El defensa mete la pierna
          ...  sale rebotada hacia D_Akerman!
          ...  D_Akerman se deshace de su marcador ! 
          ...  Buen movimiento! Y dispara!
          ...  O_Ibsi mete los puños 
          ...  Y la manda a fuera de banda
Min.  3 :(qui) I_Lity avanza con el balón controlado
          ...  Ve el desmarque de un compañero!
          ...  Cruza el pase!
          ...  G_Rodriguez con un control facilísimo
          ...  G_Rodriguez chuta!
          ...  O_Ibsi para
          ...  Colocación y reflejos, la clave en un portero
Min.  4 :(qui) C_Gomez con un pase muy fuerte para M_Alustiza
          ...  M_Alustiza trata de sorprender a al portero ! 
          ...  M_Alustiza resbala!
          ...  Pero llega a desviar el disparo!
          ...  Golpea en el palo...
          ...  GOOOOOL !!
          ...  Qué mala suerte!
          ...  Gritos de "TONTO, TONTO" en la grada!
          ...  qui 1-0 gim ...
Min.  5 :(qui) M_Alustiza evita la dura entrada de su marcador
          ...  M_Alustiza impacta el balón con dureza !
          ...  Rebota en el palo!! 
          ...  Se anticipa al defensa para el rebote 
          ...  Es gol de Abreu, Abreu, Abreeeeeeeeeeu !! 
          ...  Ha tirado fuera! Como? Si no había portero!
Min.  6 :(qui) M_Alustiza controla de espaldas a la portería
          ...  Se protege del defensa con los brazos
          ...  Gira... y se lo lleva!
          ...  M_Alustiza prueba suerte!
          ...  Los aficionados se levantan de sus asientos!
          ...  El portero no se mueve !!
          ...  Pero sale a centímetros de la escuadra!
          ...  el portero respira aliviado!
Min.  7 :(qui) R_Faeck mete un balón interior para M_Alustiza
          ...  M_Alustiza salta y pica el balón perfectamente de cabeza !
          ...  O_Ibsi hace una parada sencillita
          ...  El disparo no llevaba mucho peligro
Min.  8 :(qui) M_Alustiza aprovecha un fallo defensivo
          ...  Eso ha sido afortunado
          ...  M_Alustiza chuta!
          ...  O_Ibsi resbala
          ...  Pero ve como el disparo se pierde lejos de su marco!
Min.  9 :(qui) Milton_Casco cede atrás para D_Akerman
          ...  D_Akerman connecta el balón con la cabeza y lo peina hacia atrás!
          ...  Los aficionados se levantan de sus asientos!
          ...  O_Ibsi vuela y bloca la pelota
          ...  Grande chico, grande!
Min. 10 :(qui) D_Akerman mete el pie y se lleva el balón. Ojo!
          ...  D_Akerman busca el gol!
          ...  El balón busca el ángulo! Peligro!!!
