Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
E_Brunyobt    18 arg   C 21  4  4  4 77 31 778 300 300 300  10  51   0   0   0   0   0   0   0   0 100
Diego_Pozo    22 arg  RC 14  2  2  2 67 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Mehring     22 arg   R 13  2  2  2 40 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Bailo       24 arg  LC 12  2  2  2 47 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Philipp_Lahm  28 ale  RL  1 26 16  8 65 44 300 687 701 419   9   0  28  14   5   0   1   2   0   0  81
Q_Joigro      17 arg   L  5 20  6  7 67 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Mx_Pellegrino 28 arg   C  2 18  4  5 44 25 300 465 349 308  14   0  23   2   4   0   0   3   0   0 100
G_Alcoba      23 arg   C  2 17  5  5 57 37 300 889 515 414  18   0  23   8   7   0   0   1   0   0  56
B_Urribarri   23 arg  RC  2 16  6  4 32 28 300 406 627 413  16   0  13  11   9   0   2   4   0   0  47
Juli_Barraza  24 arg   R  2 13  6  6 35 29 300 869 402 389   4   0   3   2   2   1   0   4   0   0 100
S_Fosgt       19 arg   R  2 12  5  5 74 22 300 600 356 402   1   0   4   1   0   0   1   0   0   0 100
L_Castillo    24 arg   C  2 12  5  5 52 35 300 453 348 356   2   0   2   0   1   0   0   0   0   0 100
C_D_Ledesma   30 arg   R  5 18 20  3 42 57 300 803 979 468   8   0   5  21   0   0   2   4   0   0  47
Ariel_Zapata  27 arg   C  1 16 17  9 45 67 300 476 494 303   9   0   3   9   1   0   0   5   0   0 100
Adrian_Bastia 25 arg   L  2 10 10  4 57 24 300 826 621 342   9   0   5   9   2   0   1   3   0   0 100
F_Jourdan     27 arg   L  2  9 10  4 39 31 300 464 534 399   0   0   0   0   0   0   0   0   0   0 100
Marcos_Bolzán 31 arg   L  2 10 22 13 42 40 300 361 609 321   4   0   1  13   2   0   1   1   0   0 100
Jose_Chatruc  25 arg  RC  1 10 21 10 50 50 300 913 464 489  14   0   9  31  14   0   4   3   0   0 100
L_Mugni       28 arg   R  2  4 17  4 58 24 300 551 493 430  16   0   3  38   5   0   0   1   0   0  68
S_Prediger    21 arg   C  2  6 14  6 66 32 300 430 853 583  12   0   1  18  13   1   3   0   0   0 100
Ric_Gomez     22 arg   C  2  6 13  5 43 21 300 303 573 303   0   0   0   0   0   0   0   1   0   0 100
G_Graciani    27 arg   C  2  5 13  6 39 34 300 402 492 442   0   0   0   0   0   0   0   1   0   0 100
H_Berardello  24 arg   L  2  5 13  4 65 27 300 300 345 300   0   0   0   0   0   0   0   0   0   0 100
I_M_Fabianesi 23 arg  RC  2  4 12  5 54 38 300 411 624 304   2   0   2   5   1   0   0   2   0   0 100
M_Fernandez   30 arg   R  2  5  9 10 55 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Luque       24 arg  RC  2  5  9 10 71 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Papu_Gomez  24 arg  RC  1  1 19 23 73 55 300 394 912 621   9   0   0  23  59   8   1   1   0   0  98
Pablo_Piatti  24 arg  RC  2  1 16 24 79 48 300 384 804 639  18   0   0  20 106  10   0   2   0   0 100
Ruben_Ramirez 28 arg   L  2  5  6 15 69 37 300 339 393 834  10   0   0   2  29   4   0   4   0   0 100
F_Curuchet    24 arg   R  2  6  5 14 40 34 300 384 366 562   5   0   1   2   8   0   0   1   0   0 100
E_Gigliotti   29 arg   L  2  5  6 14 31 26 300 300 390 380   0   0   0   1   0   0   0   0   0   0 100
L_Alario      18 arg   C  2  5  4 12 56 21 300 300 300 307   1   0   0   0   1   0   0   0   0   0 100

