Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
V_Enyeama     23 nig   R 18  3  3  3 91 36 830 300 300 300  20  63   0   0   0   0   0   0   0   0 100
D_Grosso      18 arg   C 17  4  4  5 77 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Justo_Villar  24 arg   C 16  2  2  2 59 37 585 300 300 300   1   3   0   0   0   0   0   0   0   0 100
J_Menghini    32 arg RLC  2 23 10 13 48 46 300 595 555 447   8   0  12   6   4   0   0   1   0   0  81
M_Laspada     22 arg  RC  3 22  9  8 42 36 300 668 928 549  13   0  30   8   5   1   0   2   0   0  66
E_Ruiz        19 arg   R  5 20 10  9 58 37 300 376 693 598  14   0  14  11  11   2   0   4   0   0  78
L_Orban       22 arg  RL  3 19  6  7 46 32 300 633 517 535   9   0  13   5   3   0   0   1   0   0 100
T_Taiwo       23 nig   R  3 18  8  7 62 30 300 566 510 360   3   0   3  10   6   0   0   0   0   0  99
M_Yepes       21 arg  RC  3 21  8  6 60 25 300 321 777 494  17   0  35  12   7   0   0   1   0   0  85
R_Schiavi     23 arg   C  2 16  4  4 43 29 300 733 387 336   7   0   6   4   3   0   0   1   0   0  55
Abel_Herrera  27 arg   L  2 16  4  4 62 35 300 828 432 375   5   0   5   4   3   0   0   1   0   0 100
JS_Veron      17 arg  LC  3 13 14 11 76 38 300 435 454 814   8   0   5  23  14   1   1   0   0   0 100
Hasan_Sas     36 tur   C  2 11 24 14 32 49 300 883 803 459  14   0   5  30   6   0   5   4   0   0  67
L_Astrada     26 arg RLC  3  9 21  6 47 39 300 409 835 926   8   0   1  13   3   0   1   2   0   0  70
P_Vidal       18 arg   L  4 11 20  6 53 26 300 897 341 961  16   0   2  38   2   0   1   1   0   0 100
J_Datolo      26 arg   R  3  5 19  5 69 33 300 413 584 767  14   0   3  49  12   1   3   0   0   0  78
M_Gelabert    16 arg   L  4  9 17  9 33 37 300 349 742 360   4   0   0  17   1   0   0   2   0   0  42
Lean_Benitez  24 arg   C  2  5 17  5 49 39 300 327 381 413   4   0   0  16   6   0   2   0   0   0  63
E_Perez       18 arg   L  4  6 16 16 63 22 300 508 490 964  11   0   0  18  32   4   2   1   0   0  85
Matuzalem     32 bra RLC  5  4 17 22 38 63 300 384 780 493   8   0   1  15  13   0   3   1   0   0  65
Angel_Romano  28 uru RLC  2 14 18 23 46 32 300 504 485 467  16   0   1  26  37   5   0   3   0   1  62
A_Chavez      20 arg   C  5  9  9 23 49 30 300 410 802 390  15   0   0  11  62   5   1   4   0   0 100
E_Ryodsamn    18 arg   C  4  9 11 21 35 27 300 655 825 887  14   0   0  11  33   3   0   2   0   0  68
M_Ajheble     20 esp   R  3  6  6 17 33 10 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Duvan_Zapata  26 arg   C  2  5  6 16 62 21 300 424 448 597   6   0   1   3  54   5   0   1   0   0  85

