Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
J_Burrai      21 arg   C 19  3  3  3 38 31 467 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Limia       21 arg   C 17  3  3  3 49 30 493 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Sepp_Maier    28 ger   R 16  3  3  3 71 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Javi_Garcia   21 arg   L 16  3  3  3 57 37 441 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Agustin_Silva 26 arg  RC 16  2  2  2 32 37 391 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Perafán     24 arg   L 15  2  2  2 58 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Marinelli   21 arg  LC 15  3  3  3 46 29 633 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Dreer       30 arg  RC 14  2  2  2 50 25 734 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Peratta     18 arg   R 14  2  2  2 32 35 819 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Banega      24 arg   L 14  3  3  3 33 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Bebtimn     28 arg   C 14  2  2  2 37 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Oscar_Ustari  22 arg RLC 14  3  3  3 51 30 384 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Tentacruel    23 arg  RC 14  3  3  3 42 24 991 390 300 300   0   0   0   0   0   0   0   0   0   0 100
J_L_Chilavert 25 arg   C 14  3  3  3 55 30 429 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_J_Fernandez 25 arg  RL 14  2  2  2 49 32 451 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Sosa        19 arg  LC 14  4  4  4 60 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Zato          22 arg  LC 14  3  3  3 37 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Saccone     23 arg   R 13  3  3  3 51 24 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Garcia      27 arg   L 13  2  2  2 61 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Breyesy     27 arg   L 13  2  2  2 51 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Lugo        26 arg   L 13  2  2  2 71 32 392 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Monetti     29 arg   L 13  2  2  2 61 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Seba_Lopez    23 arg   L 13  3  3  3 30 21 311 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Guzman      24 arg  LC 13  2  2  2 63 27 308 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Ale_Limia     24 arg   R 13  2  2  2 72 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Lux         27 arg  LC 13  3  3  3 58 23 448 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Nico_Caprio   24 arg  RC 13  2  2  2 29 22 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Mario_Cuenca  27 arg   L 13  2  2  2 33 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_De_Olivera  28 arg  RL 13  2  2  2 48 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Cordoba     26 arg  LC 13  3  3  3 58 28 450 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Constanzo   28 arg RLC 13  3  3  3 45 38 352 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Bologna     25 arg   R 13  2  2  2 60 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Caranta     22 arg   C 13  3  3  3 43 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Gandalf       23 arg   R 12  2  2  2 72 24 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Rulli       30 arg   L 12  2  2  2 52 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Blastoise     29 arg   C 12  2  2  2 54 24 500 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Khazad_dûm    22 arg   C 12  2  2  2 32 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Assman      29 arg   C 12  3  3  3 63 21 322 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Dobler      26 arg  RC 12  2  2  2 30 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Cambiasso   22 arg   R 12  2  2  2 50 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Campestrini 30 arg   C 12  2  2  2 42 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Saruman       27 arg   R 12  2  2  2 39 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
K_Onyurst     27 ita   C 11  2  2  2 32 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Isaac_Baez    23 arg   C 11  2  2  2 66 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Waisman     26 arg   R 11  2  2  2 26 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Carrera     27 arg   C 11  2  2  2 50 21 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Maes        24 arg   R 11  2  2  2 67 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Lucas_Hoyos   21 arg   L 11  2  2  2 32 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
X_Trewsh      27 cam  LC 11  2  2  2 39 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Abbondanzieri 27 arg   R 11  3  3  3 74 31 300 368 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Sov         28 den   L 10  2  2  2 48 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Lupardo     18 arg   R 10  2  2  2 30 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Migliore    25 arg   R 10  2  2  2 50 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Gutierrez   24 arg   L 10  2  2  2 31 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Oscar_Passet  28 arg   L 10  2  2  2 55 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Santillo    30 arg  LC 10  2  2  2 30 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Loekim      26 isr RLC 10  2  2  2 37 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Limia       29 arg   R  9  2  2  2 30 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Aguerre     30 arg   R  9  3  3  3 49 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Machamp       25 arg   C  9  2  2  2 69 24 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Celaya      30 arg   C  5 18  2  5 33 63 300 425 488 485   0   0   0   0   0   0   0   0   0   0 100
J_Barraza     25 arg   C  2 16  5  3 33 22 300 518 873 914   1   0   1   0   0   0   0   0   0   0 100
J_P_Avendaño  22 arg  RC  2 16  5  4 45 21 300 545 342 300   3   0   2   2   0   0   0   0   0   0 100
Bruno_Bianchi 26 arg  RC  2 16  6  5 29 37 300 395 300 320   1   0   1   0   2   0   0   0   0   0 100
S_Vergini     27 arg   L  2 16  5  5 73 28 300 533 540 448   5   0   3   3   0   0   0   3   0   0 100
Abidal        22 arg   L  2 15  5  3 41 32 300 840 338 270   1   0   0   0   0   0   0   0   0   0 100
M_Posniak     21 arg   R  2 15  4  5 56 28 300 942 422 309   1   0   5   0   0   0   0   0   0   0 100
L_Galeano     25 arg RLC  3 15  8  7 55 30 300 350 925 605   0   0   0   0   0   0   0   0   0   0 100
R_Mazacotte   20 arg   L  2 15  4  4 38 37 300 355 387 307   2   0   3   2   1   0   0   0   0   0 100
Hugo_Nervo    27 arg   R  2 15  6  6 27 38 300 576 411 365   0   0   0   0   0   0   0   0   0   0 100
Damian_Perez  21 arg   C  2 15  6  5 75 21 300 697 478 744   0   0   0   0   0   0   0   0   0   0 100
Maxi_Lugo     19 arg   R  2 15  5  5 29 22 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Isla        18 arg   R  2 15  4  5 35 28 300 654 345 331  10   0   4   1   1   0   0   1   0   0 100
A_Garce       21 arg   R  3 15  7  6 72 37 300 600 723 511   0   0   0   0   0   0   0   0   0   0 100
E_Broedn      20 arg   R  3 15  5  7 44 26 300 307 500 405   0   0   0   0   0   0   0   0   0   0 100
J_Bermudez    25 arg  RL  3 15  6  4 29 29 300 323 795 717   0   0   0   0   0   0   0   0   0   0 100
Ditto         22 arg   R  3 14  6  8 38 30 300 524 360 300   0   0   0   0   0   0   0   0   0   0 100
I_Sekagya     22 arg   R  2 14  4  5 37 30 300 320 538 372   0   0   0   0   0   0   0   0   0   0 100
K_Ablow       26 arg   C  2 14  6  6 47 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Pellegrino  20 arg  RC  3 14  5  7 40 31 300 665 535 832   0   0   0   0   0   0   0   0   0   0 100
Y_Ikrubtibt   24 arg   L  2 14  6  5 39 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Delgado     25 arg   R  2 14  5  4 39 36 300 368 368 381   0   0   0   0   0   0   0   0   0   0 100
J_Valle       29 arg RLC  2 14  6  5 23 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Oreja       23 arg   R  2 14  6  5 47 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Barisone    30 arg   R  2 14  5  5 45 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Desábato    22 arg   C  2 14  6  5 47 32 300 586 370 343   1   0   0   0   0   0   0   0   0   0 100
Matias_Lequi  19 arg   R  2 14  4  4 56 25 300 752 425 394   0   0   0   0   0   0   0   0   0   0 100
J_Velazquez   25 arg   L  3 14  7  5 63 37 300 533 627 842   0   0   0   0   0   0   0   0   0   0 100
J_M_Diaz      22 arg  RL  3 14  7  9 75 34 300 523 418 415   0   0   0   0   0   0   0   0   0   0 100
M_Velazquez   28 arg   C  3 13  8  6 29 23 300 755 490 783   0   0   0   0   0   0   0   0   0   0 100
Morel         26 ita   L  2 13  5  5 23 49 300 844 300 370   0   0   0   0   0   0   0   0   0   0 100
N_Trepe       22 arg   L  2 13  6  5 67 30 300 390 330 300   0   0   0   0   0   0   0   0   0   0 100
Omar_Zarif    28 arg   R  2 13  6  4 42 23 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Caire       30 arg  RC  3 13  6  6 49 37 300 478 300 312   0   0   0   0   0   0   0   0   0   0 100
X_Udashoobt   26 arg RLC  2 13  3  5 52 52 300 492 752 388   0   0   0   0   0   0   0   0   0   0 100
Agus_Alayes   30 arg   C  2 13  5  6 36 21 300 386 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Yostik      20 hol   L  2 13  5  3 60 28 300 639 803 405   0   0   0   0   0   0   0   0   0   0 100
Kíli          26 arg   R  2 13  9  6 63 25 300 996 530 282   0   0   0   0   0   0   0   0   0   0 100
G_Milito      22 arg   L  3 13  6  6 67 33 300 807 843 433   0   0   0   0   0   0   0   0   0   0 100
M_Cahais      25 arg   L  2 13  4  4 32 30 300 949 683 436   0   0   0   0   0   0   0   0   0   0 100
E_Papa        28 arg   L  3 13  6  6 38 26 300 614 500 406   0   0   0   0   0   0   0   0   0   0 100
L_Monzon      22 arg   C  3 13  8  4 53 21 300 542 588 897   0   0   0   0   0   0   0   0   0   0 100
Raul_Iberbia  20 arg  RL  2 13  5  5 32 35 308 498 350 282   2   1   1   1   0   0   0   0   0   0 100
M_Manrique    29 fra   L  2 13  4  4 45 50 300 854 930 728   0   0   0   0   0   0   0   0   0   0 100
M_Caruzzo     23 arg   C  2 13  4  3 34 34 300 295 295 295   0   0   0   0   0   0   0   0   0   0 100
C_Piarrou     24 arg  RC  2 13  5  5 38 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
V_Lopez       30 arg   L  2 13  3  4 36 20 300 981 321 358   0   0   0   0   0   0   0   0   0   0 100
Aldo_paredes  27 arg   L  2 12  5  5 30 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_Carbonari   21 arg   C  2 12  5  6 72 22 300 698 734 702   0   0   0   0   0   0   0   0   0   0 100
E_Faccioli    23 arg   L  2 12  5  5 27 30 300 876 250 250   0   0   0   0   0   0   0   0   0   0 100
M_Antoniazzi  20 arg   C  2 12  4  5 69 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Sapo_Villar   27 arg   R  2 12  5  4 53 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Schunke     25 arg   C  2 12  4  5 65 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Manccinelli 27 arg   R  2 12  5  5 42 24 300 928 384 310   0   0   0   0   0   0   0   0   0   0 100
L_Zaifrani    26 arg RLC  2 12  4  5 28 24 300 957 485 389   0   0   0   0   0   0   0   0   0   0 100
P_Montero     27 arg   R  2 12  7  5 55 27 300 637 399 358   0   0   0   0   0   0   0   0   0   0 100
D_Espinola    28 arg RLC  2 12  4  4 68 23 300 897 657 393   0   0   0   0   0   0   0   0   0   0 100
C_Barriga     32 arg   C  1 12  3  2 22 30 300 788 719 430   0   0   0   0   0   0   0   0   0   0 100
L_Licht       28 arg  RL  2 12  5  6 43 33 300 630 300 312   0   0   0   0   0   0   0   0   0   0 100
C_Matheu      25 arg   R  3 12  8  5 58 27 300 774 686 529   0   0   0   0   0   0   0   0   0   0 100
J_Maidana     25 usa   C  2 12  4  5 45 32 300 460 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Mastronardi 23 arg   L  2 12  5  4 33 38 300 270 318 270   0   0   0   0   0   0   0   0   0   0 100
Nidoking      26 arg   R  2 12  4  5 65 24 300 380 376 300   0   0   0   0   0   0   0   0   0   0 100
German_Ré     21 arg   C  2 12  4  4 40 37 300 280 322 287   0   0   0   0   0   0   0   0   0   0 100
