Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
S_Uzeji       28 arg  LC 14  2  2  2 49 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Enyu        28 arg  RL 14  2  2  2 44 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Krurst      27 arg   R 14  2  2  2 24 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Sagriru     26 arg   L 12  2  2  2 59 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_Krecki      30 arg RLC 12  2  2  2 31 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Asyoejh     26 arg   R  9  2  2  2 52 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Tyagr       21 arg   C  2 13  4  4 38 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Jupasti     23 arg   C  2 13  4  5 47 43 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Zur         24 arg   R  2 12  5  5 55 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Rorart      30 arg   R  2 12  4  4 49 42 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Onhonh      25 arg   C  2 12  4  4 41 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Ryoka       27 arg   C  2 12  4  5 47 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Idrip       25 arg   C  2 11  3  4 48 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Stisyowho   19 arg   C  2 10  4  4 45 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Vartig      25 arg  RL  2  9  5  4 42 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Asyeyem     21 arg   C  2  8  7  4 47 45 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Ivrityids   25 usa  RC  2  7  8  4 46 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Ryachi      23 arg   R  2  7  7  5 59 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Arsavruck   29 arg   C  2  7  7  4 33 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Cooks       25 arg   R  2  4 14  4 51 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
X_Drub        25 arg   L  2  5 12  5 54 40 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_Ulo         25 arg   L  2  4 12  4 40 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Adnowno     28 arg   R  2  5 12  3 40 43 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Urstew      22 arg  RC  2  4 12  4 41 41 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Irstuavro   22 arg   C  2  4 12  3 34 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Groitoshtu  25 arg   C  2  5 11  4 27 44 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Leblachew   30 arg   L  2  3 11  4 57 41 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Usatoks     26 arg   C  2  5 10  4 57 44 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Clomnublu   20 arg RLC  2  5  8  7 59 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Tromnick    25 arg  RL  2  4  7  7 25 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Brenyaepu   30 arg   C  2  4  7  8 31 45 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Abtabl      28 arg   C  2  3  7  7 40 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Ushtoi      30 arg   C  2  4  4 13 40 43 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Itrugru     26 arg   C  2  5  5 12 49 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Bedr        27 arg   R  2  3  4 12 21 45 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
X_Askush      29 arg   R  2  5  5 12 21 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Atredo      27 arg   L  2  4  4 11 37 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Coayooko    19 arg   C  2  4  4 11 46 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Noinhey     25 arg   C  2  5  4  9 40 43 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100

