Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
J_Tredruarte  29 arg   C 15  2  2  2 42 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Obloaska    23 arg   R 14  2  2  2 24 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Cledriks    26 arg   C 13  2  2  2 52 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Uvrackew    27 arg   R 13  2  2  2 25 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Udsurtoo    26 arg   L 13  2  2  2 35 44 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Horseh      17 arg   R 12  2  2  2 53 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Toarst      25 arg   L  2 15  5  4 24 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Ackiksaf    24 arg   R  2 14  4  5 47 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Uvrishtu    21 arg   L  2 14  4  4 47 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Piyoocle    24 arg  RC  2 13  4  4 30 40 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Cand        25 arg   C  2 13  4  4 51 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Enhaks      18 arg   R  2 12  5  4 38 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Btifoe      22 arg RLC  2 11  3  4 22 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Echoanhir   18 arg  LC  2 11  3  4 36 42 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Ubooska     23 arg   C  2 10  4  4 52 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Dragi       28 arg   C  2  9  8  4 62 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Pof         17 arg   L  2  9  7  3 37 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Tronya      19 arg   R  2  8  7  4 58 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Ejowgru     28 arg   R  2  8  7  4 37 42 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
K_Ursa        27 arg  RC  2  5 15  4 59 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Jicl        26 arg   C  2  5 15  3 57 40 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Unhiksugr   17 arg   C  2  5 14  3 46 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Bivri       28 arg   R  2  4 13  3 57 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Vebs        24 arg  RC  2  3 13  3 28 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Ulokso      25 arg   L  2  4 13  3 30 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Askuda      24 arg   L  2  3 11  3 23 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Saey        22 arg   L  2  4 10  4 34 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Icem        19 arg   L  2  3 10  5 25 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Oru         28 arg  RL  2  5  9  8 40 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Chusovre    20 arg   C  2  3  9  7 48 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Driryaejho  24 arg   L  2  4  8  7 50 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Iksevruh    29 arg   C  2  5  8  8 50 44 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Otrichoa    27 arg  RC  2  5  4 16 61 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Ola         21 arg   R  2  5  4 14 28 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Zanoohi     23 arg  RC  2  5  4 13 39 43 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_Ugesu       25 arg   L  2  3  4 12 48 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
K_Oro         23 arg   L  2  4  4 12 40 45 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Cenart      23 arg   C  2  4  4 11 59 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Shijha      21 arg   L  2  4  5 10 41 42 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100

