Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
Javi_Garcia   21 arg   L 16  3  3  3 57 37 441 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Barrera     28 arg  RC  5 22  4  7 44 61 300 818 303 317   7   0   8   0   2   0   0   3   0   0 100
Q_Egu         21 arg   L  3 19  9 12 78 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Milton_Casco  18 arg  RC  2 18  5  5 70 28 300 959 576 520   9   0  11   6  10   0   0   0   0   0 100
A_Machuca     18 arg   C  2 18  6  4 49 38 300 569 656 338  13   0  16  13   0   0   0   6   0   0 100
Victor_Lopez  23 arg   C  2 17  5  6 37 26 300 751 498 450  20   0  16   4   5   0   0   0   0   0  47
M_Isla        18 arg   R  2 15  4  5 35 28 300 654 345 331  10   0   4   1   1   0   0   1   0   0  47
C_Villagra    20 arg RLC  2 17  4  5 51 33 300 892 715 657  11   0  24   2   0   0   0   3   0   1  78
S_Vergini     27 arg   L  2 16  5  5 73 28 300 533 540 448   5   0   3   3   0   0   0   3   0   0 100
Max_Rodriguez 28 arg   R  2  5 16  5 40 28 300 393 751 333   6   0   1   9   0   0   0   1   0   0 100
L_Vangioni    21 arg  LC  2  6 15  5 33 30 300 550 388 320   0   0   0   0   0   0   0   0   0   0 100
D_Ftacla      21 arg   R  2  6 15  4 37 34 300 563 470 349   9   0   4   7   2   0   0   0   0   0 100
R_Agroic      19 arg   L  2  5 15  4 34 30 300 290 395 290   3   0   0   5   0   0   0   1   0   0 100
J_Fabbro      30 arg  RC  3 12 23 16 62 46 300 745 395 346  11   0   7  35   3   0   1   2   0   0  61
L_Abraham     33 arg   C  2  1  3 24 28 43 300 455 416 309  20   0   1   1  40   5   0   2   0   0  47
P_Mouche      30 arg   C  3  7  7 21 50 30 300 725 482 911  20   0   5   7  54   5   0   1   0   0  50
Q_Braes       16 arg   R  4 12 11 19 45 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Scocco      17 arg   L  5  8  8 18 70 31 300 406 367 419  11   0   1   1   7   0   0   0   0   0 100
M_Sperdutti   23 arg   L  2  6  5 17 74 25 300 300 321 324   1   0   0   0   1   0   0   0   0   0 100

