Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
M_N_Cano      26 arg RLC 16  2  2  2 33 34 445 300 300 300  11  94   0   0   0   0   0   0   0   0 100
I_Pietrobono  24 arg RLC 14  2  2  2 55 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Porto       23 arg   C 13  2  2  2 66 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Barros      25 arg  LC  2 16  6  5 56 34 300 726 448 371   9   0  17   2   0   0   1   2   0   0  92
E_Diaz        19 arg   C  2 14  5  5 27 35 300 720 342 300   5   0   7   2   0   0   0   0   0   0 100
D_H_Duarte    19 arg  RC  2 15  5  6 51 30 300 774 520 401   7   0  18   6   1   0   0   1   0   0 100
Cris_Gonzalez 27 arg  RL  2 15  5  6 66 23 300 439 324 324  10   0  13   0   0   0   0   1   0   0  90
C_Gurrieri    23 arg   C  2 15  6  5 43 33 300 524 366 337   6   0  15   2   1   0   0   1   0   0  79
Martin_Ortiz  18 arg   L  2 13  5  5 52 24 300 683 344 330   4   0   6   1   1   0   0   0   0   0  97
C_A_Rodriguez 23 arg   L  2 11  9  5 50 32 300 660 300 313   4   0   6   0   1   0   0   0   0   0 100
Gaston_Silva  25 arg   C  2  9  9  4 26 37 300 360 321 300   3   0   1   1   0   0   0   0   0   0  69
Damian_Bogado 23 arg   R  2  5 17  5 46 32 300 370 580 377   8   0   0  10   1   0   0   0   0   0  92
Leo_Celiz     29 arg   R  2  5 16  4 59 25 300 431 539 384   9   0   1   8   1   0   0   3   0   0  96
E_Colombano   19 arg   R  2  5 14  4 48 35 300 383 407 336   7   0   1   4   1   0   0   0   0   0  98
Jorge_Coria   23 arg   C  2  5 14  5 34 30 300 361 427 301   5   0   1   6   0   0   0   1   0   0 100
Maxi_Ferreyra 21 arg   R  2  5 14  5 49 31 300 370 391 370   5   0   0   1   0   0   0   1   1   0 100
Leo_Harkes    22 arg   R  2  4 14  5 36 38 300 361 385 301   5   0   1   4   0   0   0   1   0   0  84
Ema_Ibañez    26 arg   R  2  4 10  7 63 29 300 300 384 300   4   0   0   4   0   0   0   0   0   0 100
N_Martinez    28 arg   R  2  5  9  9 32 34 300 300 300 383   1   0   0   0   3   1   0   0   0   0 100
W_Garcete     27 arg RLC  2  5  6 15 34 27 300 385 346 365   7   0   1   1   4   0   0   3   0   0  85
David_Ledesma 29 arg   L  2  5  6 14 28 27 300 301 301 329   6   0   0   0   4   0   0   1   0   0  67
S_Valenti     19 arg RLC  2  6  6 13 31 30 300 360 300 314   4   0   1   0   2   0   0   0   0   0 100
E_Vidal       23 arg   R  2  6  5 13 47 24 300 360 300 307   4   0   1   0   1   0   0   0   0   0  97

