Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
Kasey_Keller  29 usa   L 23  3  3  3 30 29 419 300 300 300  19  61   0   0   0   0   0   0   1   0 100
S_Ochacle     21 arg   R 18  3  3  4 61 31 367 300 300 300   2   4   0   0   0   0   0   0   0   0 100
M_Perafán     24 arg   L 15  2  2  2 58 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Edgardo_Bauza 28 arg RLC  3 22  6 16 61 40 300 461 994 386  16   0  28   7  12   1   0   2   0   0 100
M_Galarza     22 arg   R  4 18  6  9 47 38 300 802 523 326   4   0   2   6   2   0   1   2   0   0 100
Placente      17 arg   R  4 21 11 10 78 25 300 501 468 661  16   0  32  23  13   1   1   7   0   0 100
Bruno_Bianchi 26 arg  RC  2 16  6  5 29 37 300 395 300 320   1   0   1   0   2   0   0   0   0   0 100
Jpi_sorin     21 arg RLC  2 16  6  5 60 36 300 504 366 331   2   0   3   2   1   0   0   1   0   0 100
J_P_Avendaño  22 arg  RC  2 16  5  4 45 21 300 545 342 300   3   0   2   2   0   0   0   0   0   0 100
Maxi_Lugo     19 arg   R  2 15  5  5 29 22 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Mazacotte   20 arg   L  2 15  4  4 38 37 300 355 387 307   2   0   3   2   1   0   0   0   0   0 100
J_I_Sills     18 arg   C  3 20 16 12 70 28 300 428 655 842  18   0  28  33  23   0   2   1   0   0 100
F_Vargas      19 arg   L  3 10 24  8 85 26 300 946 901 982  19   0   6  83   5   0   5   5   0   0 100
Chicho_Serna  18 arg   C  4  9 19  9 38 30 300 491 776 414  12   0   2  36   2   1   4   1   0   0 100
M_Donnet      22 arg RLC  2  5 18  6 52 27 300 622 946 486  10   0   3  41   2   0   2   1   0   0  87
F_Rijkaard    28 hol  RC  3 14 19 14 60 31 300 682 989 509  13   0   7  40   6   0   3   4   0   0 100
Diego_Galvan  30 arg   C  2  4 16  5 41 23 300 300 447 307   3   0   0   7   1   0   0   0   0   0 100
P_Miguez      20 arg   C  2  5 16  5 57 27 300 437 943 423   7   0   0  24   2   1   1   0   0   0 100
J_Dudek       19 arg   L  4 12 15 10 64 21 300 974 795 597   1   0   0   3   0   0   0   0   0   0 100
R_Acosta      20 arg   C  2  5 14  5 51 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Kurapika      19 arg   R  5 10  8 22 63 33 300 421 534 729  17   0   8  15  88  10   2   1   0   0 100
R_Funes_Mori  19 arg RLC  5  9  9 21 47 36 300 674 882 699  13   0   4  10  50  10   2   3   0   0 100
C_Nuñez       20 arg  RC  2  6  5 18 63 31 300 410 580 554   6   0   1   5  36   5   1   1   0   0 100
B_Ferreira    17 arg   C  4  8 12 18 63 25 300 831 897 626  16   0   5  19  60   2   0   0   0   0 100
J_Cazares     17 arg   R  4 12 17 16 75 35 300 541 729 930  17   0   2  45  24   3   4   4   0   0 100
A_Franzoia    22 arg   R  2  5  4 16 40 25 300 523 484 909   4   0   1   1  34   2   0   1   0   0  96
Diego_Jara    23 arg RLC  2  6  5 16 46 37 300 504 453 987   7   0   2   7  39   5   0   2   0   0 100

