Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
B_Leyenda     24 arg   L 37  3  3  3 39 33 629 300 300 300  16  64   0   0   0   0   0   0   0   0 100
F_Costanzo    32 arg RLC 32  5  6  2 51 62 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Lux_Jr      18 arg  RC 19  4  4  4 82 28 568 300 300 300   1   4   0   0   0   0   0   0   0   0 100
S_Ochacle     22 arg   R 18  3  3  4 64 31 467 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Lopez       17 arg   C 17  3  4  4 81 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Bosingwa    31 por  RC  2 35 29  2 79 67 300 614 341 738  13   0  14  27   3   1   1   9   0   1 100
M_Dos_Santos  23 arg  LC  2 32  8  5 55 18 300 613 529 346  16   0  17   5   2   0   1   3   0   0 100
A_Chari       24 arg   L  3 29  8  4 73 34 300 810 457 886   9   0   7   3   2   0   0   1   0   0 100
M_Materazzi   23 ita RLC  3 28 17 12 67 39 300 473 673 996  15   0  11  17   8   1   1   3   0   0 100
R_Trotta      29 arg   C  3 22 10  7 51 33 300 554 782 688   2   0   0   3   0   0   0   1   0   0 100
Arruabarrena  26 arg   L  2 23 16 10 62 45 300 664 977 801  11   0   6  16   2   0   0   3   0   0 100
J_Sanguinetti 22 arg RLC  3 19  5  9 70 37 300 519 786 761   3   0   0   2   0   0   0   0   0   0 100
F_Noguera     19 arg  RC  4 19  8 10 52 27 300 811 613 553   3   0   0   2   1   0   0   1   0   0 100
Kuma          16 jap   C  4 18  8 11 42 19 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Fukube      15 jap  RC  4 18  7  7 32 15 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Galarza     23 arg   R  4 18  6  9 47 38 300 903 624 427   0   0   0   0   0   0   0   0   0   0 100
F_Mec         22 arg   R  5 16  8  9 85 30 300 835 755 686   0   0   0   0   0   0   0   0   0   0 100
M_Bustamante  24 arg  LC  2 17  4  4 64 21 300 791 971 717   0   0   0   0   0   0   0   0   0   0 100
Adrian_Reta   17 arg RLC  5 17 10 11 79 23 300 570 390 324   0   0   0   0   0   0   0   0   0   0 100
G_Bettini     19 arg   R  3 15  8  7 47 30 300 299 496 369   0   0   0   0   0   0   0   0   0   0 100
M_Mea_Vitali  25 ven   C  3 26 26  9 85 44 300 432 578 437  15   0  13  22   6   0   0   5   0   0 100
L_Álvarez     28 arg   C  3 23 21  7 54 28 300 356 359 894   7   0   8  13   2   0   0   0   0   0 100
Naoki_Matsuda 21 jap RLC  3 16 16  7 49 31 300 435 612 460   3   0   1   0   0   0   0   0   0   0 100
Lucas_Biglia  27 arg  RC  2 19 33 11 50 21 300 445 719 420   6   0   1  22   2   0   4   1   0   0 100
K_Kamamoto    32 arg  RC  1  6 32  3 54 35 300 630 713 801  14   0   0  38   3   0   1   2   0   0 100
Nwankwo_Kanu  23 nig RLC  3  8 29  8 61 38 300 990 910 600   9   0   1  10   4   0   1   1   0   0 100
Ray_Wilkins   27 eng   C  3 10 28  8 52 34 300 601 594 751   5   0   1  11   1   0   1   2   0   0 100
Erik_Lamela   21 arg RLC  5  4 30 14 70 22 300 512 338 396  16   0   0  49   8   0   2   3   0   0 100
M_Rodriguez   22 arg   R  3  7 26  8 72 36 300 353 831 518  10   0   0  19   3   0   2   1   0   0 100
J_Requena     18 arg   C  5  8 19 10 49 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Hotaro_Oreki  15 jap   R  4  8 18 11 67 15 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Barbaro     17 arg   L  3  7 18  9 61 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Esteban_Buján 21 arg   R  3  6 16  6 58 26 300 854 593 378   0   0   0   0   0   0   0   0   0   0 100
H_Florijn     21 arg   R  3  7 16  5 81 28 300 355 688 310   0   0   0   0   0   0   0   0   0   0 100
Kittan_Bachik 18 arg   L  4  6 16 13 53 30 300 338 835 493   0   0   0   0   0   0   0   1   0   0 100
J_Lujambio    27 arg   R  2  6  8 41 59 21 300 891 610 305  16   0   0  11  82  12   1   0   0   0 100
J_Larrivey    28 arg   C  2  1  2 33 62 11 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
RV_Nistelrooy 30 hol RLC  2  1  9 32 56 54 300 714 690 633  14   0   1   7  82  10   0   1   0   0 100
Rodrigo_M_M   22 bra RLC  2  5 16 29 61 17 300 408 888 932   3   0   0   5  11   1   0   0   0   0 100
Chipi_Barijho 18 arg  LC  3 13 11 27 75 34 300 362 409 759   3   0   1   1  15   1   0   1   0   0 100
Rocko         24 arg  RC  3  7  7 22 49 35 300 587 686 765   6   0   0   0  15   1   0   1   0   0 100
H_Bracamonte  21 arg   L  5  7  7 19 60 35 300 338 446 866   1   0   0   0   1   0   0   0   0   0 100
J_C_Figueroa  16 arg   C  5  8 11 19 66 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100

