Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
A_Orion       32 arg   L 37  1  1  1 22 34 789 300 300 300  15  86   0   0   0   0   0   0   0   0 100
M_Preud'homme 29 bel RLC 26  3  3  3 29 30 331 300 300 300   2   7   0   0   0   0   0   0   0   0 100
Éric_Cantona  30 fra   C  3 33 16  1 62 60 300 533 584 797  15   0  22   7   2   1   1   3   0   0 100
Davor_Suker   22 arg RLC  3 33 12 10 63 34 300 373 554 862  11   0  19   6   9   1   1   7   0   0 100
Facundo_Erpen 30 arg   C  2 30  6  4 50 34 300 638 330 300   7   0  10   1   0   0   0   0   0   0 100
W_Samuel      30 arg   C  3 29  8  7 22 32 300 770 423 762   8   0  12   2   3   0   0   7   0   0 100
J_Insaurralde 19 arg RLC  3 33 10  9 82 37 300 516 369 371  13   0  19   6   3   0   0   6   0   0 100
Eric_Gerets   30 bel   R  3 27  8  5 61 44 300 583 824 537  12   0  13   4   4   1   0   4   0   0 100
H_Ibarra      33 arg   L  1 23  3  1 29 26 300 929 372 725   4   0   5   1   0   0   0   1   0   0 100
C_Traverso    19 arg   C  3 22  7  8 72 21 300 967 391 574   2   0   6   1   1   0   0   0   0   0 100
Nico_Colazo   17 arg   L  4 21 11  8 72 22 300 343 300 308   0   0   0   0   0   0   0   0   0   0 100
E_Ruiz        20 arg   R  5 20 10  9 61 37 300 460 734 639   0   0   0   0   0   0   0   0   0   0 100
P_Ledesma     24 arg RLC  3  9 42 10 72 37 300 830 555 581  12   0   1  45   5   0   2   3   0   0 100
Mati_Brad     24 arg RLC  3 11 39 10 64 22 300 515 377 579  15   0   1  32   7   1   3   1   0   0 100
B_Lizarazu    32 arg  RC  1  5 31  6 52 29 300 877 757 918  12   0   1  28   6   0   1   2   0   0 100
Lucas_Moura   20 bra RLC  3  3 32 24 73 53 300 742 941 944  16   0   1  49  26   4   7   4   0   0 100
Z_Boban       23 cro RLC  3  7 28  7 74 34 300 812 920 820  12   0   3  17   5   0   1   1   0   0 100
L_Somoza      23 arg RLC  3  7 26  6 56 24 300 450 705 728   3   0   0   4   1   0   0   0   0   0 100
F_Vargas      20 arg  LC  3 11 25  9 88 26 300 313 424 361   0   0   0   0   0   0   0   0   0   0 100
Juan_J_Jayo_L 28 per RLC  2 19 24 12 56 50 300 676 832 603   0   0   0   0   0   0   0   0   0   0 100
Z_Zidane      30 fra   C  2 10 23 15 50 35 300 624 549 737   0   0   0   0   0   0   0   0   0   0 100
Nico_Blandi   24 arg RLC  3 11 10 50 77 35 300 941 873 605  12   0   2   3  51  16   0   5   0   1 100
M_Palermo     32 arg  RL  1  6  7 28 50 25 300 575 754 593   8   0   0   5  16   0   0   1   0   0 100
P_Iarley      23 arg RLC  5  6  7 29 60 26 300 924 626 674  14   0   2   5  34   4   0   0   0   0 100
Chelo_Delgado 22 arg  LC  3 12  7 24 69 30 300 950 530 846   8   0   1   1  13   0   0   1   0   0 100

