Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
F_Mondragón   18 arg   C 23  5  3  3 69 35 628 300 300 300  21  84   0   0   0   0   0   0   0   0 100
C_Lucchetti   27 arg  RL 18  2  2  2 58 22 612 300 300 300   2   2   0   0   0   0   0   0   0   0 100
Juan_Forlin   26 arg   C  2 26  9  2 43 28 300 986 928 512  14   0  27  13   0   0   0   4   0   0  79
Ivan_Piris    24 par   R  5 25  4  3 57 37 300 994 542 434  15   0  20   6   3   0   0   8   0   0  84
Shizuo_H      18 arg  LC  3 23 11 10 48 31 300 705 931 896  18   0  22  20  18   0   1   2   0   0  80
J_C_Blengio   27 arg   R  2 20  4  5 63 27 300 715 410 372   9   0   8   3   4   0   0   2   0   0 100
O_Barsottini  24 arg  LC  2 21  7  5 43 27 300 927 363 637  12   0  20  14   1   0   3   1   0   0  78
Victor_Lopez  24 arg   C  2 18  5  6 37 26 300 555 588 509   4   0   2   2   1   0   0   1   0   0 100
Lucas_Licht   21 arg   R  2 16  5  6 74 38 300 621 480 417   2   0   1   0   0   0   0   0   0   0 100
B_Maende      17 arg   C  4 12 13 13 49 31 300 343 345 328   1   0   0   1   2   0   0   0   0   0 100
Steven_Defour 25 bel   C  2 15 29 15 49 32 300 300 608 300   1   0   0  13   0   0   1   0   0   0 100
Alfredo_Ramúa 26 arg   C  5  2 29 20 52 20 300 541 611 366  19   0   0  71  27   4   8   3   0   1  84
L_Ocampos     19 arg  LC  3  8 24  7 55 39 300 718 884 928  17   0   3  49   4   1   0   6   0   0  83
J_Datolo      27 arg   R  3  5 22  5 69 33 300 676 859 924  20   0   2  63   2   0   6   3   0   0  90
L_Sapetti     22 arg   L  2  6 18  4 49 27 300 702 682 496   7   0   2  22   1   0   0   0   0   0 100
Nico_Cabrera  24 arg   R  2  4 18  4 29 28 300 470 335 335   3   0   0  15   1   0   2   1   0   0 100
Angel_Carreño 32 chi   C  3 14 16  8 35 73 300 431 750 744   2   0   1   6   0   0   2   3   0   0 100
J_Chaves      29 arg   R  2  5 15  5 40 35 300 300 524 300   0   0   0   0   0   0   0   0   0   0 100
E_Gonzalez    19 arg   C  3  9 19 14 48 33 300 761 957 423  15   0   1  34  10   0   2   1   0   0  79
Nine_Tails    21 arg  RC  5  6 18 13 83 30 300 387 622 818   7   0   0  26   9   0   3   2   0   0 100
A_Sánchez     24 chi RLC  3  2 21 34 55 17 300 524 637 423  17   0   0  28  85  13   0   1   0   0  85
Facundo_Sava  39 arg  LC  2  5 18 28 44 62 300 531 853 529  10   0   3  20  55   7   2   3   0   1  78
F_Guerrero    17 arg RLC  5  9  7 25 71 28 300 307 951 785  20   0   5  23  93  15   1   2   0   0 100
Laucha_Acosta 19 arg   C  4 12 10 23 80 27 300 892 506 512  15   0   4  15  71   7   1   1   0   0 100
E_Terzaghi    20 arg   L  4  9  9 19 72 25 300 966 697 686   3   0   1   1  22   2   0   0   0   0 100
T_Henry       21 arg   C  2  5  7 18 41 38 300 984 429 900   1   0   0   0  15   2   0   0   0   0 100
Diego_Jara    24 arg RLC  2  6  5 17 46 37 300 745 597 852   2   0   1   0   9   2   0   1   0   0 100
A_Franzoia    23 arg   R  2  5  4 17 40 25 300 541 514 327   0   0   0   0   0   0   0   0   0   0 100

