Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
A_Rumno       23 arg  RC 18  2  2  2 28 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
V_Orstu       22 arg  LC 17  2  2  2 47 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Ubtilew     21 arg   C 16  2  2  2 50 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Fusorsoe    27 arg  LC 16  2  2  2 39 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Zubsondo    29 arg   C 15  2  2  2 41 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Kogu        22 arg   C 15  2  2  2 58 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Tyer        26 arg   R  2 16  5  5 50 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Pristoo     22 arg   C  2 16  4  4 48 40 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Onhe        20 arg   L  2 16  5  5 42 44 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Dovrugr     22 arg  RC  2 16  4  5 42 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Clory       20 arg   C  2 16  5  5 37 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
V_Clegroeshi  20 arg   R  2 15  4  5 54 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Egevrae     23 arg   C  2 15  4  4 22 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Aclem       26 arg   L  2 14  4  3 47 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Gogruvre    22 arg   C  2 14  4  3 48 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Brisk       21 arg   C  2 11  4  5 37 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Ryivr       28 arg   C  2 11  4  4 52 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Aju         28 arg   L  2 10  4  4 55 43 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Ubre        29 arg   R  2  9  7  5 40 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Ibloa       29 arg   C  2  8  7  4 45 43 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Ovraersal   23 arg  LC  2  8  8  4 36 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Ondow       23 arg   R  2  8  8  4 35 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Kuvroo      20 arg   C  2  4 18  5 47 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
B_Sowriho     18 arg   C  2  4 18  4 48 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
V_Ovrodo      19 arg RLC  2  4 18  5 28 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Jhigr       29 arg   C  2  4 17  4 28 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Dodanye     23 arg   R  2  4 17  5 26 40 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Umni        20 arg   C  2  3 15  4 37 40 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Arstiryesy  22 arg   L  2  4 14  4 32 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Istu        19 arg   L  2  5 14  4 31 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
X_Ifejh       22 arg   L  2  3 13  4 55 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Ogrurturt   26 arg   R  2  4 11  4 59 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Ojogoak     24 arg   L  2  4 11  4 36 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Unocen      24 arg   R  2  3 10  4 48 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Heclaert    21 arg   L  2  4  9  8 55 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Esyirstug   27 arg   R  2  5  8  8 36 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
B_Ablow       24 arg   L  2  4  8  8 26 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Kribruav    27 arg   R  2  3  7  8 54 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Troproa     19 arg   C  2  4  5 17 57 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Tusya       19 arg   C  2  4  4 16 44 45 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_Tebso       26 arg   C  2  4  5 15 40 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Bosya       29 arg   C  2  3  3 14 48 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Shasyesyi   23 arg   C  2  5  4 14 53 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
K_Bewki       26 arg   C  2  5  4 14 40 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Urta        23 arg  RC  2  4  4 13 48 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Obe         21 arg   R  2  4  4 12 52 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100

