Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
H_Gruatrunh   20 arg   R 13  2  2  2 32 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Haz         30 arg   R 13  2  2  2 58 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Ivrufi      30 arg   C 12  2  2  2 36 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Yedrers     26 arg   C 12  2  2  2 48 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Uti         23 arg  RL 11  2  2  2 47 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Pranh       25 arg   L 10  2  2  2 32 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Povepr      22 arg   L  2 12  5  4 54 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
K_Cenha       24 arg   R  2 12  3  3 33 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
X_Uvishoe     19 arg  LC  2 12  5  4 26 40 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Meck        22 arg  RC  2 12  3  3 57 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Poavr       30 arg   C  2 11  3  4 22 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Ibtadnid    29 arg  RC  2 11  4  5 49 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Nisyevr     28 arg   L  2 10  4  3 31 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Ohija       26 arg   L  2 10  5  4 35 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Pesyu       23 arg   C  2  8  7  5 53 40 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Pruabserta  27 arg   C  2  7  7  4 57 40 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Andoiproed  26 arg  LC  2  6  7  4 47 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Ovabro      24 arg   R  2  6  7  4 45 43 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Iskiks      25 arg   R  2  3 14  5 42 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Akroodsapr  28 arg   L  2  5 13  4 40 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Iske        21 arg   L  2  4 13  4 50 43 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Okroegrua   29 arg   C  2  4 12  5 39 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_Jorsasyo    27 arg   R  2  4 12  5 32 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
K_Ryuchae     28 arg   R  2  3 11  4 51 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Derukua     19 arg   R  2  4 10  5 51 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
X_Ubroo       28 arg   C  2  3 10  4 39 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Ozowgrowrs  27 arg   C  2  3  7  7 50 40 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Porsesk     24 arg   R  2  4  7  8 46 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Voavroepru  22 arg   C  2  3  7  6 36 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Jhonh       23 arg   C  2  4  3 13 40 42 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Choinads    24 arg   L  2  4  3 13 59 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Ryoke       28 arg  RC  2  4  4 13 32 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Ofebs       26 arg   R  2  4  3 12 26 40 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Rusa        22 arg   C  2  4  4 12 40 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Isyaeprasy  30 arg RLC  2  4  4 10 46 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100

