Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
F_Eji         21 arg  RC 35  2  2  2 62 51 736 365 365 365  18  73   0   0   0   0   0   0   0   0 100
Lev_Yashin    20 rus   C 26  1  1  1 89 85 657 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Mati_Jdm      21 arg RLC  3 38 10 10 84 28 300 845 576 825  18   0  27  10   9   1   1   4   0   0 100
C_Ayala       26 arg RLC  3 34  8 11 68 30 300 369 350 954  14   0  19   6  12   0   0   4   0   0 100
C_Arano       21 arg RLC  3 33 10  8 74 27 300 753 918 656  13   0  19   6   7   0   2   9   0   0 100
D_Passarella  19 arg RLC  3 33  8  8 73 35 300 704 826 848  16   0  19   6   7   1   0   7   0   0 100
Sergi         23 esp RLC  2 29 18 11 64 48 300 505 872 478   9   0  13   7   3   0   0   2   0   0 100
P_Ferrari     27 arg RLC  3 25  7  6 69 30 300 846 332 982   4   0   2   2   1   0   0   1   0   0 100
G_Funes_Mori  17 arg RLC  4 23  9 12 73 38 300 511 586 737   5   0   4   1   1   0   0   2   0   0 100
W_Urti        16 arg  LC  5 21  6  8 33 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Balanta     16 arg   C  5 20  7  8 61 23 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Mercado     19 arg   C  4 20 10  7 84 36 300 426 432 577   0   0   0   0   0   0   0   0   0   0 100
Talamonti     16 arg   C  4 17 10  6 78 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Gareth_Bale   24 gal RLC  3 20 25 18 82 46 300 531 627 798  14   0   1  39  14   0   4   4   0   0 100
El_Misha      24 arg RLC  3  7 34  6 71 32 300 800 959 486  13   0   0  46   2   0   4   3   2   0 100
E_Carolo      20 arg RLC  3  6 32 11 75 31 300 474 866 489  16   0   0  32  11   0   3   5   0   0 100
Eden_Hazard   22 bel  RL  3  2 33 20 80 52 300 309 309 399   9   0   0  36   6   0   3   4   0   0 100
Espeon        25 arg RLC  2  6 33  6 73 34 300 972 425 542  15   0   0  47   8   0   4   3   0   0 100
José_Sosa     28 arg  RL  1  3 26 18 55 34 300 369 856 556   2   0   0   4   2   0   1   0   0   0 100
R_Pereyra     20 arg RLC  5  6 27  8 66 22 300 806 421 457   5   0   0  19   0   0   1   1   0   0 100
A_Dominguez   33 arg  RC  1  1 24  5 45 31 300 813 503 957   3   0   0   9   0   0   0   4   0   0 100
L_Astrada     27 arg RLC  3  9 21  6 47 39 300 561 865 926   0   0   0   0   0   0   0   0   0   0 100
G_Simeone     17 arg   R  4  6 20 10 41 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Ardiles     26 arg  RC  3  9 22 21 74 33 300 912 875 525   1   0   0   5   2   0   0   0   0   0 100
M_Platini     26 fra RLC  1  2 20 18 56 32 300 336 656 885   0   0   0   0   0   0   0   0   0   0 100
F_Morientes   27 esp   C  3  7 13 40 78 32 300 716 785 347  16   0   0  15  93  16   2   6   1   0 100
H_Crespo      28 arg   C  3 10  8 34 65 23 300 478 811 464   4   0   0   3  29   1   0   0   0   0 100
D_Trezeguet   21 arg  RC  4 10 10 33 83 24 300 873 915 724  17   0   0  17  71  13   1   3   0   0 100
D_Villalva    24 arg   C  3  7 11 24 76 30 300 841 366 867   1   0   0   0   0   0   0   0   0   0 100

