Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
S_Sosa        23 arg   R 24  4  3  4 83 24 784 300 300 300  22  49   0   0   0   0   0   0   0   0 100
K_Chigo       27 arg RLC 15  2  2  2 37 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Ebluksoec   21 arg   C 13  2  2  2 46 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Melgarejo   22 par   C  2 27  8 10 48 62 300 662 302 315   3   0   6   0   1   0   0   3   0   0 100
Luis_Ibañez   24 arg  LR  2 25  6 14 63 39 300 995 371 474   8   0   9   1   8   1   0   3   0   0 100
F_Segovia     17 arg RLC  4 25  9  9 80 29 300 494 664 539  20   0  34  11   9   1   0   3   0   0 100
jm            24 arg   R  3 21  7  7 64 31 300 762 441 801  20   0  29  11  10   1   0   2   0   0 100
A_Machuca     19 arg   C  2 20  7  4 52 38 300 383 364 642  15   0  12   4   6   0   1   3   0   0 100
C_Villagra    21 arg RLC  2 19  5  5 54 33 300 897 332 757  12   0  14   7   0   0   2   4   0   0 100
O_Shakrap     22 arg RLC  2 16  5  5 70 36 300 480 300 333   5   0   3   0   3   0   0   0   0   0 100
X_Kribsurtoi  24 arg   C  2 15  5  4 69 25 300 300 321 300   1   0   0   1   0   0   0   0   0   0 100
Q_Tredrow     24 arg   L  2 14  5  5 43 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Ozibto      24 arg  LC  2 14  5  5 45 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Udsejha     27 arg   R  2 13  5  6 51 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Stashewsh   28 arg   L  2 11  5  4 49 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Griva       27 arg   C  2 23 24 16 42 60 300 793 506 343   8   0   7   8   4   0   1   3   0   1 100
O_Ahumada     19 arg RLC  3 13 17  6 81 31 300 944 644 512   9   0   2  19   3   0   1   1   0   0 100
Hernán_Bruno  19 arg   C  3 13 15  8 76 39 300 392 486 626   0   0   0   0   0   0   0   0   0   0 100
H_Ocoisyo     28 arg   L  2  9 10  5 67 24 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Pablo_Aimar   33 arg RLC  2  5 38 30 61 26 300 348 383 853   9   0   0  35  27   5   0   1   0   0 100
Pablo_Guiñazú 34 arg  LC  5 22 27 16 56 69 300 594 704 508  14   0   2  35   5   2   4   2   0   0 100
H_Mattiuzzo   29 arg   L  2 20 27 14 58 42 300 468 383 369   9   0   2  30   3   0   3   1   0   0 100
C_Doni        30 ita RLC  2  4 24 12 40 39 300 665 684 864  20   0   0  40   4   1   2   5   0   0 100
J_Manteca     24 arg   L  2  4 19  5 57 23 300 735 969 630  17   0   1  31   2   0   2   2   0   0 100
C_Maidana     26 arg   L  2  6 17  5 73 23 300 722 756 589   2   0   0   4   0   0   0   0   0   0 100
F_Jhimnun     30 arg   L  2  5 16  4 44 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
V_Duamnamn    18 arg  RC  2  4 16  4 50 27 300 399 489 399   0   0   0   0   0   0   0   0   0   0 100
S_Staela      26 arg   R  2  6 14  6 69 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Mouche      31 arg   C  2  6  6 22 47 30 300 966 890 664  19   0   0   2  50   6   1   1   0   0 100
Ricardo_Noir  22 arg   R  4  7 10 21 70 25 300 778 326 349  22   0   3  13  47   5   1   1   0   0 100
Nico_Chetti   23 arg   R  5  7  6 17 82 35 300 658 511 872  15   0   2   3  20   2   0   0   0   0 100
B_Schelotto   25 arg   R  3  6  8 16 68 30 300 455 940 686   3   0   0   1   0   0   1   0   0   0 100
G_Krotroakr   24 arg   R  2  6  5 14 31 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
X_Abow        30 arg  RC  2  6  4 12 28 29 300 327 327 341   1   0   0   0   2   0   0   1   0   0 100

