Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
A_Tarantini   27 arg RLC  3 24  8  9 45 38 300 702 793 382   0   0   0   0   0   0   0   0   0   0 100
Articuno      27 arg  LC  2  5  6 24 39 23 300 860 769 907   0   0   0   0   0   0   0   0   0   0 100
Bloqueo       19 arg   C  3 21 10 12 46 25 300 722 480 338   0   0   0   0   0   0   0   0   0   0 100
Charizard     30 arg  LC  2  8 12 52 65 28 300 320 792 950   0   0   0   0   0   0   0   0   0   0 100
Dario_Šimic   26 arg  LC  3  7 32  8 50 25 300 731 573 662   0   0   0   0   0   0   0   0   0   0 100
Hitmonchan    24 arg RLC  3  6 25  7 83 33 300 861 439 553   0   0   0   0   0   0   0   0   0   0 100
Hitmonlee     32 arg  LC  1  5 45  3 59 28 300 738 402 366   0   0   0   0   0   0   0   0   0   0 100
Jadson        30 bra RLC  2  5 34 26 62 45 300 471 321 815   0   0   0   0   0   0   0   0   0   0 100
John_A_Riise  32 nor   R  2  5 37  8 34 29 300 529 323 442   0   0   0   0   0   0   0   0   0   0 100
JP_Carrizo    23 arg RLC 39  3  3  3 65 30 949 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Karel_Pesek   30 che RLC  1 21 20  1 34 30 300 344 620 649   0   0   0   0   0   0   0   0   0   0 100
L_Matthaus    31 ale   C  2  5 56  7 63 36 300 323 345 668   0   0   0   0   0   0   0   0   0   0 100
M_Laudrup     29 arg  RL  3  5 24 18 42 20 300 647 522 453   0   0   0   0   0   0   0   0   0   0 100
P_D_Osvaldo   29 arg   C  5  8 18 30 54 41 300 442 832 776   0   0   0   0   0   0   0   0   0   0 100
Raikou        21 arg  LC  5 21  9  9 43 35 300 668 918 665   0   0   0   0   0   0   0   0   0   0 100
S_Staunton    26 ire RLC  3  6 38 25 60 38 300 965 910 328   0   0   0   0   0   0   0   0   0   0 100
Steelix       30 arg  LC  2 33 10  7 50 39 300 904 958 813   0   0   0   0   0   0   0   0   0   0 100
Suspicacia    19 arg   R  5 17 15 10 51 30 300 502 875 586   0   0   0   0   0   0   0   0   0   0 100
T_Svenssen    25 nor  RC  3 38 10  9 53 31 300 863 962 883   0   0   0   0   0   0   0   0   0   0 100
Trapito       18 arg  RC 20  5  4  5 33 30 543 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Ubaldo_Fillol 25 arg   C 34  1  4  1 50 63 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Venasaur      32 arg   R  1 35  4  3 50 21 300 378 320 610   0   0   0   0   0   0   0   0   0   0 100
Wailord       25 arg RLC  3 41 12  9 65 25 300 797 493 466   0   0   0   0   0   0   0   0   0   0 100
Zapdos        28 arg RLC  2  8 10 58 75 36 300 312 871 827   0   0   0   0   0   0   0   0   0   0 100
