Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
H_Castellano  30 arg   L 38  2  2  2 48 32 482 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Friedlander 22 arg   C 18  3  3  3 89 35 365 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Lucas_Ischuk  24 arg   C 17  5  4  4 72 25 300 420 300 325   0   0   0   0   0   0   0   0   0   0 100
JP_Sorin      25 arg  LC  3 36  9  7 57 25 300 690 579 967   0   0   0   0   0   0   0   0   0   0 100
C_L_Diaz      25 arg  RC  2 37  8  7 64 35 300 759 742 888   0   0   0   0   0   0   0   0   0   0 100
C_Alvarez     24 arg   R  4 28 12  7 44 25 300 686 530 584   0   0   0   0   0   0   0   0   0   0 100
Satanas_Paez  28 arg   L  2 26  5  5 44 33 300 963 697 943   0   0   0   0   0   0   0   0   0   0 100
C_Casteglione 22 arg   C  5 23 11 12 64 38 300 682 628 778   0   0   0   0   0   0   0   0   0   0 100
Danilo_Gerlo  20 arg   R  3 19 11  9 76 26 300 486 580 386   0   0   0   0   0   0   0   0   0   0 100
L_Gioda       19 arg RLC  4 17  9  9 67 38 300 604 510 330   0   0   0   0   0   0   0   0   0   0 100
V_Cuesta      20 arg   C  4 17  9  9 81 24 300 722 594 487   0   0   0   0   0   0   0   0   0   0 100
O_Espinola    21 arg   L  4 16  6 11 77 21 300 280 355 326   0   0   0   0   0   0   0   0   0   0 100
G_Rivarola    20 arg   L  3 15 15 11 60 27 300 668 549 686   0   0   0   0   0   0   0   0   0   0 100
M_Almada      33 arg   R  1  1 28  1 51 21 300 583 840 440   0   0   0   0   0   0   0   0   0   0 100
R_Monserrat   28 arg   C  2  7 30  5 45 30 300 498 838 383   0   0   0   0   0   0   0   0   0   0 100
Oliver_Atom   22 arg  RC  3  4 24  6 59 38 300 970 984 761   0   0   0   0   0   0   0   0   0   0 100
S_Escudero    26 arg RLC  2  7 27  6 51 27 300 872 502 940   0   0   0   0   0   0   0   0   0   0 100
C_Llama       24 arg   L  4  9 21 10 70 22 300 984 517 770   0   0   0   0   0   0   0   0   0   0 100
Tom_Misaki    24 arg   R  5 11 21 12 70 37 300 534 987 846   0   0   0   0   0   0   0   0   0   0 100
JJ_Serrizuela 28 arg  LC  2  8 20  5 31 27 300 423 722 849   0   0   0   0   0   0   0   0   0   0 100
Neri_Cardozo  22 arg   L  3  8 19 11 70 28 300 300 360 300   0   0   0   0   0   0   0   0   0   0 100
C_Gomez       24 arg   C  4  9 18  9 71 32 300 410 664 377   0   0   0   0   0   0   0   0   0   0 100
A_Gonzalez    23 arg   R  3  9 17  8 70 26 300 714 802 504   0   0   0   0   0   0   0   0   0   0 100
David_Beckham 25 eng  RC  2  1 23 17 47 10 300 540 884 415   0   0   0   0   0   0   0   0   0   0 100
Goku          24 arg   C  3  6 15 13 35 39 300 907 514 453   0   0   0   0   0   0   0   0   0   0 100
C_Fabbiani    23 arg  LC  2  7  5 38 85 27 300 821 764 727   0   0   0   0   0   0   0   0   0   0 100
Jackson_Mrtnz 28 col RLC  2  4  6 28 58 50 300 834 508 766   0   0   0   0   0   0   0   0   0   0 100
M_Regueiro    25 arg  LC  3  7  8 24 65 39 300 578 887 604   0   0   0   0   0   0   0   0   0   0 100
F_Palopoli    21 arg   R  3  6  7 22 89 32 300 521 778 371   0   0   0   0   0   0   0   0   0   0 100
Steve_Hyuga   20 arg   C  3  6  5 21 55 36 300 447 658 944   0   0   0   0   0   0   0   0   0   0 100
