Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
A_Morón       21 arg   C  3  6  4 18 68 30 300 375 520 324   0   0   0   0   0   0   0   0   0   0 100
A_Vevruas     18 arg   C  4 10  8 17 42 26 300 300 375 538   0   0   0   0   0   0   0   0   0   0 100
Ariel_Seltzer 31 arg   L  1 17 16  9 45 60 300 931 529 868   0   0   0   0   0   0   0   0   0   0 100
C_Bortu       20 arg   C  4 18  8  5 54 24 300 664 941 666   0   0   0   0   0   0   0   0   0   0 100
D_Manso       19 arg   L  3  6 17 13 71 23 300 418 553 815   0   0   0   0   0   0   0   0   0   0 100
E_Biancucchi  25 arg  LC  5  2 25 28 76 23 300 343 328 651   0   0   0   0   0   0   0   0   0   0 100
E_Prayirst    17 arg  RC  5  7 20 11 60 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Guerrero    18 arg RLC  5  9  8 25 74 28 300 307 311 864   0   0   0   0   0   0   0   0   0   0 100
F_Mondragón   19 arg   C 23  5  3  3 72 35 784 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Zebs        20 arg RLC  5 19 12 10 45 28 300 628 674 473   0   0   0   0   0   0   0   0   0   0 100
Faryd_Camilo  17 arg   L 21  4  4  4 36 23 407 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Gigliaza    22 arg RLC  2  5 23  4 75 32 300 816 519 590   0   0   0   0   0   0   0   0   0   0 100
H_Broaryep    19 arg   L  4  9 19 10 52 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_Ijevr       18 arg   L  4  9  8 22 34 33 300 509 614 795   0   0   0   0   0   0   0   0   0   0 100
H_Losada      20 arg   R  3  6 18  7 46 33 300 674 785 863   0   0   0   0   0   0   0   0   0   0 100
H_Olaya       20 arg   R  3  6 18  7 52 33 300 475 695 560   0   0   0   0   0   0   0   0   0   0 100
I_Yirstarsi   17 arg   C  5  9 15 16 83 23 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Il_F_Marelli  24 arg   R  3  7 10 21 59 30 300 748 558 495   0   0   0   0   0   0   0   0   0   0 100
J_E_Perez     19 arg RLC  3  9 20  7 58 23 300 300 810 300   0   0   0   0   0   0   0   0   0   0 100
J_Munh        19 arg  RL  4 22  7  9 73 37 300 732 797 538   0   0   0   0   0   0   0   0   2   0 100
Joe_Corona    23 usa  LC  5 12 30 18 67 30 300 788 403 944   0   0   0   0   0   0   0   0   0   0 100
K_Elotya      25 arg  RC  3 24  6  7 47 24 300 511 981 457   0   0   0   0   0   0   0   0   0   0 100
L_Iha         18 arg  RL  3 17  8  8 69 38 300 753 460 361   0   0   0   0   0   0   0   0   0   0 100
L_Mareque     21 arg  LC  3 28 10  6 61 29 300 974 659 928   0   0   0   0   0   0   0   0   0   0 100
Luís_Fabiano  34 bra RLC  1  1 25 40 55 43 300 557 497 711   0   0   0   0   0   0   0   0   0   0 100
M_Klose       36 ale   C  1  1  1 25 43 49 300 351 304 910   0   0   0   0   0   0   0   0   0   0 100
M_Lanzini     24 arg  RC  2  6 15 15 57 31 300 763 559 713   0   0   0   0   0   0   0   0   0   0 100
N_Odruska     24 arg  LC  4 23 12  9 59 31 300 547 505 833   0   0   0   0   0   0   0   0   0   0 100
Nine_Tails    22 arg  RC  5  6 18 13 86 30 300 428 663 870   0   0   0   0   0   0   0   0   0   0 100
Oscar         23 bra RLC  1  4 30 19 64 34 300 550 336 471   0   0   0   0   0   0   0   0   0   0 100
P_Ryoemnoije  21 arg  RL 23  3  3  3 46 34 905 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Pateatraseros 25 arg RLC  3 35  9  6 77 23 300 468 438 858   0   0   0   0   0   0   0   0   0   0 100
Ruud_Gullit   22 hol RLC  3  6 27 16 61 38 300 621 562 433   0   0   0   0   0   0   0   0   0   0 100
S_Kun_Aguero  25 arg  LC  3  7 14 28 78 34 300 741 733 544   0   0   0   0   0   0   0   0   0   0 100
Sorpresa      20 arg  LC  4  8 20 11 49 26 300 437 869 804   0   0   0   0   0   0   0   0   0   0 100
T_Prehoj      20 arg   C  4  9 17  8 81 21 300 511 846 418   0   0   0   0   0   0   0   0   0   0 100
Turco_Grecco  20 arg   C  3 15 13  8 60 36 300 906 626 814   0   0   0   0   0   0   0   0   0   0 100
W_Caballero   33 arg RLC 32  1  1  1 39 51 966 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Shoojho     21 arg   R  4 24  9  6 54 36 300 982 407 744   0   0   0   0   0   0   0   0   0   0 100
Y_Indoe       18 arg   R  5  8 16  8 52 30 300 316 782 369   0   0   0   0   0   0   0   0   0   0 100
Z_Prijho      19 arg RLC 19  5  4  4 40 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
