Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
C_Orcellet    25 arg   R 29  3  3  3 37 29 470 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Gilbert_Silva 37 bra   C  5 27  7 10 25 61 300 587 787 572   0   0   0   0   0   0   0   0   0   0 100
J_Gandolfi    24 arg RLC  3 32  6  6 76 32 300 559 880 711   0   0   0   0   0   0   0   0   0   0 100
A_Matellan    22 arg   C  2 28  9  6 88 35 300 983 341 836   0   0   0   0   0   0   0   0   0   0 100
M_Brau        24 arg  RC  3 27  7  7 71 21 300 694 751 401   0   0   0   0   0   0   0   0   0   0 100
L_Lopez       29 arg   C  2 21  8  8 57 38 300 599 645 742   0   0   0   0   0   0   0   0   0   0 100
Adriano_C     23 arg   L  3 20  7  7 84 25 300 616 448 783   0   0   0   0   0   0   0   0   0   0 100
C_Trombetta   25 arg   R  3 17  6  4 33 25 300 708 734 657   0   0   0   0   0   0   0   0   0   0 100
I_Vurst       20 arg  RC  4 16  8 11 78 27 300 504 433 493   0   0   0   0   0   0   0   0   0   0 100
A_Chumacero   22 bol   C  2 25 19 13 59 72 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Diego_Torres  23 arg  RL  3  6 27  6 68 32 300 716 512 956   0   0   0   0   0   0   0   0   0   0 100
J_Yacuzzi     24 arg RLC  2  6 27  4 60 23 300 351 579 563   0   0   0   0   0   0   0   0   0   0 100
Diego_Villar  28 arg   C  2  7 26  5 71 27 300 648 472 447   0   0   0   0   0   0   0   0   0   0 100
R_Cascini     19 arg   C  4 11 25  9 78 39 300 328 504 670   0   0   0   0   0   0   0   0   0   0 100
Javi_Morales  22 arg   C  3  8 24  7 64 32 300 308 639 810   0   0   0   0   0   0   0   0   0   0 100
G_Esmerado    22 arg   C  3  7 20  9 77 31 300 715 362 577   0   0   0   0   0   0   0   0   0   0 100
C_Mosca       24 arg   L  3  6 16  7 51 30 300 992 497 727   0   0   0   0   0   0   0   0   0   0 100
Alan_Ruiz     17 arg   C  3 10 12 12 37 23 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Ronald_D_Boer 28 hol  LR  2  6 20 20 63 48 300 670 993 644   0   0   0   0   0   0   0   0   0   0 100
G_B_Leschuk   24 arg   C  3  6 10 27 49 39 300 564 423 913   0   0   0   0   0   0   0   0   0   0 100
E_Zelaya      21 arg   C  3  9  7 21 43 25 300 448 794 854   0   0   0   0   0   0   0   0   0   0 100
Carlos_Duré   24 arg RLC  2  3  9 21 64 53 300 447 977 543   0   0   0   0   0   0   0   0   0   0 100
I_Evrahoaj    29 cam   C  2  5  4 17 54 30 300 610 554 843   0   0   0   0   0   0   0   0   0   0 100
