Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
B_Leyenda     25 arg   L 37  3  3  3 39 33 629 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Costanzo    32 arg RLC 32  5  6  2 51 62 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Lux_Jr      19 arg  RC 19  4  4  4 85 28 568 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Ochacle     23 arg   R 18  3  3  4 64 31 467 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Lopez       18 arg   C 17  3  4  4 84 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Bosingwa    32 por  RC  1 33 27  1 76 67 300 614 341 738   0   0   0   0   0   0   0   0   0   1 100
M_Dos_Santos  24 arg RLC  2 32  8  5 55 18 300 613 529 346   0   0   0   0   0   0   0   0   0   0 100
A_Chari       25 arg   L  3 29  8  4 73 34 300 810 457 886   0   0   0   0   0   0   0   0   0   0 100
M_Materazzi   24 ita RLC  3 28 17 12 67 39 300 473 673 996   0   0   0   0   0   0   0   0   0   0 100
R_Trotta      30 arg   C  3 22 10  7 48 33 300 554 782 688   0   0   0   0   0   0   0   0   0   0 100
Arruabarrena  27 arg   L  2 23 16 10 62 45 300 664 977 801   0   0   0   0   0   0   0   0   0   0  20
J_Sanguinetti 23 arg RLC  3 19  5  9 70 37 300 519 786 761   0   0   0   0   0   0   0   0   0   0 100
F_Noguera     20 arg  RC  4 19  8 10 55 27 300 811 613 553   0   0   0   0   0   0   0   0   0   0 100
Kuma          17 jap   C  4 18  8 11 45 19 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Fukube      16 jap  RC  4 18  7  7 35 15 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Galarza     24 arg   R  4 18  6  9 47 38 300 903 624 427   0   0   0   0   0   0   0   0   0   0 100
M_Bustamante  25 arg  LC  2 17  4  4 64 21 300 791 971 717   0   0   0   0   0   0   0   0   0   0 100
Adrian_Reta   18 arg RLC  5 17 10 11 82 23 300 570 390 324   0   0   0   0   0   0   0   0   0   0 100
M_Mea_Vitali  26 ven   C  3 26 26  9 85 44 300 432 578 437   0   0   0   0   0   0   0   0   0   0 100
L_Álvarez     29 arg   C  3 23 21  7 51 28 300 356 359 894   0   0   0   0   0   0   0   0   0   0 100
Naoki_Matsuda 22 jap RLC  3 16 16  7 52 31 300 435 612 460   0   0   0   0   0   0   0   0   0   0 100
Lucas_Biglia  28 arg  RC  2 19 33 11 50 21 300 445 719 420   0   0   0   0   0   0   0   0   0   0 100
K_Kamamoto    33 arg  RC  1  3 29  1 51 35 300 630 713 801   0   0   0   0   0   0   0   0   0   0 100
Nwankwo_Kanu  24 nig RLC  3  8 29  8 61 38 300 990 910 600   0   0   0   0   0   0   0   0   0   0 100
Ray_Wilkins   28 eng   C  3 10 28  8 52 34 300 601 594 751   0   0   0   0   0   0   0   0   0   0 100
Erik_Lamela   22 arg RLC  5  4 30 14 67 22 300 512 338 396   0   0   0   0   0   0   0   0   0   0 100
M_Rodriguez   23 arg  RL  3  7 26  8 72 36 300 353 831 518   0   0   0   0   0   0   0   0   0   0 100
J_Requena     19 arg   C  5  8 19 10 52 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Hotaro_Oreki  16 jap   R  4  8 18 11 70 15 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Barbaro     18 arg   L  3  7 18  9 64 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Esteban_Buján 22 arg   R  3  6 16  6 61 26 300 854 593 378   0   0   0   0   0   0   0   0   0   0 100
H_Florijn     22 arg   R  3  7 16  5 83 28 300 355 688 310   0   0   0   0   0   0   0   0   0   0 100
Kittan_Bachik 19 arg  LC  4  6 16 13 56 30 300 338 835 493   0   0   0   0   0   0   0   0   0   0 100
J_Lujambio    28 arg   R  2  6  8 41 56 21 300 891 610 305   0   0   0   0   0   0   0   0   0   0 100
J_Larrivey    28 arg   C  2  1  2 33 62 11 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
RV_Nistelrooy 31 hol RLC  1  1  8 31 53 54 300 714 690 633   0   0   0   0   0   0   0   0   0   0 100
Rodrigo_M_M   23 bra RLC  2  5 16 29 61 17 300 408 888 932   0   0   0   0   0   0   0   0   0   0 100
Chipi_Barijho 19 arg  LC  3 13 11 27 78 34 300 362 409 759   0   0   0   0   0   0   0   0   0   0 100
Rocko         25 arg  RC  3  7  7 22 49 35 300 587 686 765   0   0   0   0   0   0   0   0   0   0 100
H_Bracamonte  22 arg   L  5  7  7 19 63 35 300 338 446 866   0   0   0   0   0   0   0   0   0   0 100
J_C_Figueroa  17 arg   C  5  8 11 19 69 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Albela      24 arg   C  3 29 10  5 55 37 300 374 842 977   0   0   0   0   0   0   0   0   0   0 100
Edgar_Davids  26 hol RLC  6 17 24 10 60 55 300 509 664 973   0   0   0   0   0   0   0   0   0   0 100
A_Chavez      22 arg   C  5  9 10 24 55 30 300 944 522 802   0   0   0   0   0   0   0   0   0   0 100
L_Nowogrodzki 25 arg   L  3 26  6  4 56 22 300 716 655 792   0   0   0   0   0   0   0   0   0   0 100
Emmanuel_Pío  23 arg   C  4 10 21  6 49 27 300 892 398 665   0   0   0   0   0   0   0   0   0   0 100
Matias_Diaz   22 arg   L  4  6 22  6 67 33 300 630 714 573   0   0   0   0   0   0   0   0   0   0 100
Shizuo_H      19 arg  LC  3 23 11 10 51 31 300 857 931 907   0   0   0   0   0   0   0   0   0   0 100
E_Gonzalez    20 arg   C  3  9 19 14 51 33 300 761 987 445   0   0   0   0   0   0   0   0   0   0 100
F_Segovia     18 arg RLC  4 25  9  9 83 29 300 494 664 539   0   0   0   0   0   0   0   0   0   0 100
R_Funes_Mori  21 arg RLC  5  9 10 23 55 36 300 866 787 400   0   0   0   0   0   0   0   0   0   0 100
