Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
A_Orion       33 arg   L 34  1  1  1 19 34 789 300 300 300   0   0   0   0   0   0   0   0   0   0 100
B_Lizarazu    33 arg  RC  1  2 28  3 49 29 300 877 757 918   0   0   0   0   0   0   0   0   0   0 100
C_Traverso    20 arg   C  3 22  7  8 75 21 300 967 391 574   0   0   0   0   0   0   0   0   0   0 100
Chelo_Delgado 23 arg  LC  3 12  7 24 69 30 300 950 530 846   0   0   0   0   0   0   0   0   0   0 100
Clemente      24 arg   L  3 22  5  5 60 31 300 350 469 562   0   0   0   0   0   0   0   0   0   0 100
Davor_Suker   23 arg RLC  3 33 12 10 63 34 300 373 554 862   0   0   0   0   0   0   0   0   0   0 100
E_Ruiz        21 arg   R  5 20 10  9 64 37 300 460 734 639   0   0   0   0   0   0   0   0   0   0 100
Éric_Cantona  31 fra   C  2 32 15  1 59 60 300 533 584 797   0   0   0   0   0   0   0   0   0   0 100
Eric_Gerets   31 bel   R  2 26  7  4 58 44 300 583 824 537   0   0   0   0   0   0   0   0   0   0 100
F_Vargas      21 arg  LC  3 11 25  9 91 26 300 313 424 361   0   0   0   0   0   0   0   0   0   0 100
H_Ibarra      34 arg   L  1 19  1  1 26 26 300 929 372 725   0   0   0   0   0   0   0   0   0   0 100
J_Insaurralde 20 arg RLC  3 33 10  9 85 37 300 516 369 371   0   0   0   0   0   0   0   0   0   0 100
JR_Riquelme   20 arg   C  5  9 21 10 84 27 300 690 957 353   0   0   0   0   0   0   0   0   0   0 100
Juan_J_Jayo_L 29 per RLC  2 19 24 12 53 50 300 676 832 603   0   0   0   0   0   0   0   0   0   0 100
L_Somoza      24 arg RLC  3  7 26  6 56 24 300 450 705 728   0   0   0   0   0   0   0   0   0   0 100
Lucas_Moura   21 bra RLC  3  3 32 24 76 53 300 742 941 944   0   0   0   0   0   0   0   0   0   0 100
M_Palermo     33 arg  RL  1  3  4 25 47 25 300 575 754 593   0   0   0   0   0   0   0   0   0   0 100
M_Preud'homme 30 bel RLC 26  3  3  3 26 30 331 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Mati_Brad     25 arg RLC  3 11 39 10 64 22 300 515 377 579   0   0   0   0   0   0   0   0   0   0 100
Maxi_Batman   24 arg   C  3 21  8 10 79 33 300 452 430 468   0   0   0   0   0   0   0   0   0   0 100
Nico_Blandi   25 arg RLC  3 11 10 50 77 35 300 941 873 605   0   0   0   0   0   0   0   0   0   1 100
Nico_Colazo   18 arg   L  4 21 11  8 75 22 300 343 300 308   0   0   0   0   0   0   0   0   0   0 100
P_Iarley      24 arg RLC  5  6  7 29 60 26 300 924 626 674   0   0   0   0   0   0   0   0   0   0 100
P_Ledesma     25 arg RLC  3  9 42 10 72 37 300 830 555 581   0   0   0   0   0   0   0   0   0   0 100
W_Samuel      31 arg   C  2 28  7  6 19 32 300 770 423 762   0   0   0   0   0   0   0   0   0   0 100
Z_Boban       24 cro RLC  3  7 28  7 74 34 300 812 920 820   0   0   0   0   0   0   0   0   0   0 100
Z_Zidane      31 fra   C  1  9 22 14 47 35 300 624 549 737   0   0   0   0   0   0   0   0   0   0 100
