Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
Ric_Gomez     24 arg   C  2  6 13  5 43 21 300 304 672 317   0   0   0   0   0   0   0   0   0   0 100
G_Graciani    29 arg   C  2  5 13  6 36 34 300 402 492 442   0   0   0   0   0   0   0   0   0   0 100
H_Berardello  26 arg   L  2  5 13  4 65 27 300 300 345 300   0   0   0   0   0   0   0   0   0   0 100
I_M_Fabianesi 25 arg  RC  2  4 12  5 54 38 300 411 624 304   0   0   0   0   0   0   0   0   0   0 100
M_Fernandez   32 arg   R  1  2  6  7 49 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Luque       26 arg  RC  2  5  9 10 71 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Papu_Gomez  26 arg  RC  1  1 22 25 73 55 300 594 357 545   0   0   0   0   0   0   0   0   0   3 100
Pablo_Piatti  26 arg  RC  2  1 17 27 79 48 300 502 914 313   0   0   0   0   0   0   0   0   0   0 100
Ruben_Ramirez 30 arg   L  2  5  6 16 63 37 300 594 531 798   0   0   0   0   0   0   0   0   0   0 100
F_Curuchet    26 arg   R  2  6  5 14 40 34 300 552 435 911   0   0   0   0   0   0   0   0   0   0 100
E_Gigliotti   31 arg   L  1  4  5 13 25 26 300 301 391 537   0   0   0   0   0   0   0   0   0   0 100
E_Brunyobt    20 arg   C 23  4  4  4 83 31 899 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Diego_Pozo    24 arg  RC 14  2  2  2 67 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Mehring     24 arg   R 13  2  2  2 40 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Philipp_Lahm  30 ale  RL  1 29 17  8 59 44 300 502 989 776   0   0   0   0   0   0   0   0   0   0 100
Q_Joigro      19 arg   L  5 23  6  7 73 30 300 394 690 471   0   0   0   0   0   0   0   0   0   0 100
Mx_Pellegrino 30 arg   C  2 20  4  5 38 25 300 781 675 497   0   0   0   0   0   0   0   0   0   0 100
G_Alcoba      25 arg   C  2 20  5  5 57 37 300 887 843 763   0   0   0   0   0   0   0   0   0   0 100
B_Urribarri   25 arg  RC  2 17  6  4 32 28 300 523 738 466   0   0   0   0   0   0   0   0   0   0 100
Juli_Barraza  26 arg   R  2 13  6  6 35 29 300 989 402 389   0   0   0   0   0   0   0   0   0   0 100
L_Castillo    26 arg   C  2 12  5  5 52 35 300 453 348 356   0   0   0   0   0   0   0   0   0   0 100
C_D_Ledesma   32 arg   R  2 16 19  1 36 57 300 660 423 500   0   0   0   0   0   0   0   0   0   0 100
Ariel_Zapata  29 arg   C  1 16 19  9 42 67 300 975 325 379   0   0   0   0   0   0   0   0   0   0 100
Marcos_Bolzán 33 arg   L  1  5 18  8 36 40 300 851 675 571   0   0   0   0   0   0   0   0   0   0 100
Jose_Chatruc  27 arg  RC  1 11 22 10 50 50 300 989 871 989   0   0   0   0   0   0   0   0   0   0 100
L_Mugni       30 arg   R  2  4 17  4 52 24 300 611 762 443   0   0   0   0   0   0   0   0   0   0 100
S_Prediger    23 arg   C  2  6 14  6 69 32 300 430 937 596   0   0   0   0   0   0   0   0   0   0 100
