Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
Mono_Navarro  21 arg  RC 29  3  3  3 65 30 313 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Friedlander 22 arg   R 20  3  3  4 33 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Grosso      20 arg   C 17  4  4  5 83 35 436 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Figueroa    28 chi   C  1 27  8  1 50 55 300 827 598 639   0   0   0   0   0   0   0   0   0   0 100
M_Laspada     24 arg  RC  3 24 10  8 42 36 300 754 739 903   0   0   0   0   0   0   0   0   0   0 100
M_Yepes       23 arg  RC  3 23  9  6 63 25 300 610 704 858   0   0   0   0   0   0   0   0   0   0 100
J_Menghini    34 arg RLC  1 18  3  6 38 46 300 707 938 546   0   0   0   0   0   0   0   0   0   0 100
L_Orban       24 arg  RL  3 20  6  7 46 32 300 808 625 582   0   0   0   0   0   0   0   0   0   0 100
T_Taiwo       25 nig   R  3 19  8  7 62 30 300 519 712 414   0   0   0   0   0   0   0   0   0   0 100
R_Schiavi     25 arg   C  2 17  4  4 43 29 300 697 677 564   0   0   0   0   0   0   0   0   0   0 100
Abel_Herrera  29 arg   L  2 17  4  4 59 35 300 970 591 391   0   0   0   0   0   0   0   0   0   0 100
JS_Veron      19 arg  LC  3 15 16 12 79 38 300 467 970 845   0   0   0   0   0   0   0   0   0   0 100
L_Prichoda    17 arg RLC  3  9 21  9 45 31 300 507 834 471   0   0   0   0   0   0   0   0   0   0 100
E_Lavezzi     29 arg  RC  3  5 19  6 36 38 300 673 537 659   0   0   0   0   0   0   0   0   0   0 100
Hasan_Sas     38 tur   C  1  1 10  1 18 49 300 384 446 534   0   0   0   0   0   0   0   0   0   0 100
M_Gelabert    18 arg   L  4  9 19  9 42 37 300 436 633 436   0   0   0   0   0   0   0   0   0   0 100
Lean_Benitez  26 arg   C  2  5 17  5 49 39 300 433 672 457   0   0   0   0   0   0   0   0   0   0 100
Y_Zuñiga      36 per   C  2  5  9 33 36 42 300 348 348 594   0   0   0   0   0   0   0   0   0   0 100
R_Falcao_G    28 col  RC  1  7 11 26 54 64 300 655 956 763   0   0   0   0   0   0   0   0   0   0 100
Angel_Romano  30 uru RLC  2 14 19 24 40 32 300 919 852 600   0   0   0   0   0   0   0   0   0   0 100
E_Ryodsamn    20 arg   C  4  9 12 22 44 27 300 843 501 962   0   0   0   0   0   0   0   0   0   0 100
Matuzalem     34 bra RLC  1  1 12 16 30 63 300 667 372 704   0   0   0   0   0   0   0   0   0   0 100
Duvan_Zapata  28 arg   C  2  5  6 17 62 21 300 475 646 555   0   0   0   0   0   0   0   0   0   0 100
Marcos_Rojo   17 arg  LC  5 21  6  8 36 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
