Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
Angel_Carreño 33 chi   C  1 11 13  5 32 73 300 431 750 744   0   0   0   0   0   0   0   0   0   0 100
B_Enyu        18 arg  RC  4  6 21 10 76 26 300 348 399 433   0   0   0   0   0   0   0   0   0   0 100
Darío_Larrosa 34 uru RLC  1  1 14  3 22 43 300 683 587 679   0   0   0   0   0   0   0   0   0   0 100
Diego_RDa_Luz 27 uru   L  2 27 11 10 64 52 300 540 595 396   0   0   0   0   0   0   0   0   0   0 100
E_Mas         17 arg  LC  4 16  7  8 63 28 300 752 466 532   0   0   0   0   0   0   0   0   0   0 100
Ed_Retamoso   32 per   C  3 21 24  4 50 57 300 835 693 471   0   0   0   0   0   0   0   0   0   0 100
F_Abba        17 arg RLC  4 10 19  9 48 25 300 360 631 367   0   0   0   0   0   0   0   0   0   0 100
F_Roncaglia   22 arg   R  5 28 11 10 80 21 300 691 843 966   0   0   0   0   0   0   0   0   0   0 100
Facu_Ferreyra 22 arg RLC  3  6  9 23 71 28 300 366 450 306   0   0   0   0   0   0   0   0   0   0 100
Facundo_Erpen 31 arg   C  2 29  5  3 47 34 300 638 330 300   0   0   0   0   0   0   0   0   0   0 100
G_Burgos      23 arg   C 17  3  3  3 79 23 553 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Gabriel_Roth  26 arg  RC  1 11 20 14 56 54 300 805 489 586   0   0   0   0   0   0   0   0   0   0 100
H_Barcos      30 arg   C  5  6  4 27 36 76 300 380 455 934   0   0   0   0   0   0   0   0   0   0 100
J_Fabbro      32 arg  RC  1 10 23 13 56 46 300 475 339 741   0   0   0   0   0   0   0   0   0   0 100
J_J_Barkero   35 esp  LC  1  1 31 19 39 29 300 568 789 417   0   0   0   0   0   0   0   0   0   0 100
L_Abraham     35 arg   C  1  1  1 15 14 43 300 556 517 486   0   0   0   0   0   0   0   0   0   0 100
Lean_Gioda    30 arg   C  2 23 10  3 45 43 300 327 883 511   0   0   0   0   0   0   0   0   0   0 100
Luis_Calvo    36 arg   L  1  1 23 13 36 46 300 302 302 446   0   0   0   0   0   0   0   0   0   0 100
M_Barrera     30 arg  RC  5 24  4  7 38 61 300 335 546 626   0   0   0   0   0   0   0   0   0   0 100
M_Palopoli    17 arg   C  4 19  7  7 71 25 300 722 443 434   0   0   0   0   0   0   0   0   0   0 100
Q_Braes       18 arg   R  4 12 12 20 51 28 300 639 362 730   0   0   0   0   0   0   0   0   0   0 100
Ricardo_Gomes 28 bra   C  3 28  6  4 49 22 300 632 601 787   0   0   0   0   0   0   0   0   0   0 100
S_Bertoli     19 arg   C 23  4  5  3 82 31 991 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Rondón      24 ven RLC  2  3 17 31 61 36 300 457 876 448   0   0   0   0   0   0   0   0   0   0 100
Smaug         29 arg RLC  2 22  5  6 48 38 300 893 687 714   0   0   0   0   0   0   0   0   0   0 100
Thorin        25 arg   R  2 18  5  5 52 26 300 527 589 399   0   0   0   0   0   0   0   0   0   0 100
