Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
A_Sánchez     25 chi RLC  3  2 21 34 55 17 300 526 699 474   0   0   0   0   0   0   0   0   0   0 100
Alfredo_Ramúa 27 arg   C  5  2 29 20 52 20 300 619 703 368   0   0   0   0   0   0   0   0   0   0 100
B_Maende      18 arg  LC  4 12 13 13 51 31 300 343 345 328   0   0   0   0   0   0   0   0   0   0 100
C_Lucchetti   28 arg  RL 18  2  2  2 58 22 612 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Terzaghi    21 arg   L  4 10  9 19 75 25 300 342 727 705   0   0   0   0   0   0   0   0   0   0 100
Facundo_Sava  40 arg  LC  1  1  8 18 37 62 300 531 913 589   0   0   0   0   0   0   0   0   0   0 100
Ivan_Piris    25 par   R  5 26  4  3 57 37 300 446 572 434   0   0   0   0   0   0   0   0   0   0 100
J_C_Blengio   28 arg   R  2 20  4  5 63 27 300 715 410 372   0   0   0   0   0   0   0   0   0   0 100
J_Chaves      30 arg   R  2  5 15  5 37 35 300 300 524 300   0   0   0   0   0   0   0   0   0   0 100
J_Datolo      28 arg   R  3  5 23  6 69 33 300 912 333 308   0   0   0   0   0   0   0   0   0   0 100
Juan_Forlin   27 arg   C  2 26  9  2 43 28 300 986 928 512   0   0   0   0   0   0   0   0   3   0 100
L_Ocampos     20 arg  LC  3  8 25  7 58 39 300 837 407 971   0   0   0   0   0   0   0   0   0   0 100
L_Sapetti     23 arg   L  2  6 18  4 49 27 300 702 682 496   0   0   0   0   0   0   0   0   0   0 100
Laucha_Acosta 20 arg   C  4 12 10 23 83 27 300 892 536 586   0   0   0   0   0   0   0   0   0   0 100
Lucas_Licht   22 arg   R  2 16  5  6 77 38 300 773 480 417   0   0   0   0   0   0   0   0   0   0 100
M_O_Degra     30 arg   C 30  2  2  3 39 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Nico_Cabrera  25 arg   R  2  4 18  4 29 28 300 470 335 335   0   0   0   0   0   0   0   0   0   0 100
O_Barsottini  25 arg  LC  2 22  7  5 43 27 300 303 393 637   0   0   0   0   0   0   0   0   0   0 100
R_Ciciliano   36 col LRC  2  5 18 24 46 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Steven_Defour 25 bel   C  2 15 29 15 49 32 300 300 608 300   0   0   0   0   0   0   0   0   0   0 100
Victor_Lopez  25 arg   C  2 18  5  6 37 26 300 555 588 509   0   0   0   0   0   0   0   0   0   0 100
