Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
A_Gabbarini   24 arg RLC 34  3  3  3 60 22 633 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Aranguiz    24 chi   C  2 11 30 20 52 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Benteke     23 rdc RLC  2  5 19 32 85 45 300 470 640 621   0   0   0   0   0   0   0   0   0   0 100
C_Pellerano   29 arg   C  3 13 26  8 57 26 300 480 745 876   0   0   0   0   0   0   0   0   0   0 100
D_Rodríguez   19 arg   C 21  4  4  3 42 32 949 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Dorlan_Pabón  20 arg  RC  3  7  9 20 48 30 300 300 345 474   0   0   0   0   0   0   0   0   0   0 100
E_Perez       20 arg   L  4  6 16 17 69 22 300 686 914 372   0   0   0   0   0   0   0   0   0   0 100
F_Ikube       22 arg   C  4 18 11 10 43 36 300 775 826 346   0   0   0   0   0   0   0   0   0   0 100
F_Santana     27 bra RLC  3 34  4 13 63 67 300 429 902 931   0   0   0   0   0   0   0   0   0   0 100
G_Contrera    18 arg   R  5 23  9  7 43 25 300 355 944 398   0   0   0   0   0   0   0   0   0   0 100
G_Peruzzi     19 arg  RC  3 30  7 12 77 33 300 742 600 409   0   0   0   0   0   0   0   0   0   0 100
G_Vallés      21 arg  LC  3 21 17 14 85 26 300 539 349 337   0   0   0   0   0   0   0   0   0   0 100
H_Fredes      22 arg RLC  3  7 43  6 88 38 300 372 489 439   0   0   0   0   0   0   0   0   0   0 100
H_Navarro     26 arg   C 17  3  3  3 61 39 314 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Velez       26 arg  RC  3 33 10  5 60 29 300 481 375 702   0   0   0   0   0   0   0   0   0   0 100
J_Caicedo     18 arg   C  4 11 10 19 58 22 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Juan_M_Iturbe 21 arg RLC  5  4 16 28 87 43 300 854 996 400   0   0   0   0   0   0   0   0   0   0 100
Kun_Aguero    20 arg RLC  4 10 34 11 93 32 300 487 862 614   0   0   0   0   0   0   0   0   1   0 100
L_Carrio      21 arg  LC  3 35  9  5 79 30 300 624 989 685   0   0   0   0   0   0   0   0   0   0 100
Leo_da_Silva  31 bra RLC  1  3 17 23 31 65 300 374 552 926   0   0   0   0   0   0   0   0   0   0 100
Mario_Bolatti 30 arg   C  2 16 24 10 35 38 300 724 923 718   0   0   0   0   0   0   0   0   0   0 100
Nemanja_Matic 26 ser RLC  2 26 28 19 68 44 300 776 576 689   0   0   0   0   0   0   0   0   0   1 100
Nico_Martinez 25 arg RLC  2  6 10 37 74 24 300 592 621 685   0   0   0   0   0   0   0   0   0   0 100
P_Rodriguez   27 arg  RL  3 10 33 10 59 35 300 664 325 920   0   0   0   0   0   0   0   0   0   0 100
P_Schmeichel  26 den   C  3 30 10 10 45 23 300 761 656 365   0   0   0   0   0   0   0   0   0   0 100
R_Battion     19 arg  RC  5  9 20  6 46 28 300 320 949 417   0   0   0   0   0   0   0   0   0   0 100
R_Bochini     26 arg  LC  3  7 23  5 42 35 300 381 423 734   0   0   0   0   0   0   0   0   0   0 100
Tecla_Farías  21 arg   C  4  9  9 23 49 37 300 704 558 528   0   0   0   0   0   0   0   0   0   0 100
V_Enyeama     25 nig   R 18  3  3  3 91 36 985 300 300 300   0   0   0   0   0   0   0   0   0   0 100
