Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
F_Mec         23 arg   R  5 16  8  9 85 30 300 835 755 686   0   0   0   0   0   0   0   0   0   0 100
G_Bettini     20 arg   R  3 15  8  7 47 30 300 299 496 369   0   0   0   0   0   0   0   0   0   0 100
L_Alario      20 arg   C  2  5  4 12 59 21 300 300 300 307   0   0   0   0   0   0   0   0   0   0 100
Justo_Villar  26 arg   C 16  2  2  2 59 37 585 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Krupoviesa  28 arg   R  2 16  6  5 28 26 300 684 684 433   0   0   0   0   0   0   0   0   0   0 100
Lobo_Cordone  24 arg   R  4  7 11 17 54 26 300 462 486 918   0   0   0   0   0   0   0   0   0   0 100
S_Gonzalez    24 arg   R  3  4  7 17 78 30 300 467 822 408   0   0   0   0   0   0   0   0   0   0 100
D_Vega        25 arg   C  2  6 12  5 69 30 300 355 843 475   0   0   0   0   0   0   0   0   0   0 100
M_Ajheble     22 esp   R  3  6  6 17 39 10 300 300 489 611   0   0   0   0   0   0   0   0   0   0 100
Oscar_Ustari  23 arg RLC 14  3  3  3 51 30 384 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Tentacruel    24 arg  RC 14  3  3  3 42 24 991 390 300 300   0   0   0   0   0   0   0   0   0   0 100
J_L_Chilavert 26 arg   C 14  3  3  3 55 30 429 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_J_Fernandez 26 arg  RL 14  2  2  2 49 32 451 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Zato          23 arg  LC 14  3  3  3 37 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Saccone     24 arg   R 13  3  3  3 51 24 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Garcia      28 arg   L 13  2  2  2 61 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Breyesy     28 arg   L 13  2  2  2 51 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Lugo        27 arg   L 13  2  2  2 71 32 392 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Monetti     30 arg   L 13  2  2  2 61 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Seba_Lopez    24 arg   L 13  3  3  3 30 21 311 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Guzman      25 arg  LC 13  2  2  2 63 27 308 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Bangardino  22 arg   C 13  2  2  2 66 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Ale_Limia     25 arg   R 13  2  2  2 72 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Lux         28 arg  LC 13  3  3  3 58 23 448 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Nico_Caprio   25 arg  RC 13  2  2  2 29 22 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Mario_Cuenca  28 arg   L 13  2  2  2 33 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_De_Olivera  29 arg  RL 13  2  2  2 48 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Cordoba     27 arg  LC 13  3  3  3 58 28 450 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Constanzo   29 arg RLC 13  3  3  3 45 38 352 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Bologna     26 arg   R 13  2  2  2 60 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Caranta     23 arg   C 13  3  3  3 43 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Gandalf       24 arg   R 12  2  2  2 72 24 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Rulli       31 arg   L 12  2  2  2 52 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Blastoise     30 arg   C 12  2  2  2 54 24 500 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Khazad_dûm    23 arg   C 12  2  2  2 32 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Assman      30 arg   C 12  3  3  3 63 21 322 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Dobler      27 arg  RC 12  2  2  2 30 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Oberman     21 arg  RC  3  6  6 14 71 32 300 795 523 739   0   0   0   0   0   0   0   0   0   0 100
G_Gonzalez    22 arg  LC  2  5  5 12 43 25 300 377 474 525   0   0   0   0   0   0   0   0   0   0 100
Fede_Buffa    23 arg  LC 14  2  2  2 62 39 772 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Cambiasso   23 arg   R 12  2  2  2 50 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Campestrini 31 arg   C 12  2  2  2 42 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Saruman       28 arg   R 12  2  2  2 39 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
K_Onyurst     28 ita   C 11  2  2  2 32 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Isaac_Baez    24 arg   C 11  2  2  2 66 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Waisman     27 arg   R 11  2  2  2 26 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Carrera     28 arg   C 11  2  2  2 50 21 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Maes        25 arg   R 11  2  2  2 67 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Lucas_Hoyos   22 arg   L 11  2  2  2 32 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
X_Trewsh      28 cam  LC 11  2  2  2 39 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Abbondanzieri 28 arg   R 11  3  3  3 74 31 300 368 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Sov         29 den   L 10  2  2  2 48 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Lupardo     19 arg   R 10  2  2  2 30 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Migliore    26 arg   R 10  2  2  2 50 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Gutierrez   25 arg   L 10  2  2  2 31 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Oscar_Passet  29 arg   L 10  2  2  2 55 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Santillo    31 arg  LC 10  2  2  2 30 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Loekim      27 isr RLC 10  2  2  2 37 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Aguerre     31 arg   R  9  3  3  3 49 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Machamp       26 arg   C  9  2  2  2 69 24 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Ortiz       37 arg   C  1 21  1  4 37 76 300 334 397 355   0   0   0   0   0   0   0   0   0   0 100
Tauros        25 arg   C  2 19  5  5 65 24 300 734 326 980   0   0   0   0   0   0   0   0   0   0 100
Jose_Dirceu   31 bra   R  3 18  5  7 40 26 300 354 512 478   0   0   0   0   0   0   0   0   0   0 100
I_Celaya      31 arg   C  5 18  2  5 33 63 300 425 488 485   0   0   0   0   0   0   0   0   0   0 100
P_Rotchen     22 arg   C  3 17  6  5 33 32 300 789 554 417   0   0   0   0   0   0   0   0   0   0 100
J_Barraza     26 arg   C  2 16  5  3 33 22 300 518 873 914   0   0   0   0   0   0   0   0   0   0 100
Jpi_sorin     23 arg RLC  2 16  6  5 63 36 300 794 467 371   0   0   0   0   0   0   0   0   0   0 100
J_P_Avendaño  23 arg  RC  2 16  5  4 45 21 300 545 342 300   0   0   0   0   0   0   0   0   0   0 100
R_Martinez    25 arg  LC  2  9 11  4 46 36 300 420 452 300   0   0   0   0   0   0   0   0   0   0 100
V_Píriz_Alves 35 arg   C  1  1  1 19 39 54 300 505 414 469   0   0   0   0   0   0   0   0   0   0 100
Julio_Cesar   23 arg   L 19  3  3  3 86 29 416 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Tombolini   24 arg   C 18  3  3  3 60 33 480 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Uza         20 arg   R 18  3  4  4 56 33 348 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Chichizola  23 arg  LC 17  3  4  4 64 34 520 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Limia       30 arg   R  9  2  2  2 30 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Sepp_Maier    29 ger   R 16  3  3  3 71 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Odno        19 arg   C 16  3  4  5 51 25 374 300 300 300   0   0   0   0   0   0   0   0   0   0 100
