Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
T_Bapu        28 arg   C 15  2  2  2 38 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Chunyu      24 arg   R 13  2  2  2 54 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Trerstoeb   30 arg  LC 13  2  2  2 51 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Ivroegr     25 arg   C  9  2  2  2 56 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Ograblo     28 arg RLC  9  2  2  2 44 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Jedsuach    23 arg   R  9  2  2  2 44 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Utyu        26 arg  RC  2 15  4  3 41 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Ubtesh      24 arg   C  2 15  4  3 31 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
V_Emnoi       29 arg   R  2 15  4  4 26 41 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Ondaesht    20 arg   R  2 13  4  4 39 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Uskabroz    21 arg   C  2 12  5  5 51 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Groeg       19 arg   L  2 12  4  3 51 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Stostary    24 arg   R  2 12  4  5 45 43 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
B_Besy        24 arg  RC  2 10  4  4 40 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Atye        22 arg   C  2 10  4  5 26 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Uzanyowjh   18 arg   L  2  9  4  4 23 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Kaebsick    24 arg   C  2  8  6  4 40 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Tralu       24 arg   L  2  7  8  4 22 42 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Ashtoigr    30 arg   R  2  7  7  4 51 41 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Ibtocow     20 arg   C  2  6  7  4 23 43 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Jhobre      24 arg   R  2  5 14  3 56 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
X_Kewvro      24 arg   C  2  5 13  3 39 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Drunduvr    24 arg   R  2  4 13  5 49 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Aryijivr    28 arg   R  2  3 12  4 58 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Akoh        25 arg   C  2  4 12  4 45 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Kutro       27 arg RLC  2  4 12  5 59 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Ityor       27 arg   R  2  4 12  3 50 41 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Enisk       27 arg  RL  2  3 10  5 49 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
B_Erseds      21 arg   R  2  4 10  5 35 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Ujhu        19 arg   R  2  3 10  4 32 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Oryayebr    30 arg   C  2  4  9  3 25 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Shashicko   30 arg   C  2  4  9  4 46 43 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Sursanha    30 arg  RL  2  4  8  8 58 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
X_Ubraj       22 arg RLC  2  4  7  7 44 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Puhoecae    29 arg   C  2  4  7  7 33 43 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Umi         29 arg   C  2  5  6  6 22 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Oskew       30 arg   R  2  5  4 15 58 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Juavrebsa   29 arg   R  2  5  4 15 50 45 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
B_Toobr       30 arg   C  2  5  3 14 26 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Hetutyi     22 arg   C  2  4  4 13 38 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Aprokse     24 arg   R  2  3  3 13 34 40 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Yoabsudn    25 arg   L  2  4  5 13 35 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Zijh        20 arg   R  2  4  4 10 25 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Hoihock     19 arg   C  2  5  5 10 54 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
