Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
A_Cishte      31 arg   C  2  4 12  5 22 51 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Ohib        23 arg   C  2  4 11  3 28 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Irsteske    26 arg   C  2  8  7  4 40 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Ishtunyar   27 arg   C 11  2  2  2 40 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Okroac      29 arg  LC  2  4  5 11 41 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Duagrara    28 arg   R  2  6  7  5 37 47 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Jeposhae    21 arg RLC  2  5 10  5 24 45 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Ivrit       21 arg   C  2 11  4  3 55 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Kibsedn     22 arg   L 11  2  2  2 53 40 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Ibluvr      30 arg   C  2  4  3  9 28 40 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Abtubt      28 arg  LC  2  3 11  4 31 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Jikoi       27 arg   C 11  2  2  2 28 41 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Urtayu      31 arg   C  2  4  4 11 49 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Ablu        30 arg   L  2 11  4  4 26 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Aproisyom   23 arg   C  2  7  6  3 24 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Arstimniks  26 arg  RC  2  5  5 11 34 42 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Clupr       25 arg   R  2  4  3 12 54 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Prosta      28 arg   C  2  4 10  5 34 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Udnow       28 arg   R  2  5 10  5 33 41 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Ryibsackae  25 arg  RL  2  4 11  4 41 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Astavrez    22 arg   C  2  3  4 10 40 43 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Avre        24 arg RLC  2  4 11  4 47 49 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Unity       23 arg   C  2  6  8  5 25 48 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
V_Ikseshtook  28 arg   C 11  2  2  2 50 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
V_Ufevr       27 arg   C  2  5  7  6 52 41 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Nury        26 arg  RC  2  4  8  8 51 40 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
X_Ayuaks      29 arg  RC 10  2  2  2 35 52 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
X_Chodsi      31 arg   C  2  3 10  4 54 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
X_Habs        30 arg  LC  2 11  3  5 49 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
X_Steh        24 arg   C  2  4  7  7 28 44 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Doogra      27 arg RLC  2  5  6  6 40 48 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Jhaevr      25 arg   L  2  3  3 11 44 45 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Eyisy       30 arg   R  2 13  4  3 53 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
