Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
H_Isyun       18 arg   C 15  2  2  2 62 41 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Btejodr     30 arg   C 15  2  2  2 42 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Uckadr      23 arg   C 12  2  2  2 41 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Uchutrupr   24 arg   R 12  2  2  2 31 43 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
X_Dundisk     24 arg  RC 11  2  2  2 54 40 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Irsirsoe    27 arg   C 10  2  2  2 31 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Stadakri    26 den RLC  2 16  4  4 42 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Obsabs      24 arg   R  2 15  5  4 33 43 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Rivrobsi    18 arg   L  2 15  4  4 49 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Drumnaesya  29 arg   C  2 15  4  5 31 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Achivu      24 arg   L  2 15  5  5 54 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Nadnonye    25 arg   C  2 14  3  4 57 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
X_Prer        18 arg   L  2 14  4  4 45 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Btulija     26 arg   R  2 14  4  3 27 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Browclowsy  23 arg   R  2 13  3  4 40 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Zoageyo     24 arg   C  2 12  5  4 59 41 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
K_Shece       22 arg   R  2 11  5  5 42 43 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Pajud       28 arg   L  2 10  4  4 35 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
B_Vaemnogr    24 arg   R  2  9  8  4 34 41 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Yadsow      21 arg   R  2  8  9  4 43 44 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Urstask     24 arg   R  2  8  8  4 58 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
V_Koksebte    23 arg   R  2  7  7  5 45 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Ednoivabr   29 arg   L  2  3 16  5 40 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Shaeckeksu  23 arg   L  2  4 16  3 26 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Uzisyudr    29 arg  LC  2  5 16  3 47 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Btapr       24 arg   C  2  4 16  5 28 41 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Ulezoi      24 arg   C  2  3 15  3 30 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Ujewsu      26 arg   R  2  5 14  4 57 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Ishooroin   19 arg   L  2  4 14  4 32 41 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Praty       30 arg  RC  2  4 13  5 58 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Jhoedr      25 arg   R  2  3 13  3 26 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Unyenyubl   24 arg   C  2  4 11  4 53 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Bobtae      26 arg  LC  2  5 11  3 59 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Joitoesyo   27 arg   C  2  3 10  5 39 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Ojocki      21 arg  RC  2  4  8  9 60 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Oliclec     28 arg RLC  2  4  8  8 50 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Hulavo      24 arg   C  2  4  8  7 51 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Ejack       26 arg   C  2  3  8  7 53 41 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Eskecl      20 arg   R  2  4  3 16 38 43 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Kavrovr     20 arg   C  2  4  3 13 49 43 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Adrusyoaks  24 arg   L  2  4  4 12 41 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Usyov       21 arg   R  2  4  4 12 53 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Kubsivr     21 arg   R  2  3  4 12 45 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Tost        24 arg  RC  2  4  4 11 40 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
K_Gretyibt    22 arg   C  2  5  3 10 26 44 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
B_Enyurs      22 arg   R  2  4  3 10 47 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
