Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
A_Esyirstug   28 arg   R  2  5  8  8 36 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Ovraersal   24 arg  LC  2  8  8  4 36 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Rumno       24 arg  RC 18  2  2  2 28 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
B_Ablow       25 arg   L  2  4  8  8 26 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
B_Sowriho     19 arg   C  2  4 18  4 48 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Gogruvre    23 arg   C  2 14  4  3 48 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Kuvroo      21 arg   C  2  4 18  5 47 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Ogrurturt   27 arg   R  2  4 11  4 59 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Heclaert    22 arg   L  2  4  9  8 55 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Jhigr       30 arg   C  2  4 17  4 28 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Pristoo     23 arg   C  2 16  4  4 48 40 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Tyer        27 arg   R  2 16  5  5 50 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Clory       21 arg   C  2 16  5  5 37 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Ojogoak     25 arg   L  2  4 11  4 36 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Dovrugr     23 arg  RC  2 16  4  5 42 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_Tebso       27 arg   C  2  4  5 15 40 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Ubtilew     22 arg   C 16  2  2  2 50 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Zubsondo    30 arg   C 15  2  2  2 41 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
K_Bewki       27 arg   C  2  5  4 14 40 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Aclem       27 arg   L  2 14  4  3 47 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Bosya       30 arg   C  2  3  3 14 48 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Umni        21 arg   C  2  3 15  4 37 40 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Unocen      25 arg   R  2  3 10  4 48 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Urta        24 arg  RC  2  4  4 13 48 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Egevrae     24 arg   C  2 15  4  4 22 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Ubre        30 arg   R  2  9  7  5 40 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Fusorsoe    28 arg  LC 16  2  2  2 39 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Dodanye     24 arg   R  2  4 17  5 26 40 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Kribruav    28 arg   R  2  3  7  8 54 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Aju         29 arg   L  2 10  4  4 55 43 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Arstiryesy  23 arg   L  2  4 14  4 32 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Istu        20 arg   L  2  5 14  4 31 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Kogu        23 arg   C 15  2  2  2 58 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Troproa     20 arg   C  2  4  5 17 57 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Onhe        21 arg   L  2 16  5  5 42 44 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Ryivr       29 arg   C  2 11  4  4 52 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Brisk       22 arg   C  2 11  4  5 37 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Ondow       24 arg   R  2  8  8  4 35 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
V_Clegroeshi  21 arg   R  2 15  4  5 54 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
V_Orstu       23 arg  LC 17  2  2  2 47 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
V_Ovrodo      20 arg RLC  2  4 18  5 28 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Tusya       20 arg   C  2  4  4 16 44 45 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
X_Ifejh       23 arg   L  2  3 13  4 55 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Ibloa       30 arg   C  2  8  7  4 45 43 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Obe         22 arg   R  2  4  4 12 52 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Shasyesyi   24 arg   C  2  5  4 14 53 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
