Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
A_Daebt       25 arg   L  2 11  4  3 25 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Obsuap      25 arg   R  2  9  9  4 42 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Ovriprabl   24 arg   C  2  4  4 15 36 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
B_Jhityukre   22 arg   C  2  5 13  4 41 41 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
B_Odro        23 arg  RC  2  4 11  4 53 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Ackodsepr   24 arg   C  2  3  9  8 49 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Ondo        30 arg RLC  2  8  8  4 45 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Krisicl     24 arg   R  2  4  4 15 48 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Acoo        26 arg   C  2 10  3  4 46 44 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Ovri        18 arg   C  2 13  4  4 59 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Tashta      30 arg   C  2 12  5  4 61 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_Btubso      24 arg   R 14  2  2  2 26 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_Chodseny    30 arg   R  2 12  5  3 53 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Upoovre     28 arg   C  2 10  5  3 48 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Bewn        30 arg   C  2  3 12  4 29 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Fatyovr     23 arg   C 12  2  2  2 49 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Irtew       22 arg  RL  2  9  9  4 49 40 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
K_Poetru      28 arg   C  2  4 11  4 39 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
K_Sabtusyu    25 arg  RC  2  4 13  5 29 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Yop         24 arg   L  2 14  4  3 46 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Ikaersti    26 arg   L  2  3  8  8 52 42 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Presha      24 arg   L 11  2  2  2 41 42 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Ushtoedn    21 arg  LC 15  2  2  2 31 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Okrilers    30 arg   L  2  4 14  5 41 44 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Undosack    21 arg   R  2  4 12  4 36 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Atridsuds   20 arg   C  2  3 11  5 34 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Clewburt    23 arg   R  2  4 12  4 38 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Griksoeny   24 arg RLC  2  4  7  8 45 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Ackoadn     27 arg   R  2  4 15  3 34 42 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Aze         23 arg   L  2  4 15  4 53 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Bramnaek    24 arg  RL 13  2  2  2 37 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Lopra       19 arg   L  2  4  4 14 42 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Shovadr     27 arg   R  2  4  5 10 34 40 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Ucewr       28 arg  RC  2  4  4 11 42 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Clechihew   18 arg RLC  2 12  4  4 31 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
V_Adnury      29 arg  RC  2 15  5  5 44 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Afoibt      28 arg   L  2  3  4 12 28 41 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Prabloshta  24 arg   R 15  2  2  2 48 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Ushtochi    24 arg  LC  2 12  4  4 49 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
X_Deckaki     18 arg  RL  2  5  5 11 39 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Vovirt      19 arg   L  2 13  4  4 48 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Irstewnduf  25 arg  LC  2  3  8  8 50 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Suvroimi    18 arg   R  2  9  8  5 24 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
