Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
S_Romero      28 arg   L 18  3  3  3 49 28 519 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Ana         28 arg   L 15  2  2  2 63 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Adno        22 arg   L  4 17  9 11 61 23 300 953 846 560   0   0   0   0   0   0   0   0   0   0 100
T_Vuvroapr    20 arg   R  2 16  5  5 77 30 300 557 403 360   0   0   0   0   0   0   0   0   0   0 100
H_Aksacl      19 arg  LC  2 14  5  5 50 22 300 451 409 301   0   0   0   0   0   0   0   0   0   0 100
Rosinei       31 bra   C  4 26 20  9 40 66 300 360 384 313   0   0   0   0   0   0   0   0   0   0 100
M_Schwarzer   31 aus  LC  2 16 16  5 29 28 300 859 630 623   0   0   0   0   0   0   0   0   0   0 100
C_Tula        21 arg   C  4 15 16  9 69 25 300 584 625 725   0   0   0   0   0   0   0   0   0   0 100
T_Hirano      26 jap   C  3 15 13  4 41 34 300 461 793 581   0   0   0   0   0   0   0   0   0   0 100
H_Eze         30 arg   R  2  6 15  5 66 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Panenka     27 che  RC  3  8 20 16 56 33 300 750 477 632   0   0   0   0   0   0   0   0   0   0 100
Luna          17 arg  LC  3 12  6 21 68 28 300 347 347 361   0   0   0   0   0   0   0   0   0   0 100
R_Saa         21 arg   R  3  4  6 20 48 29 300 859 352 408   0   0   0   0   0   0   0   0   0   0 100
K_Irtirt      26 arg RLC  2  4  5 17 33 38 300 300 321 754   0   0   0   0   0   0   0   0   0   0 100
Q_Duago       28 arg   C  2  4  5 16 61 38 300 300 321 434   0   0   0   0   0   0   0   0   0   0 100
