Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
Loco_Vivaldo  24 arg  RL 24  3  4  4 73 39 909 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Capogrosso  21 arg RLC 20  5  3  5 37 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Dzsudzsák     29 hun   R  3 30  8  8 38 24 300 689 992 902   0   0   0   0   0   0   0   0   0   0 100
Franco_Baresi 30 ita  RC  2 30  6  2 48 43 300 339 756 400   0   0   0   0   0   0   0   0   0   0 100
Massimo_Oddo  30 ita  RC  2 26 12  2 36 69 300 788 424 567   0   0   0   0   0   0   0   0   0   0 100
R_Civelli     20 arg   C  3 22  9 10 64 27 300 462 460 418   0   0   0   0   0   0   0   0   0   0 100
L_Vallenilla  21 arg   L  4 21 12 11 68 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Burdisso    22 arg RLC  2 20  4  6 57 24 300 823 868 795   0   0   0   0   0   0   0   0   0   0 100
C_Mafla       18 arg   R  3 20  5 10 71 37 300 417 341 341   0   0   0   0   0   0   0   0   0   0 100
Tato_Mosset   22 fra   C  3 19  5  7 62 19 300 886 616 603   0   0   0   0   0   0   0   0   0   0 100
F_Clementz    23 arg  RL  2 18  6  4 61 35 300 360 768 489   0   0   0   0   0   0   0   0   0   0 100
C_Leiva       23 arg   C  5 18 14  9 84 24 300 470 898 695   0   0   0   0   0   0   0   0   0   0 100
M_Ballack     28 ger   C  3 15 24  7 51 31 300 696 794 424   0   0   0   0   0   0   0   0   0   0 100
Shirou_Emiya  18 arg   L  5 10 24 12 47 36 300 848 400 650   0   0   0   0   0   0   0   0   0   0 100
Soto_Torres   22 arg   L  4 11 21  6 58 35 300 765 884 518   0   0   0   0   0   0   0   0   0   0 100
Hitmontop     21 arg   R  4  8 20  7 58 25 300 322 871 786   0   0   0   0   0   0   0   0   0   0 100
U_Uclu        26 arg   C  2  4 19  5 57 34 300 766 810 326   0   0   0   0   0   0   0   0   0   0 100
L_Gil         20 arg  RC  3  7 17  6 32 30 300 380 484 304   0   0   0   0   0   0   0   0   0   0 100
M_Ricci       25 arg   R  2  5 17  4 62 38 300 734 936 488   0   0   0   0   0   0   0   0   0   0 100
Ariel_Zarate  30 arg  LC  5  1 22 15 43 13 300 882 897 468   0   0   0   0   0   0   0   0   0   0 100
I_Blanco      19 arg   C  5 10  8 21 68 30 300 881 904 969   0   0   0   0   0   0   0   0   0   0 100
Moltres       30 arg   C  2  7  7 21 47 22 300 803 974 803   0   0   0   0   0   0   0   0   0   0 100
E_Cerutti     21 arg  LC  5  8  8 20 36 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Sotelo      22 arg RLC  5  7  9 19 63 27 300 463 344 702   0   0   0   0   0   0   0   0   0   0 100
A_Barijho     26 arg   C  2  6  6 19 38 32 300 874 394 482   0   0   0   0   0   0   0   0   0   0 100
