Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
B_Buticce     29 arg   L 13  2  2  2 48 33 464 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Fughtie     25 arg   L  8  1  1  1 31 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Ivan_Cordoba  29 arg RLC  2 28  6  6 70 29 300 871 879 310   0   0   0   0   0   0   0   0   0   0 100
D_Macaluso    34 uru  RC  1 20  1  2 29 53 300 937 456 505   0   0   0   0   0   0   0   0   0   0 100
J_Botinelli   25 arg   R  3 25  9  8 68 30 300 496 548 753   0   0   0   0   0   0   0   0   0   0 100
Gonzalo_Bazan 24 arg  RL  2 23  7  4 53 31 300 391 858 952   0   0   0   0   0   0   0   0   0   0 100
Juan_Rocchia  33 arg  LC  1 19  1  8 36 51 300 827 635 727   0   0   0   0   0   0   0   0   0   0 100
G_Rodriguez   28 arg   R  2 14  4  5 56 32 300 994 425 360   0   0   0   0   0   0   0   0   0   0 100
Jacobo_Urso   28 arg   C  2 13 11  5 72 29 300 639 725 301   0   0   0   0   0   0   0   0   0   0 100
R_Albretch    29 arg   C  2 12  5  5 42 26 300 779 471 350   0   0   0   0   0   0   0   0   0   0 100
Nico_Bertolo  28 arg   R  1  1 27 14 68 23 300 610 918 866   0   0   0   0   0   0   0   0   0   0 100
Isgut         20 arg RLC  2  5 19  5 58 31 300 806 366 699   0   0   0   0   0   0   0   0   0   0 100
R_Faeck       22 isr   R  2  4 17  4 47 40 300 780 891 489   0   0   0   0   0   0   0   0   0   0 100
I_Lity        30 arg   R  2  5 17  4 22 38 300 476 727 509   0   0   0   0   0   0   0   0   0   0 100
W_Jhokusht    23 arg   R  2  5 17  5 42 25 300 373 607 399   0   0   0   0   0   0   0   0   0   0 100
F_Galetto     23 arg   L  2  4 15  5 71 37 300 855 618 398   0   0   0   0   0   0   0   0   0   0 100
P_Zabaleta    30 arg   C  2  5 13  5 31 28 300 404 337 273   0   0   0   0   0   0   0   0   0   0 100
C_Ledesma     24 arg  RC  3  7 13  6 36 21 300 340 800 365   0   0   0   0   0   0   0   0   0   0 100
Ruben_Insua   23 arg   L  2  4 11  5 66 32 300 260 432 297   0   0   0   0   0   0   0   0   0   0 100
Pipo_Gorosito 27 arg   C  2  4 11 11 61 22 300 424 478 560   0   0   0   0   0   0   0   0   0   0 100
W_Montillo    27 arg   C  2  5 10  9 45 33 300 495 687 495   0   0   0   0   0   0   0   0   0   0 100
Kazu_Miura    29 jap RLC  2  2  6 24 59 23 300 515 776 523   0   0   0   0   0   0   0   0   0   0 100
M_Alustiza    30 arg RLC  2  6 12 22 52 41 300 628 700 763   0   0   0   0   0   0   0   0   0   0 100
D_Akerman     33 arg RLC  1  1  5 15 32 83 300 345 583 368   0   0   0   0   0   0   0   0   0   0 100
J_Sanfilippo  29 arg   R  2  5  6 17 44 22 300 622 843 307   0   0   0   0   0   0   0   0   0   0 100
Lobo_Fischer  29 arg   L  2  5  5 16 54 39 300 494 321 516   0   0   0   0   0   0   0   0   0   0 100
