Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
Brno_Zuculini 22 arg   C  3  7 18  6 65 39 300 967 840 582   0   0   0   0   0   0   0   0   0   0 100
C_Kletnicki   31 arg   R 23  1  1  1 39 37 584 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Luaclo      29 arg  RC  2  4  4 16 48 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Cvitanich   30 arg   C  2  4  4 18 33 26 300 881 757 655   0   0   0   0   0   0   0   0   0   0 100
D_De_Rossi    29 ita RLC  3 12 16  7 63 30 300 547 727 431   0   0   0   0   0   0   0   0   0   0 100
D_Pereira     38 arg   C  1  6  6  1 22 83 300 516 480 409   0   0   0   0   0   0   0   0   0   0 100
El_Topo       23 arg RLC  2 15  5  5 32 40 300 530 332 290   0   0   0   0   0   0   0   0   0   0 100
G_Mendez      32 arg   C  1 19  1  2 24 36 300 415 635 392   0   0   0   0   0   0   0   0   0   0 100
G_Tidrokra    23 bul   R  2  4  3 16 44 44 300 339 488 868   0   0   0   0   0   0   0   0   0   0 100
Gaona_Lugo    20 arg   R  3  6  8 15 39 26 300 270 467 448   0   0   0   0   0   0   0   0   0   0 100
I_Istaj       26 arg  LC  2 17  4  4 61 34 300 328 303 303   0   0   0   0   0   0   0   0   0   0 100
I_Tracki      19 arg   R  4  8  7 16 40 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_M_Calvo     22 arg   R  3 19  6  7 51 39 300 816 888 750   0   0   0   0   0   0   0   0   0   0 100
Javier_Lux    28 arg RLC  2 15 17  7 40 63 300 994 466 476   0   0   0   0   0   0   0   0   0   1 100
L_Donati      23 arg   R  3  6 16  5 49 32 300 656 863 310   0   0   0   0   0   0   0   0   0   0 100
M_Caceres     30 arg RLC  2 24  6  4 56 29 300 886 492 616   0   0   0   0   0   0   0   0   0   0 100
M_Martinez    25 arg   C  2 23  6  6 57 30 300 721 327 454   0   0   0   0   0   0   0   0   0   1 100
M_Stura       17 arg   R  5 13 12  9 58 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Nacho_Decarli 23 arg   R  3 14  7  5 38 33 300 519 367 288   0   0   0   0   0   0   0   0   0   0 100
Origüela      26 arg   R  2  4 14  3 30 35 300 255 956 255   0   0   0   0   0   0   0   0   0   0 100
P_Onhurt      29 bra   L  2  3 14  4 21 34 300 408 462 323   0   0   0   0   0   0   0   0   0   0 100
P_Toranzo     28 arg  RC  2  6 18  4 49 34 300 544 541 582   0   0   0   0   0   0   0   0   0   0 100
Pablo_Lima    33 uru   L  1 21  1  8 52 53 300 449 502 676   0   0   0   0   0   0   0   0   0   2 100
Q_Uka         30 jap   R  2 15  4  4 41 30 300 771 491 302   0   0   0   0   0   0   0   0   0   0 100
R_Bagoigra    17 arg   R  5 14 12  6 71 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Centurion   19 arg   L  3  4 16  5 38 26 300 564 819 354   0   0   0   0   0   0   0   0   0   0 100
R_Udnend      29 cro   C  2 15  3  4 44 45 300 721 519 323   0   0   0   0   0   0   0   0   0   0 100
Rubén_Ferrer  29 arg RLC  1  1 10 15 77 70 300 219 583 796   0   0   0   0   0   0   0   0   0   0 100
Santi_Anselmo 20 arg   R  3  7  4 17 44 30 300 524 588 965   0   0   0   0   0   0   0   0   0   0 100
Seba_Saja     23 arg   L 17  4  4  5 76 36 404 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Sergio_Araujo 21 arg   L  2  5  4 15 50 22 300 939 510 594   0   0   0   0   0   0   0   0   0   0 100
T_Joblobru    26 arg   C  2  3 16  4 54 26 300 453 492 303   0   0   0   0   0   0   0   0   0   0 100
Tomi_Rollan   26 arg   C  2  4  3 16 22 29 300 360 300 333   0   0   0   0   0   0   0   0   0   0 100
Tropius       25 arg   R  3 11 14  9 59 38 300 885 810 718   0   0   0   0   0   0   0   0   0   0 100
W_Gund        32 arg   C  1 14  1  1 36 36 300 515 261 240   0   0   0   0   0   0   0   0   0   0 100
