Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
A_Isyowj      19 arg   L  5 12 19  9 89 22 300 440 601 669   0   0   0   0   0   0   0   0   0   0 100
Alpay_Ozalan  30 tur   C  2 25  8 11 46 39 300 634 860 749   0   0   0   0   0   0   0   0   0   0 100
C_Milla       29 arg   C  5  2 11 28 58 60 300 302 344 314   0   0   0   0   0   0   0   0   0   0 100
D_Montenegro  24 arg  RL  3  5  5 24 50 35 300 972 601 508   0   0   0   0   0   0   0   0   0   0 100
E_Andewjh     28 ale   R  2 23  6  4 58 43 300 733 612 930   0   0   0   0   0   0   0   0   0   0 100
Fabian_Monzon 27 arg   L  1 26 18 10 63 63 300 538 630 679   0   0   0   0   0   0   0   0   0   0 100
G_Karagounis  24 gre  RC  2  1 22 14 56 28 300 592 311 793   0   0   0   0   0   0   0   0   0   0 100
J_Dudek       21 arg   L  4 13 15 10 70 21 300 349 947 656   0   0   0   0   0   0   0   0   0   0 100
J_P_Francia   29 arg   C  5 14 19 10 29 53 300 731 485 488   0   0   0   0   0   0   0   0   0   0 100
Jorge_Broun   30 arg  RL 14  2  2  2 26 30 343 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Abecasis    23 arg   R  3 22  7  5 69 27 300 431 385 883   0   0   0   0   0   0   0   0   0   0 100
L_Bruy        19 arg   R  5  9 16 13 37 27 300 301 497 341   0   0   0   0   0   0   0   0   0   0 100
L_G_Pirez     20 arg RLC  4 23  7 10 54 31 300 584 884 633   0   0   0   0   0   0   0   0   0   0 100
Lichtsteiner  30 sui   R  3 33 19  3 44 46 300 435 738 418   0   0   0   0   0   0   0   0   0   0 100
N_Valentini   28 arg   C  2 16  5  5 58 23 300 895 425 335   0   0   0   0   0   0   0   0   0   0 100
Paulo_Rink    28 ale RLC  3  6 20 14 68 35 300 714 882 770   0   0   0   0   0   0   0   0   0   0 100
Ricardo_Gomez 24 arg   L  2  6 16  5 47 30 300 533 863 414   0   0   0   0   0   0   0   0   0   0 100
Sidd          23 arg   R  2  6 15  4 50 33 300 901 722 419   0   0   0   0   0   0   0   0   0   0 100
T_Azuasusht   23 arg   R 22  4  3  4 42 35 832 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Wacali        23 arg   C  4 20 10 11 42 30 300 738 630 348   0   0   0   0   0   0   0   0   0   0 100
