Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
G_BurgosJr    19 arg   R 22  4  4  4 57 24 660 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Gancedo_Jr  19 arg   R  4  8  9 21 63 25 300 471 622 411   0   0   0   0   0   0   0   0   0   0 100
F_Eji         22 arg  RC 35  2  2  2 65 51 736 365 365 365   0   0   0   0   0   0   0   0   0   0 100
Lev_Yashin    21 rus   C 26  1  1  1 92 85 657 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Mati_Jdm      22 arg RLC  3 38 10 10 87 28 300 845 576 825   0   0   0   0   0   0   0   0   0   0 100
C_Ayala       27 arg RLC  3 34  8 11 68 30 300 369 350 954   0   0   0   0   0   0   0   0   0   0 100
C_Arano       22 arg RLC  3 33 10  8 77 27 300 753 918 656   0   0   0   0   0   0   0   0   0   0 100
D_Passarella  20 arg RLC  3 33  8  8 76 35 300 704 826 848   0   0   0   0   0   0   0   0   0   0 100
Sergi         24 esp RLC  2 29 18 11 64 48 300 505 872 478   0   0   0   0   0   0   0   0   0   0 100
P_Ferrari     28 arg RLC  3 25  7  6 69 30 300 846 332 982   0   0   0   0   0   0   0   0   0   0 100
G_Funes_Mori  18 arg RLC  4 23  9 12 76 38 300 511 586 737   0   0   0   0   0   0   0   0   0   0 100
W_Urti        16 arg  LC  5 21  6  8 33 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Balanta     17 arg   C  5 20  7  8 64 23 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Mercado     20 arg   C  4 20 10  7 87 36 300 426 432 577   0   0   0   0   0   0   0   0   0   0 100
Talamonti     17 arg   C  4 17 10  6 81 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Gareth_Bale   25 gal RLC  3 20 25 18 82 46 300 531 627 798   0   0   0   0   0   0   0   0   0   0 100
El_Misha      25 arg RLC  3  7 34  6 71 32 300 800 959 486   0   0   0   0   0   0   0   0   2   0 100
E_Carolo      21 arg RLC  3  6 32 11 78 31 300 474 866 489   0   0   0   0   0   0   0   0   0   0 100
Eden_Hazard   23 bel RLC  3  2 33 20 80 52 300 309 309 399   0   0   0   0   0   0   0   0   0   0 100
Espeon        26 arg RLC  2  6 33  6 73 34 300 972 425 542   0   0   0   0   0   0   0   0   0   0 100
José_Sosa     29 arg  RL  1  3 26 18 52 34 300 369 856 556   0   0   0   0   0   0   0   0   0   0 100
R_Pereyra     21 arg RLC  5  6 27  8 69 22 300 806 421 457   0   0   0   0   0   0   0   0   0   0 100
A_Dominguez   34 arg  RC  1  1 20  1 38 31 300 813 503 957   0   0   0   0   0   0   0   0   0   0 100
L_Astrada     28 arg RLC  3  9 21  6 47 39 300 561 865 926   0   0   0   0   0   0   0   0   0   0 100
G_Simeone     17 arg   R  4  6 20 10 41 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Ardiles     27 arg  RC  3  9 22 21 74 33 300 912 875 525   0   0   0   0   0   0   0   0   0   0 100
M_Platini     27 fra RLC  1  2 20 18 56 32 300 336 656 885   0   0   0   0   0   0   0   0   0   0 100
F_Morientes   28 esp   C  3  7 13 40 78 32 300 716 785 347   0   0   0   0   0   0   0   0   1   0 100
H_Crespo      29 arg   C  3 10  8 34 62 23 300 478 811 464   0   0   0   0   0   0   0   0   0   0 100
D_Trezeguet   22 arg  RC  4 10 10 33 86 24 300 873 915 724   0   0   0   0   0   0   0   0   0   0 100
D_Villalva    25 arg   C  3  7 11 24 76 30 300 841 366 867   0   0   0   0   0   0   0   0   0   0 100
