Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
Bambino_Veira 23 arg   C  2  5 10  4 52 35 300 623 599 358   0   0   0   0   0   0   0   0   0   0 100
Berni_Romeo   34 arg   C  1  1  1 11 37 34 300 632 978 375   0   0   0   0   0   0   0   0   0   0 100
C_D_Biaggio   23 arg   C  2  4  4 12 42 21 300 473 559 394   0   0   0   0   0   0   0   0   0   0 100
Carlos_Netto  24 arg  LC  2  8 17 13 57 21 300 338 687 309   0   0   0   0   0   0   0   0   0   0 100
D_Manusovich  29 arg  LC  2 26  6  6 38 28 300 584 504 761   0   0   0   0   0   0   0   0   0   0 100
F_A_Batista   24 arg  RL  2 14  5  6 36 30 300 565 402 428   0   0   0   0   0   0   0   0   0   0 100
F_Coloccini   27 arg   R  2 35  6  6 61 30 300 834 664 981   0   0   0   0   0   0   0   0   0   0 100
G_Campagnuolo 27 arg  RC 12  2  2  2 58 30 896 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Guille_Franco 28 arg   R  2  5  5 15 36 34 300 933 724 728   0   0   0   0   0   0   0   0   0   0 100
H_Ameli       33 arg   R  1 25  1  1 47 29 300 970 510 732   0   0   0   0   0   0   0   0   0   0 100
Iker_Casillas 24 arg  RC 33  3  3  3 53 26 474 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Jose_Ramirez  30 arg   L  9  2  2  2 48 24 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Pusineri    27 arg   L  2  7 25  7 58 30 300 550 890 372   0   0   0   0   0   0   0   0   0   0 100
L_Rodriguez   31 arg  LC  1  4 12  4 28 33 300 476 758 445   0   0   0   0   0   0   0   0   0   0 100
L_Romagnoli   26 arg   L  2  4  9  6 29 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Mario_Santana 28 arg   R  2  7 14  5 27 34 300 314 717 343   0   0   0   0   0   0   0   0   0   1 100
N_Ortigoza    24 arg   C  3  8 18 13 62 33 300 794 897 584   0   0   0   0   0   0   0   0   0   0 100
Oscar_Ruggeri 24 arg   R  2 27  9  5 53 34 300 740 795 418   0   0   0   0   0   0   0   0   0   0 100
P_Michelini   27 arg  LC  2  9  5  5 56 38 300 736 422 414   0   0   0   0   0   0   0   0   0   0 100
Paulo_Silas   23 arg   R  2  4 10  9 61 34 300 698 535 744   0   0   0   0   0   0   0   0   0   0 100
R_Oveja_Telch 28 arg   R  2 10  5  4 32 35 300 700 323 302   0   0   0   0   0   0   0   0   0   0 100
Raul_Estevez  25 arg   C  2  5  5  9 43 25 300 300 321 359   0   0   0   0   0   0   0   0   0   0 100
RC_Montserrat 34 arg   L  1  1  3  1  9 33 300 383 554 396   0   0   0   0   0   0   0   0   0   0 100
S_Saja        30 arg   C 15  2  2  2 48 32 910 300 300 300   0   0   0   0   0   0   0   0   0   0 100
