Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
A_Machuca     20 arg   C  2 20  7  4 55 38 300 383 364 642   0   0   0   0   0   0   0   0   0   0 100
B_Schelotto   26 arg   R  3  6  8 16 68 30 300 455 940 686   0   0   0   0   0   0   0   0   0   0 100
C_Doni        31 ita RLC  1  3 23 11 37 39 300 665 684 864   0   0   0   0   0   0   0   0   0   0 100
C_Maidana     27 arg   L  2  6 17  5 73 23 300 722 756 589   0   0   0   0   0   0   0   0   0   0 100
C_Villagra    22 arg RLC  2 19  5  5 57 33 300 897 332 757   0   0   0   0   0   0   0   0   0   0 100
F_Jhimnun     31 arg   L  1  4 15  3 41 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Krotroakr   25 arg   R  2  6  5 14 31 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_Mattiuzzo   30 arg   L  2 20 27 14 55 42 300 468 383 369   0   0   0   0   0   0   0   0   0   0 100
H_Ocoisyo     29 arg   L  2  9 10  5 64 24 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Hernán_Bruno  20 arg   C  3 13 15  8 79 39 300 392 486 626   0   0   0   0   0   0   0   0   0   0 100
I_Griva       28 arg   C  2 23 24 16 42 60 300 793 506 343   0   0   0   0   0   0   0   0   0   1 100
J_Manteca     25 arg   L  2  4 19  5 57 23 300 735 969 630   0   0   0   0   0   0   0   0   0   0 100
jm            25 arg   R  3 21  7  7 64 31 300 762 441 801   0   0   0   0   0   0   0   0   0   0 100
K_Chigo       28 arg RLC 15  2  2  2 37 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Melgarejo   23 par   C  2 27  8 10 48 62 300 662 302 315   0   0   0   0   0   0   0   0   0   0 100
Luis_Ibañez   25 arg  LR  2 25  6 14 63 39 300 995 371 474   0   0   0   0   0   0   0   0   0   0 100
N_Ozibto      25 arg  LC  2 14  5  5 45 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Nico_Chetti   24 arg   R  5  7  6 17 82 35 300 658 511 872   0   0   0   0   0   0   0   0   0   0 100
O_Ahumada     20 arg RLC  3 13 17  6 84 31 300 944 644 512   0   0   0   0   0   0   0   0   0   0 100
O_Shakrap     23 arg RLC  2 16  5  5 70 36 300 480 300 333   0   0   0   0   0   0   0   0   0   0 100
P_Mouche      32 arg   C  1  4  4 20 44 30 300 966 890 664   0   0   0   0   0   0   0   0   0   0 100
Pablo_Aimar   34 arg RLC  1  1 34 26 54 26 300 348 383 853   0   0   0   0   0   0   0   0   0   0 100
Pablo_Guiñazú 35 arg  LC  1 17 22 11 49 69 300 594 704 508   0   0   0   0   0   0   0   0   0   0 100
Q_Tredrow     25 arg   L  2 14  5  5 43 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Ricardo_Noir  23 arg   R  4  7 10 21 70 25 300 778 326 349   0   0   0   0   0   0   0   0   0   0 100
S_Staela      27 arg   R  2  6 14  6 69 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
V_Duamnamn    19 arg  RC  2  4 16  4 53 27 300 399 489 399   0   0   0   0   0   0   0   0   0   0 100
W_Ebluksoec   22 arg   C 13  2  2  2 49 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
X_Abow        31 arg  RC  1  5  3 11 25 29 300 327 327 341   0   0   0   0   0   0   0   0   0   0 100
X_Kribsurtoi  25 arg   C  2 15  5  4 69 25 300 300 321 300   0   0   0   0   0   0   0   0   0   0 100
Z_Udsejha     28 arg   R  2 13  5  6 51 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
