Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
C_A_Rodriguez 25 arg   L  2 13  9  5 50 32 300 907 390 340   0   0   0   0   0   0   0   0   0   0 100
C_Gurrieri    25 arg   C  2 19  6  5 43 33 300 458 395 366   0   0   0   0   0   0   0   0   0   0 100
Cris_Gonzalez 29 arg  RL  2 19  5  6 63 23 300 660 489 405   0   0   0   0   0   0   0   0   0   0 100
D_H_Duarte    21 arg  RC  2 16  5  6 57 30 300 630 617 490   0   0   0   0   0   0   0   0   0   1 100
Damian_Bogado 25 arg   R  2  5 17  5 46 32 300 516 669 403   0   0   0   0   0   0   0   0   0   0 100
David_Ledesma 31 arg   L  1  4  5 13 22 27 300 617 428 655   0   0   0   0   0   0   0   0   0   0 100
E_Barros      27 arg  LC  2 17  6  5 56 34 300 663 492 373   0   0   0   0   0   0   0   0   0   0 100
E_Colombano   21 arg   R  2  5 14  4 54 35 300 435 578 388   0   0   0   0   0   0   0   0   0   0 100
E_Diaz        21 arg   C  2 15  5  5 33 35 300 381 343 301   0   0   0   0   0   0   0   0   0   0 100
E_Porto       25 arg   C 13  2  2  2 66 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Vidal       25 arg   R  2  6  5 13 47 24 300 960 552 530   0   0   0   0   0   0   0   0   0   0 100
Ema_Ibañez    28 arg   R  2  4 10  7 63 29 300 499 655 379   0   0   0   0   0   0   0   0   0   0 100
Gaston_Silva  27 arg   C  2  9  9  4 26 37 300 901 691 481   0   0   0   0   0   0   0   0   0   0 100
I_Pietrobono  26 arg RLC 14  2  2  2 55 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Jorge_Coria   25 arg   C  2  5 14  5 34 30 300 447 495 334   0   0   0   0   0   0   0   0   0   0 100
Leo_Celiz     31 arg   R  1  4 15  3 53 25 300 492 582 398   0   0   0   0   0   0   0   0   0   0 100
Leo_Harkes    24 arg   R  2  4 14  5 36 38 300 563 677 383   0   0   0   0   0   0   0   0   0   0 100
M_N_Cano      28 arg RLC 18  2  2  2 33 34 807 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Martin_Ortiz  20 arg   L  2 16  5  5 58 24 300 761 443 408   0   0   0   0   0   0   0   0   0   0 100
Maxi_Ferreyra 23 arg   R  2  5 14  5 52 31 300 569 704 462   0   0   0   0   0   0   0   0   0   0 100
N_Martinez    30 arg   R  2  5  9  9 26 34 300 300 300 383   0   0   0   0   0   0   0   0   0   0 100
S_Valenti     21 arg RLC  2  6  6 13 37 30 300 387 327 438   0   0   0   0   0   0   0   0   0   0 100
W_Garcete     29 arg RLC  2  5  6 15 31 27 300 445 367 372   0   0   0   0   0   0   0   0   0   0 100
