Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
A_Franzoia    24 arg   R  2  5  4 17 40 25 300 541 514 327   0   0   0   0   0   0   0   0   0   0 100
Diego_Jara    25 arg RLC  2  6  5 17 46 37 300 745 597 852   0   0   0   0   0   0   0   0   0   0 100
G_Simeone     18 arg   R  4  6 20 10 44 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Vidal       20 arg   L  4 12 20  7 59 26 300 447 996 314   0   0   0   0   0   0   0   0   0   0 100
T_Henry       22 arg   C  2  5  7 18 44 38 300 984 429 900   0   0   0   0   0   0   0   0   0   0 100
Kasey_Keller  31 usa   L 24  3  3  3 24 29 561 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Burrai      22 arg   C 19  3  3  3 41 31 855 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Maxi_Pereira  29 uru   R  2 35 16 10 50 69 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Marasco     29 arg   R  2 30  6  4 37 22 300 458 673 640   0   0   0   0   0   0   0   0   0   0 100
Edgardo_Bauza 30 arg RLC  3 27  7 16 57 40 300 322 655 701   0   0   0   0   0   0   0   0   0   0 100
Placente      19 arg   R  4 25 12 11 84 25 300 403 616 373   0   0   0   0   0   0   0   0   0   0 100
J_I_Sills     20 arg   C  3 25 17 13 76 28 300 440 602 353   0   0   0   0   0   0   0   0   0   0 100
Q_Egu         23 arg   L  3 21  9 12 81 26 300 626 722 454   0   0   0   0   0   0   0   0   0   0 100
Milton_Casco  20 arg  RC  2 21  5  5 76 28 300 393 771 548   0   0   0   0   0   0   0   0   0   0 100
Playboy       21 arg  RC  3 19  7  6 85 25 300 761 532 994   0   0   0   0   0   0   0   0   0   0 100
Michel_Bastos 30 bra   L  3 20 31 20 46 34 300 830 386 646   0   0   0   0   0   0   0   0   0   0 100
F_Rijkaard    30 hol  RC  3 15 22 14 54 31 300 679 370 679   0   0   0   0   0   0   0   0   0   0 100
Búho          19 arg RLC  4  9 22 11 48 33 300 573 962 467   0   0   0   0   0   0   0   0   0   0 100
J_Iturbe      23 arg  RC  4 12 21  9 46 35 300 720 631 462   0   0   0   0   0   0   0   0   0   0 100
Chicho_Serna  20 arg   C  4  9 21  9 44 30 300 744 595 646   0   0   0   0   0   0   0   0   0   0 100
M_Donnet      24 arg RLC  2  5 20  6 52 27 300 665 581 566   0   0   0   0   0   0   0   0   0   0 100
A_Del_Piero   29 ita  RC  3  5 18 18 52 22 300 348 585 394   0   0   0   0   0   0   0   0   0   0 100
Iván_Alonso   34 esp   C  1  1  1 26 46 67 300 512 794 958   0   0   0   0   0   0   0   0   0   0 100
Kurapika      21 arg   R  5 11  8 24 69 33 300 476 931 365   0   0   0   0   0   0   0   0   0   0 100
I_Scocco      19 arg   L  5  8  9 20 76 31 300 597 366 346   0   0   0   0   0   0   0   0   0   0 100
C_Nuñez       22 arg  RC  2  6  5 19 69 31 300 485 690 568   0   0   0   0   0   0   0   0   0   0 100
B_Ferreira    19 arg   C  4  8 13 20 69 25 300 979 740 724   0   0   0   0   0   0   0   0   0   0 100
Anangono      17 arg   R  3 10 10 17 81 31 300 384 383 458   0   0   0   0   0   0   0   0   0   0 100
J_Cazares     19 arg   R  4 12 19 17 81 35 300 934 790 487   0   0   0   0   0   0   0   0   0   0 100
