Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
A_Ortega      27 arg   L  3  6 10 21 57 22 300 907 666 487   0   0   0   0   0   0   0   0   0   0 100
Arturo_Vidal  27 chi   C  5 19 25 13 53 71 300 595 536 993   0   0   0   0   0   0   0   0   0   0 100
Burruchaga    24 arg   R  5 13 22 11 67 33 300 580 662 336   0   0   0   0   0   0   0   0   0   0 100
C_Ansaldi     23 arg  RL  3 22  9  9 47 35 300 857 802 327   0   0   0   0   0   0   0   0   0   0 100
E_Berizzo     23 arg   C  3 27  8  7 60 33 300 886 994 929   0   0   0   0   0   0   0   0   0   0 100
E_Olivera     23 arg   C  4 20 11 10 67 27 300 657 536 425   0   0   0   0   0   0   0   0   0   0 100
Enzito_C      22 arg   L  5 13 23  6 67 25 300 939 713 896   0   0   0   0   0   0   0   0   0   0 100
Eric_Jerez    22 arg   L  5 21  7  9 58 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Estoyanoff  32 uru RLC  1  1 22 23 61 50 300 838 497 585   0   0   0   0   0   0   0   0   0   0 100
F_Tobio       25 arg  RC  3 13 15  6 80 27 300 776 809 681   0   0   0   0   0   0   0   0   0   0 100
Flaco_Peratta 18 arg   C 17  4  4  4 78 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Flordelmundo  22 arg  RL  3 12 18 21 88 30 300 528 476 665   0   0   0   0   0   0   0   0   2   0 100
G_Vilariño    22 arg   C  3 17  8  8 41 33 300 924 750 567   0   0   0   0   0   0   0   0   0   0 100
Gato_Sessa    18 arg   C 19  5  4  4 60 29 464 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Gino_Peruzzi  22 arg   R  4 22  9 12 58 28 300 725 741 419   0   0   0   0   0   0   0   0   0   0 100
Il_Cavalieri  20 arg  LC  3  5  7 16 53 27 300 280 440 726   0   0   0   0   0   0   0   0   0   0 100
Ivan_Bella    18 arg   L  4  9 18  9 42 33 300 300 561 324   0   0   0   0   0   0   0   0   0   0 100
Jorge_Vila    20 arg   L  3  7 19  7 68 22 300 698 880 532   0   0   0   0   0   0   0   0   0   0 100
Jota_Eme      23 arg   C  4  9 20 10 53 28 300 777 694 759   0   0   0   0   0   0   0   0   0   0 100
L_Castroman   31 arg  RC  2  4 20 18 48 30 300 641 815 442   0   0   0   0   0   0   0   0   0   0 100
L_Gianetti    20 arg   C  4 18 13  9 86 26 300 487 316 458   0   0   0   0   0   0   0   0   0   0 100
M_Barovero    20 arg   C 27  3  4  4 83 30 737 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Moralez     28 arg  LC  3  9 41 10 70 26 300 803 620 535   0   0   0   0   0   0   0   0   0   0 100
M_Torsiglieri 25 arg  RL  3 24 12  9 74 39 300 441 812 398   0   0   0   0   0   0   0   0   0   0 100
M_Uglessich   20 arg   C  3 28  6  8 76 23 300 653 939 698   0   0   0   0   0   0   0   0   0   0 100
M_Zarate      27 arg  RL  3  8 13 36 67 36 300 440 478 452   0   0   0   0   0   0   0   0   0   0 100
Mats_Hummels  25 ale   C  3 30  2 16 56 72 300 850 335 580   0   0   0   0   0   0   0   0   0   0 100
N_Otamendi    25 arg  RC  3 29  9 10 74 34 300 773 771 595   0   0   0   0   0   0   0   0   0   0 100
Nico_Cabre    23 arg RLC  4 18 12  7 58 28 300 564 982 815   0   0   0   0   0   0   0   0   0   0 100
Oliver_Kahn   27 ale   R 24  3  3  3 42 39 716 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Larraquy    20 arg   C  4 25 15 13 78 36 300 776 624 620   0   0   0   0   0   0   0   0   0   0 100
Pato_Camps    19 arg   C  5 11 16 16 54 36 300 300 345 324   0   0   0   0   0   0   0   0   0   0 100
Pavel_Nedved  27 che   C  1 11 22 17 50 10 300 498 633 761   0   0   0   0   0   0   0   0   0   0 100
R_Alvarez     23 arg RLC  3  6 28  6 50 23 300 591 304 854   0   0   0   0   0   0   0   0   0   0 100
R_Gareca      24 arg  RC  5 11 12 21 79 35 300 669 397 545   0   0   0   0   0   0   0   0   0   0 100
Y_Asad        17 arg   L  4  9 11 19 59 24 300 300 345 482   0   0   0   0   0   0   0   0   0   0 100
